year,code,type of waste,waste producers,waste quantities,waste quantities generated by primary producers
2010, EAV-130508-G,"Mixtures of wastes fr.grit chambers,oil/water sep.",689.0,161.2,154.4
2010, EAV-130701-G, Fuel oil and diesel,148.0,14.0,11.7
2010, EAV-130702-G, petrol,41.0,2.0,1.5
2010, EAV-130703-G, Other fuels (including mixtures),158.0,31.3,15.1
2010, EAV-130801-G, Oil wastes: Desalter sludges or emulsions,0.0,0.0,0.0
2010, EAV-130802-G, Oil wastes: Other emulsions,139.0,37.0,29.0
2010, EAV-130899-G, Oil wastes: Wastes nos.,165.0,31.7,25.8
2010, EAV-14," Waste organic solvents, refrigerants, propellants",767.0,174.7,94.5
2010, EAV-140601-G," Chlorofluorocarbons, HCFC, HFC",49.0,2.1,1.7
2010, EAV-140602-G, Other halogenated solvents and solvent mixtures,125.0,8.7,5.3
2010, EAV-140603-G, Other solvents and solvent mixtures,628.0,151.7,77.2
2010, EAV-140604-G, Sludges or solid wastes cont. halogenated solvents,32.0,1.1,0.6
2010, EAV-140605-G, Sludges or solid wastes containing other solvents,69.0,11.0,9.7
2010, EAV-15," Waste packaging, absorbents, wiping cloths etc.",2637.0,262.3,195.7
2010, EAV-150110-G, Packaging cont.residues of or contam.by haza.subs.,1134.0,59.1,47.7
2010, EAV-150111-G, Metallic packaging cont. haza. solid porous matrix,28.0,0.6,0.6
2010,EAV-150202-G," Absorbents, filter materials, wiping cloths etc.",2135.0,202.7,147.5
2010, EAV-16, Wastes not otherwise specified in the list,2779.0,931.2,760.2
2010, EAV-160104-G, End-of-life vehicles,37.0,25.9,25.9
2010, EAV-160107-G, End-of-life vehicles: Oil filters,119.0,13.0,10.1
2010, EAV-160108-G, End-of-life vehicles: Components cont. mercury,3.0,0.0,0.0
2010, EAV-160109-G, End-of-life vehicles: Components containing PCBs,0.0,0.0,0.0
2010, EAV-160110-G, End-of-life vehicles: Explosive components,48.0,0.6,0.6
2010, EAV-160111-G, End-of-life vehicles: Brake pads cont. asbestos,0.0,0.0,0.0
2010, EAV-160113-G, End-of-life vehicles: Brake fluids,136.0,11.9,8.5
2010, EAV-160114-G, End-of-life vehicles: Antifreeze fluids,192.0,19.3,14.4
2010, EAV-160121-G," Hazardous components (ex.160107-11,160113-14)",39.0,1.8,1.6
2010, EAV-160209-G, Transformers and capacitors containing PCBs,214.0,3.0,2.6
2010, EAV-160210-G, Discarded equip.cont. or contam.by PCBs(ex.160209),7.0,0.0,0.0
2010, EAV-160211-G," Discarded equip.cont. chlorofluorocarbons,HCFC,HFC",159.0,12.7,9.1
2010, EAV-160212-G,Discarded equipment containing free asbestos,107.0,9.4,8.2
2010, EAV-160213-G, Discarded equip.cont.hazardous comp.(ex.160209-12),422.0,41.2,32.1
2010, EAV-160215-G, Hazardous comp. removed from discarded equipment,190.0,86.2,55.5
2010, EAV-160303-G, Off-spec. batches: Inorganic wastes,62.0,1.7,1.7
2010, EAV-160305-G, Off-spec. batches: organic wastes,114.0,42.5,42.3
2010, EAV-160401-G, Waste ammunition,4.0,0.0,0.0
2010, EAV-160402-G, Fireworks wastes,4.0,0.6,0.6
2010, EAV-160403-G, Other waste explosives,18.0,0.1,0.1
2010, EAV-160504-G, Gases in pressure containers (including halons),291.0,3.8,3.2
2010, EAV-160506-G, Laboratory chemicals consisting of hazardous subs.,217.0,3.4,2.7
2010, EAV-160507-G, Discarded inorganic chemicals cons. To install haza. subs.,450.0,7.9,6.5
2010, EAV-160508-G, Discarded organic chemicals cons. To install haza. subs.,434.0,6.1,5.1
2010, EAV-160601-G, lead batteries,457.0,338.4,273.8
2010, EAV-160602-G, Ni-Cd batteries,92.0,1.1,1.0
2010, EAV-160603-G, Mercury-containing batteries,10.0,0.1,0.1
2010, EAV-160606-G," Separately coll. electrolyte from batteries,accum.",29.0,2.5,1.6
2010, EAV-160708-G,"Tanks,barrels: Wastes containing oil",649.0,156.0,127.5
2010, EAV-160709-G," Tanks, barrels: Wastes cont. other hazardous substances.",166.0,17.2,15.1
2010, EAV-160802-G, Spent catalysts cont. hazardous transition metals,94.0,9.5,9.5
2010, EAV-160805-G, Spent catalysts containing phosphoric acid,3.0,0.2,0.2
2010, EAV-160806-G, Spent liquids used as catalysts,4.0,0.8,0.8
2010, EAV-160807-G, Spent catalysts contaminated with haza. substances,110.0,8.3,7.8
2010, EAV-160901-G," Permanganates, for example potassium permanganate",0.0,0.0,0.0
2010, EAV-160902-G," Chromates (potassium chr., potassium, sodium dichr.)",4.0,0.0,0.0
2010, EAV-160903-G," Peroxides, for example hydrogen peroxide",14.0,0.1,0.1
2010, EAV-160904-G," Oxidising substances, nos.",5.0,0.1,0.1
2010, EAV-161001-G, Aqueous liquid wastes cont. hazardous substances,210.0,43.6,32.5
2010, EAV-161003-G, Aqueous concentrates cont. hazardous substances,52.0,4.4,3.9
2010, EAV-161101-G," Carbon-based linings,refractories fr.metall. proc.",14.0,22.6,22.6
2010, EAV-161103-G," Other linings,refractories from metall. processes",62.0,10.1,9.5
2010, EAV-161105-G,"Linings, refractories from non-metal. processes",104.0,24.5,23.3
2010, EAV-17, Construction and demolition wastes,11186.0,8783.1,7869.0
2010, EAV-170106-G," Mixtures of, or separate fractions of concrete etc.",1227.0,876.5,841.3
2010, EAV-170204-G," Glass, plastic, wood cont. hazardous substances",3964.0,888.5,743.2
2010, EAV-170301-G, Bituminous mixtures containing coal tar,2988.0,3171.8,2753.5
2010, EAV-170303-G, Coal tar and tarred products,1403.0,265.3,185.0
2010, EAV-170409-G, Metal waste contaminated with hazardous substances,141.0,7.3,7.1
2010, EAV-170410-G," Cables cont. oil, coal tar and other waste. subs.",259.0,11.7,9.6
2010, EAV-170503-G, Soil and stones containing hazardous substances,1780.0,2106.4,2001.7
2010, EAV-170505-G, Dredging spoil containing hazardous substances,27.0,89.2,89.0
2010, EAV-170507-G, Track ballast containing hazardous substances,115.0,628.0,613.0
2010, EAV-170601-G, insulation materials containing asbestos,157.0,4.6,4.3
2010, EAV-170603-G, Other insulation materials,1964.0,144.9,118.5
2010, EAV-170605-G, Construction materials containing asbestos,3354.0,563.7,478.8
2010, EAV-170801-G,Gypsum-based construction materials contaminated,6.0,0.5,0.5
2010, EAV-170901-G, Construction and demolition wastes cont. mercury,4.0,0.1,0.1
2010, EAV-170902-G, Construction and demolition wastes containing PCB,106.0,3.6,3.5
2010, EAV-170903-G, Other construction and demolition wastes,214.0,21.2,20.2
2010, EAV-18, Wastes from human or animal health care,192.0,20.1,16.8
2010, EAV-180103-G, Wastes (special requirements to prevent infection),129.0,16.5,13.8
2010, EAV-180106-G, Chemicals consisting of or cont. hazardous subst.,19.0,0.2,0.2
2010, EAV-180108-G, Cytotoxic and cytostatic medicines,59.0,2.4,2.1
2010, EAV-180110-G, Amalgam waste from dental care,37.0,0.1,0.1
2010, EAV-180202-G, Wastes (special requirements to prevent infection),44.0,0.9,0.7
2010, EAV-180205-G, Chemicals consisting of or cont. hazardous subst.,3.0,0.0,0.0
2010, EAV-180207-G, Cytotoxic and cytostatic medicines,0.0,0.0,0.0
2010, EAV-19, Wastes from waste management facilities etc.,1649.0,6223.4,3022.0
2010, EAV-190105-G," Incineration,pyrolysis: Filter cake fr.gas treat.",32.0,40.6,24.1
2010, EAV-190106-G," Incineration, pyrolysis: Aqueous liquid wastes",37.0,60.2,16.6
2010, EAV-190107-G," Incineration,pyrolysis: Solid wastes fr.gas treat.",121.0,737.5,433.6
2010, EAV-190110-G,"Incineration, pyrolysis: Spent activated carbon",18.0,7.3,3.0
2010, EAV-190111-G," Incineration, pyrolysis: Bottom ash and slag",83.0,543.8,271.4
2010, EAV-190113-G," Incineration, pyrolysis: Fly ash cont. haza. subst.",122.0,600.6,373.3
2010, EAV-190115-G," Incineration, pyrolysis: Boiler dust cont.haza.sub.",36.0,65.3,44.5
2010, EAV-190117-G, Pyrolysis wastes containing hazardous substances,13.0,0.6,0.6
2010, EAV-190204-G, Premixed wastes comp.of at least one hazard. waste,101.0,597.6,128.0
2010, EAV-190205-G, Sludges from physico/chemical treatment,425.0,435.0,247.1
2010, EAV-190207-G, Oil and concentrates from separation,121.0,108.8,52.5
2010, EAV-190208-G, Liquid combustible wastes cont. haza. substances,34.0,51.4,41.6
2010, EAV-190209-G, Solid combustible wastes cont. hazardous subst.,12.0,4.1,2.1
2010, EAV-190211-G, Other wastes containing hazardous substances,26.0,5.3,3.8
2010, EAV-190304-G," Wastes marked as hazardous, partially stabilized",12.0,102.8,13.8
2010, EAV-190306-G," Wastes marked as hazardous, solidified",16.0,374.9,97.5
2010, EAV-190402-G, Fly ash and other flue-gas treatment wastes,0.0,0.0,0.0
2010, EAV-190403-G,Non-vitrified solid phase,0.0,0.0,0.0
2010, EAV-190702-G, Landfill leachate containing hazardous substances,103.0,389.8,279.7
2010, EAV-190806-G, Saturated or spent ion exchange resins,46.0,0.6,0.5
2010, EAV-190807-G," Solutions, sludges fr. regenerate. of ion exchangers",0.0,0.0,0.0
2010, EAV-190808-G, Membrane system waste containing heavy metals,7.0,11.8,9.3
2010, EAV-190810-G," Grease,oil mixture from oil/water sep.(ex.190809)",21.0,2.6,0.8
2010, EAV-190811-G, Sludges from bio. treat. of industrial waste water,23.0,180.7,180.6
2010, EAV-190813-G, Sludges from other treat.of industrial waste water,214.0,114.5,96.1
2010, EAV-191003-G, Fluff-light fraction and dust,11.0,4.8,4.4
2010, EAV-191005-G, Other fractions containing hazardous substances,6.0,4.2,1.0
2010, EAV-191101-G, Oil regeneration: Spent filter clays,8.0,3.9,3.2
2010, EAV-191102-G, Oil regeneration: Acid tars,3.0,2.8,2.8
2010, EAV-191103-G, Oil regeneration: Aqueous liquid wastes,8.0,0.5,0.5
2010, EAV-191104-G, Oil regen.: Wastes fr. cleaning of fuel with bases,0.0,0.0,0.0
2010, EAV-191105-G,Oil regen.: Sludges from on-site effluent treat.,28.0,3.4,3.1
2010, EAV-191107-G, Oil regeneration: Wastes from flue-gas cleaning,0.0,0.0,0.0
2010, EAV-191206-G, Mech.treatm.of waste: Wood cont. hazardous subs.,264.0,1041.7,379.3
2010, EAV-191211-G, Other wastes (including mixtures of materials),202.0,544.8,263.4
2010, EAV-191301-G, Solid wastes from soil remediation,34.0,143.3,40.0
2010, EAV-191303-G, Sludges from soil remediation,9.0,34.6,0.1
2010, EAV-191305-G, Sludges from groundwater remediation,30.0,1.4,1.4
2010, EAV-191307-G," Aqueous liquid wastes,concentrates fr.groundw.rem.",23.0,2.1,2.1
2010, EAV-20," Municipal wastes (household wastes, similar wastes)",698.0,113.5,95.5
2010, EAV-200113-G, Solvents,269.0,8.0,7.1
2010, EAV-200114-G, acids,235.0,1.2,1.0
2010, EAV-200115-G, alkalines,233.0,1.4,1.3
2010, EAV-200117-G, Photochemicals,171.0,0.6,0.5
2010, EAV-200119-G, Pesticides,256.0,2.0,1.6
2010, EAV-200121-G, Fluorescent tubes and other mercury-cont. wasted,206.0,3.7,3.6
2010, EAV-200123-G, Discarded equipment containing chlorofluorocarbons,84.0,13.5,10.3
2010, EAV-200126-G, Oil and fat (except 200125),60.0,0.7,0.6
2010, EAV-200127-G,"Paint, inks, adhesives and resins",347.0,23.6,20.6
2010, EAV-200129-G, Detergents containing hazardous substances,88.0,0.6,0.4
2010, EAV-200131-G, Cytotoxic and cytostatic medicines,5.0,0.0,0.0
2010, EAV-200133-G, Batteries and accumulators (160601-160603),92.0,3.3,3.3
2010, EAV-200135-G," Discarded electrical equipment (ex. 200121,23)",118.0,33.9,28.3
2010, EAV-200137-G, Wood containing hazardous substances,73.0,21.0,17.0
2011, EAV-01," Wastes resulting from exploration, mining of minerals",30.0,31.8,29.2
2011, EAV-010304-G, Acid-generating tailings from proc.of sulphide ore,0.0,0.0,0.0
2011, EAV-010305-G, Other tailings containing hazardous substances,0.0,0.0,0.0
2011, EAV-010307-G," Wastes from phys.,chem. proc. of metal. minerals",0.0,0.0,0.0
2011, EAV-010407-G," Wastes from phys.,chem. proc. of non-met. minerals",0.0,0.0,0.0
2011, EAV-010505-G, Oil-containing drilling muds and wastes,21.0,30.0,27.4
2011, EAV-010506-G," Drilling muds, wastes cont. hazardous substances",5.0,0.8,0.8
2011, EAV-02," Wastes from agriculture, horticulture, forestry etc.",64.0,1.5,1.0
2011, EAV-020108-G, Agrochemical waste containing hazardous substances,64.0,1.5,1.0
2011, EAV-03,Wastes from wood processing etc.,21.0,0.4,0.4
2011, EAV-030104-G," Sawdust, shavings, cuttings, wood, particle board",3.0,0.3,0.3
2011, EAV-030201-G, Non-halogenated organic wood preservatives,6.0,0.0,0.0
2011, EAV-030202-G, Organochlorinated wood preservatives,7.0,0.1,0.1
2011, EAV-030203-G, Organometallic wood preservatives,0.0,0.0,0.0
2011, EAV-030204-G, Inorganic wood preservatives,0.0,0.0,0.0
2011, EAV-030205-G, Other wood preservatives cont. hazardous subst.,0.0,0.0,0.0
2011, EAV-04," Wastes from the leather, fur, textile industries",9.0,0.2,0.2
2011, EAV-040103-G, Degreasing wastes cont. solve. without liquid phase,0.0,0.0,0.0
2011, EAV-040214-G, Wastes from finishing containing organic solvents,6.0,0.1,0.1
2011, EAV-040216-G, Dyestuffs and pigments cont. hazardous substances,0.0,0.0,0.0
2011, EAV-040219-G, Textile ind.: Sludges from on-site effl. treatm.,0.0,0.0,0.0
2011, EAV-05," Wastes from petrol. refining, natural gas purification.",157.0,78.5,76.1
2011, EAV-050102-G, Petroleum refining: Desalter sludges,0.0,0.0,0.0
2011, EAV-050103-G, Petroleum refining: Tank bottom sludges,57.0,19.2,18.3
2011,EAV-050104-G, Petroleum refining: Acid alkyl sludges,0.0,0.0,0.0
2011, EAV-050105-G, Petroleum refining: Oil spills,0.0,0.0,0.0
2011, EAV-050106-G, Petroleum ref.: Oily sludges from maint. operat.,55.0,15.4,15.2
2011, EAV-050107-G, Petroleum refining: Acid tars,0.0,0.0,0.0
2011, EAV-050108-G, Petroleum refining: Other tars,6.0,0.2,0.2
2011, EAV-050109-G, Petroleum ref.: Sludges from on-site effl. treatm.,14.0,15.5,15.3
2011, EAV-050111-G, Petrol.ref.:Wastes from clean. of fuels with bases,0.0,0.0,0.0
2011, EAV-050112-G, Petroleum refining: Oil containing acids,0.0,0.0,0.0
2011, EAV-050115-G, Petroleum refining: Spent filter clays,15.0,1.9,0.9
2011, EAV-050601-G, Pyrolytic treatment of coal: Acid tars,0.0,0.0,0.0
2011, EAV-050603-G, Pyrolytic treatment of coal: Other tars,47.0,25.0,25.0
2011, EAV-050701-G, Natural gas purif.: Wastes containing mercury,5.0,0.7,0.7
2011, EAV-06, Wastes from inorganic chemical processes,1013.0,422.7,370.9
2011, EAV-060101-G, Sulfuric acid and sulphurous acid,181.0,113.1,111.1
2011, EAV-060102-G, hydrochloric acid,55.0,11.9,10.7
2011, EAV-060103-G, hydrofluoric acid,13.0,0.4,0.4
2011,EAV-060104-G, Phosphoric and phosphorous acid,32.0,0.9,0.8
2011, EAV-060105-G, Nitric acid and nitrous acid,54.0,2.4,2.4
2011, EAV-060106-G, Other acids,221.0,24.4,21.7
2011, EAV-060201-G, calcium hydroxide,10.0,1.3,1.3
2011, EAV-060203-G, Ammonium hydroxide,65.0,6.4,6.4
2011, EAV-060204-G, Sodium and potassium hydroxide,57.0,7.5,6.9
2011, EAV-060205-G, Other bases,219.0,21.2,20.2
2011, EAV-060311-G, Solid salts and solutions containing cyanides,28.0,0.5,0.4
2011, EAV-060313-G, Solid salts and solutions containing heavy metals,130.0,14.8,12.5
2011, EAV-060315-G, Metallicoxides containing heavy metals,26.0,2.2,2.2
2011, EAV-060403-G, Wastes containing arsenic,18.0,0.8,0.8
2011, EAV-060404-G, Wastes containing mercury,121.0,6.2,6.1
2011, EAV-060405-G, Wastes containing other heavy metals,105.0,98.2,58.1
2011, EAV-060502-G, Sludges from on-site effluent treatment,89.0,58.9,57.9
2011, EAV-060602-G, Wastes containing hazardous sulphides,8.0,1.4,1.4
2011, EAV-060701-G, Wastes containing asbestos from electrolysis,0.0,0.0,0.0
2011, EAV-060702-G, Activated carbon from chlorine production,0.0,0.0,0.0
2011, EAV-060703-G,Barium sulphate sludge containing mercury,0.0,0.0,0.0
2011, EAV-060704-G," Solutions and acids, for example contact acid",0.0,0.0,0.0
2011, EAV-060802-G, Waste containing hazardous chlorocyanes,4.0,0.1,0.1
2011, EAV-060903-G, Calcium-based reaction wastes,0.0,0.0,0.0
2011, EAV-061002-G, Nitrogen chemicals: Wastes cont. hazardous subst.,4.0,0.1,0.1
2011, EAV-061301-G, Inorganic plant protection products etc.,42.0,0.3,0.2
2011, EAV-061302-G, Spent activated carbon (except 060702),56.0,36.4,36.3
2011, EAV-061304-G, Wastes from asbestos processing,10.0,0.7,0.3
2011, EAV-061305-G, Soot,0.0,0.0,0.0
2011, EAV-07, Wastes from organic chemical processes,1794.0,1136.3,1062.2
2011, EAV-070101-G," Organic chem.: Aqueous washing liquids, mother liq.",154.0,51.9,39.6
2011, EAV-070103-G, Organic chem.: Organic halogenated solvents etc.,89.0,25.0,20.8
2011, EAV-070104-G, Organic chem.: Other organic solvents etc.,341.0,111.2,97.2
2011, EAV-070107-G, Organic chem.: Halogenated still bottoms etc.,34.0,40.0,39.7
2011, EAV-070108-G," Organic chem.: Other still bottoms,reaction residue.",135.0,78.0,72.0
2011, EAV-070109-G,"Organic chem.: Halogenated filter cakes, spent abs.",14.0,0.5,0.5
2011, EAV-070110-G," Organic chem.: Other filter cakes, spent absorbents",45.0,5.1,5.1
2011, EAV-070111-G, Organic chem.: Sludges from on-site effl. treatment.,36.0,5.8,5.2
2011, EAV-070201-G," Plastics: Aqueous washing liquids, mother liquors",80.0,33.3,33.0
2011, EAV-070203-G, Plastics: Organic halogenated solvents etc.,42.0,3.5,3.4
2011, EAV-070204-G," Plastics: Other organic solvents,washing liq. etc.",169.0,37.4,36.7
2011, EAV-070207-G," Plastics: Halogenated still bottoms, react. residence.",49.0,5.5,5.4
2011, EAV-070208-G," Plastics: Other still bottoms, reaction residues",412.0,85.2,79.6
2011, EAV-070209-G," Plastics: Halogenated filter cakes, spent absorb.",7.0,0.3,0.3
2011, EAV-070210-G, Plastics: Other filter cakes and spent absorbents,43.0,4.2,4.1
2011, EAV-070211-G, Plastics: Sludges from on-site effluent treatment,19.0,1.7,1.5
2011, EAV-070214-G, Plastics: Wastes from additives cont. haza. subst.,44.0,3.3,3.2
2011, EAV-070216-G, Plastics: Waste containing hazardous silicones,6.0,0.9,0.9
2011, EAV-070301-G,"Organic dyes: Aqueous washing liquids, mother liq.",33.0,5.2,4.3
2011, EAV-070303-G, Organic dyes: Organic halogenated solvents etc.,25.0,1.9,1.2
2011, EAV-070304-G, Organic dyes: Other organic solvents etc.,238.0,43.7,38.6
2011, EAV-070307-G, Organic dyes: Halogenated still bottoms etc.,8.0,0.6,0.6
2011, EAV-070308-G," Organic dyes: Other still bottoms, reaction residue.",28.0,4.2,4.1
2011, EAV-070309-G," Organic dyes: Halogenated filter cakes, spent abs.",4.0,0.1,0.1
2011, EAV-070310-G," Organic dyes: Other filter cakes, spent absorbents",13.0,0.9,0.9
2011, EAV-070311-G, Organic dyes: Sludges from on-site effl. treatment.,4.0,0.1,0.1
2011, EAV-070401-G, Org.plant prot.: Aqueous washing liquids etc.,15.0,14.2,14.2
2011, EAV-070403-G, Org.plant prot.: Organic halogenated solvents etc.,13.0,62.4,62.3
2011, EAV-070404-G, Org.plant prot.: Other organic solvents etc.,11.0,28.6,28.6
2011, EAV-070407-G, Org.plant prot.: Halogenated still bottoms etc.,9.0,23.0,23.0
2011, EAV-070408-G," Org.plant prot.: Other still bottoms, react.resid.",6.0,4.2,4.2
2011, EAV-070409-G,Org.plant prot.: Halogenated filter cakes etc.,4.0,0.2,0.2
2011, EAV-070410-G," Org.plant prot.: Other filter cakes, absorb spent.",9.0,0.6,0.6
2011, EAV-070411-G, Org.plant prot.: Sludges from on-site effl.treatm.,0.0,0.0,0.0
2011, EAV-070413-G, Org.plant prot.: Solid wastes cont. haza. subst.,8.0,0.1,0.1
2011, EAV-070501-G, Pharmaceuticals: Aqueous washing liquids etc.,46.0,68.7,68.7
2011, EAV-070503-G, Pharmaceuticals: Organic halogenated solvents etc.,56.0,20.6,20.1
2011, EAV-070504-G, Pharmaceuticals: Other organic solvents etc.,88.0,60.8,60.5
2011, EAV-070507-G, Pharmaceuticals: Halogenated still bottoms etc.,12.0,2.6,2.6
2011, EAV-070508-G," Pharmaceuticals: Other still bottoms, react.resid.",50.0,5.3,5.1
2011, EAV-070509-G, Pharmaceuticals: Halogenated filter cakes etc.,8.0,0.0,0.0
2011, EAV-070510-G," Pharmaceuticals: Other filter cakes, spent absorb.",27.0,2.6,2.5
2011, EAV-070511-G, Pharmaceuticals: Sludges from on-site effl.treatm.,8.0,0.7,0.7
2011, EAV-070513-G, Pharmaceuticals: Solid wastes cont.haza.substances,39.0,1.3,1.3
2011, EAV-070601-G,"Fats,soaps: Aqueous washing liquids,mother liquors",113.0,44.7,43.1
2011, EAV-070603-G," Fats, soaps: Organic halogenated solvents etc.",22.0,0.7,0.4
2011, EAV-070604-G," Fats, soaps: Other organic solvents etc.",78.0,7.3,6.3
2011, EAV-070607-G," Fats,soaps: Halogenated still bottoms,react.resid.",3.0,0.1,0.0
2011, EAV-070608-G," Fats,soaps: Other still bottoms, reaction residues",144.0,34.1,33.0
2011, EAV-070609-G," Fats,soaps: Halogenated filter cakes,spent absorb.",0.0,0.0,0.0
2011, EAV-070610-G," Fats, soaps: Other filter cakes, spent absorbents",19.0,2.8,2.8
2011, EAV-070611-G," Fats, soaps: Sludges from on-site effluent treatment.",6.0,1.9,1.9
2011, EAV-070701-G," Fine chem.: Aqueous washing liquids, mother liquors",137.0,67.1,59.4
2011, EAV-070703-G, Fine chem.: Organic halogenated solvents etc.,103.0,22.0,20.8
2011, EAV-070704-G, Fine chem.: Other organic solvents etc.,174.0,52.8,50.4
2011, EAV-070707-G," Fine chem.: Halogenated still bottoms,react.resid.",33.0,4.9,4.7
2011, EAV-070708-G," Fine chem.: Other still bottoms, reaction residues",80.0,47.7,41.9
2011, EAV-070709-G,"Fine chem.: Halogenated filter cakes, spent absorb.",22.0,0.5,0.4
2011, EAV-070710-G," Fine chem.: Other filter cakes, spent absorbents",52.0,2.3,2.2
2011, EAV-070711-G, Fine chem.: Sludges from on-site effluent treatm.,21.0,1.6,1.5
2011, EAV-08," Wastes from the MFSU of coatings, adhesives etc.",1420.0,186.2,160.0
2011, EAV-080111-G," Waste paint, varnish containing organic solvents",677.0,63.4,49.4
2011, EAV-080113-G, Sludges from paint and varnish cont. org. solvents,402.0,33.6,28.1
2011, EAV-080115-G," Paint,varnish: Aqueous sludges cont. paint etc.",157.0,18.9,17.8
2011, EAV-080117-G, Wastes from paint or varnish removal cont.org.sol.,176.0,24.0,22.4
2011, EAV-080119-G, Aqueous suspensions cont. paint or varnish,40.0,10.5,10.1
2011, EAV-080121-G, Waste paint or varnish remover,16.0,0.4,0.3
2011, EAV-080312-G, Waste ink containing hazardous substances,126.0,6.2,5.5
2011, EAV-080314-G, Ink sludges containing hazardous substances,54.0,5.3,5.0
2011, EAV-080316-G, Waste etching solutions,0.0,0.0,0.0
2011, EAV-080317-G, Waste printing toner cont. hazardous substances,10.0,0.0,0.0
2011, EAV-080319-G, Disperse oil,0.0,0.0,0.0
2011,EAV-080409-G, Waste adhesives and sealants cont.organic solvents,289.0,22.0,19.8
2011, EAV-080411-G, Adhesive and sealant sludges cont.organic solvents,9.0,0.4,0.4
2011, EAV-080413-G," Adhesives,sealants: Aqueous sludges cont.adhesives",10.0,0.4,0.4
2011, EAV-080415-G," Adhesives,sealants: Aqueous liquid waste cont.adh.",14.0,0.5,0.5
2011, EAV-080417-G," Adhesives, sealants: Rosin oil",0.0,0.0,0.0
2011, EAV-080501-G, Waste isocyanates,33.0,0.6,0.3
2011, EAV-09, Wastes from the photographic industry,205.0,33.1,28.3
2011, EAV-090101-G, Water-based developer and activator solutions,125.0,11.0,9.7
2011, EAV-090102-G, Water-based offset plate developer solutions,99.0,12.8,10.8
2011, EAV-090103-G, Solvent-based developer solutions,13.0,0.0,0.0
2011, EAV-090104-G, fixer solutions,101.0,6.1,5.2
2011, EAV-090105-G, Bleach solutions and bleach fixer solutions,37.0,2.5,2.3
2011, EAV-090106-G, Wastes cont. silver from on-site treatment. of photo.,0.0,0.0,0.0
2011, EAV-090111-G, Single-use cameras cont. batteries (160601-160603),0.0,0.0,0.0
2011, EAV-090113-G, Aq.liq.waste fr. on-site recl.of silver(ex.090106),0.0,0.0,0.0
2011,EAV-10, Wastes from thermal processes,663.0,886.3,758.5
2011, EAV-100104-G, Oil fly ash and boiler dust,25.0,2.8,2.8
2011, EAV-100109-G, Sulfuric acid,0.0,0.0,0.0
2011, EAV-100113-G, Fly ash from emulsified hydrocarbons used as fuel,0.0,0.0,0.0
2011, EAV-100114-G," Bottom ash,slag,boiler dust from co-incineration",34.0,73.7,66.5
2011, EAV-100116-G, Fly ash from co-incineration,27.0,32.9,32.7
2011, EAV-100118-G, Wastes from gas cleaning cont. hazardous subst.,73.0,25.4,25.3
2011, EAV-100120-G, Power stations: Sludges from on-site effl. treatment.,3.0,1.6,1.6
2011, EAV-100122-G, Power stations: Aqueous sludges from boiler clean.,3.0,1.0,1.0
2011, EAV-100207-G," Iron, steel: Solid wastes from gas treatment",68.0,258.3,256.3
2011, EAV-100211-G," Iron,steel: Wastes fr.cooling-water treat.cont.oil",3.0,3.9,3.9
2011, EAV-100213-G," Iron, steel: Sludges, filter cakes from gas treatm.",12.0,66.7,63.1
2011, EAV-100304-G, Aluminium: Primary production slags,0.0,0.0,0.0
2011, EAV-100308-G, Aluminium: Salt slags from secondary production,13.0,278.9,187.2
2011, EAV-100309-G, Aluminium: Black dross from secondary production,0.0,0.0,0.0
2011,EAV-100315-G, Aluminium: Skimmings that are flammable etc.,59.0,32.4,26.7
2011, EAV-100317-G, Aluminium: Tar-containing wastes from anode manuf.,4.0,1.0,0.8
2011, EAV-100319-G, Aluminum: Flue-gas dust cont. hazardous subst.,10.0,2.0,2.0
2011, EAV-100321-G, Aluminum: Other particulates and dust,4.0,1.0,1.0
2011, EAV-100323-G, Aluminum: Solid wastes from gas treatment,28.0,17.0,10.7
2011, EAV-100325-G," Aluminium: Sludges, filter cakes from gas treatment.",5.0,0.3,0.3
2011, EAV-100327-G, Aluminium: Wastes fr.cooling-water treatm.cont.oil,3.0,0.1,0.1
2011, EAV-100329-G, Aluminium: Wastes from treatment. of salt slags etc.,0.0,0.0,0.0
2011, EAV-100401-G, Lead: Slags from primary and secondary production,6.0,27.7,27.7
2011, EAV-100402-G," Lead: Dross, skimmings from primary, second. prod.",61.0,7.5,7.2
2011, EAV-100403-G, Lead: Calcium arsenate,0.0,0.0,0.0
2011, EAV-100404-G, Lead: Flue-gas dust,3.0,0.1,0.1
2011, EAV-100405-G, Lead: Other particulates and dust,12.0,5.1,1.0
2011, EAV-100406-G, Lead: Solid wastes from gas treatment,3.0,0.3,0.3
2011, EAV-100407-G,Lead: Sludges and filter cakes from gas treatment,0.0,0.0,0.0
2011, EAV-100409-G, Lead: Wastes from cooling-water treatment. cont. oil,0.0,0.0,0.0
2011, EAV-100503-G, Zinc: Flue-gas dust,12.0,0.5,0.5
2011, EAV-100505-G, Zinc: Solid waste from gas treatment,7.0,0.3,0.3
2011, EAV-100506-G, Zinc: Sludges and filter cakes from gas treatment,0.0,0.0,0.0
2011, EAV-100508-G, Zinc: Wastes from cooling-water treatment. cont. oil,0.0,0.0,0.0
2011, EAV-100510-G, Zinc: Dross and skimmings that are flammable etc.,0.0,0.0,0.0
2011, EAV-100603-G, Copper: Flue-gas dust,5.0,1.5,1.5
