GENESIS-Tabelle: 32111-0002
Abfallentsorgung: Deutschland, Jahre, Abfallarten;;;;;;;
Erhebung der Abfallentsorgung;;;;;;;
Deutschland;;;;;;;
;;;Abfallentsorgungsanlagen;Input von Abfallentsorgungsanlagen;Im eigenen Betrieb erzeugte Abfälle;Aus dem Inland angelieferter Abfall;Aus dem Ausland angelieferter Abfall
2018;EAV-060205-G;Andere Basen;54;15,6;0,2;13,3;2,1
2018;EAV-060299-U;Basen: Abfälle a.n.g.;4;0,2;-;0,2;-
2018;EAV-060311-G;Feste Salze u. Lösungen, Cyanid enthaltend;10;0,5;-;0,5;0,0
2018;EAV-060313-G;Feste Salze u. Lösungen, Schwermetalle enthaltend;54;16,8;8,9;7,4;0,5
2018;EAV-060314-U;Feste Salze und Lösungen (ohne 060311 und 060313);69;225,6;3,9;214,8;7,0
2018;EAV-060315-G;Metalloxide, die Schwermetalle enthalten;26;4,0;0,4;3,4;0,2
2018;EAV-060316-U;Metalloxide (ohne 060315);41;60,8;3,6;57,2;0,0
2018;EAV-060399-U;Salze, Salzlösungen, Metalloxide: Abfälle a.n.g.;7;0,7;-;0,7;0,0
2018;EAV-060403-G;Arsenhaltige Abfälle;9;1,0;0,0;0,6;0,4
2018;EAV-060404-G;Quecksilberhaltige Abfälle;30;3,3;0,0;2,4;0,8
2018;EAV-060405-G;Abfälle, die andere Schwermetalle enthalten;35;61,4;0,2;60,1;1,0
2018;EAV-060499-U;Metallhaltige Abfälle a.n.g.;-;-;-;-;-
2018;EAV-060502-G;Schlämme aus betriebseigener Abwasserbehandlung;49;59,0;1,9;44,4;12,7
2018;EAV-060503-U;Schlämme aus betriebseign. Abwasserbeh.(oh.060502);66;107,4;16,5;90,8;0,1
2018;EAV-060602-G;Abfälle, die gefährliche Sulfide enthalten;8;1,3;0,6;0,8;0,0
2018;EAV-060603-U;Sulfidhaltige Abfälle (ohne 060602);-;-;-;-;-
2018;EAV-060699-U;Schwefelhaltige Chemikalien: Abfälle a.n.g.;-;-;-;-;-
2018;EAV-060701-G;Asbesthaltige Abfälle aus der Elektrolyse;-;-;-;-;-
2018;EAV-060702-G;Aktivkohle aus der Chlorherstellung;3;0,3;-;0,3;-
2018;EAV-060703-G;Quecksilberhaltige Bariumsulfatschlämme;-;-;-;-;-
2018;EAV-060704-G;Lösungen und Säuren, z.B. Kontaktsäure;-;-;-;-;-
2018;EAV-060799-U;Halogene: Abfälle a.n.g.;4;1,2;1,2;0,1;-
2018;EAV-060802-G;Gefährliche Chlorsilane enthaltende Abfälle;5;11,7;10,8;0,7;0,2
2018;EAV-060899-U;Silizium, Siliziumverbindungen: Abfälle a.n.g.;21;13,8;0,3;13,3;0,3
2018;EAV-060902-U;Phosphorhaltige Schlacke;-;-;-;-;-
2018;EAV-060903-G;Reaktionsabfälle auf Calciumbasis;-;-;-;-;-
2018;EAV-060904-U;Reaktionsabfälle auf Calciumbasis (ohne 060903);3;0,1;-;0,0;0,0
2018;EAV-060999-U;Phosphorhaltige Chemikalien: Abfälle a.n.g.;-;-;-;-;-
2018;EAV-061002-G;Stickstoffh.Chemik.: Abfälle mit gefährl. Stoffen;5;0,3;0,2;0,0;-
2018;EAV-061099-U;Stickstoffhaltige Chemikalien: Abfälle a.n.g.;-;-;-;-;-
2018;EAV-061101-U;Reaktionsabfälle auf Calciumbasis a. Titandioxidh.;6;28,0;-;28,0;-
2018;EAV-061199-U;Anorganische Pigmente, Farbgeber: Abfälle a.n.g.;5;2,9;-;2,9;-
2018;EAV-061301-G;Anorganische Pflanzenschutzmittel,Holzschutzmittel;11;0,1;0,0;0,1;-
2018;EAV-061302-G;Gebrauchte Aktivkohle (ohne 060702);33;3,5;0,1;3,0;0,4
2018;EAV-061303-U;Industrieruß;17;4,6;-;4,4;0,2
2018;EAV-061304-G;Abfälle aus der Asbestverarbeitung;4;1,0;-;1,0;-
2018;EAV-061305-G;Ofen- und Kaminruß;-;-;-;-;-
2018;EAV-061399-U;Anorganische chemische Prozesse: Abfälle a.n.g.;5;0,1;0,1;0,0;-
2018;EAV-070101-G;Org.Grundchemik.: Wässrige Waschfl., Mutterlaugen;63;78,8;32,7;43,2;2,8
2018;EAV-070103-G;Org.Grundchemik.: Halogenorg.Lösemittel, Waschfl.;38;50,7;29,6;20,2;1,0
2018;EAV-070104-G;Org.Grundchemik.: Lösemittel, Waschflüssigkeiten;84;215,6;109,7;103,2;2,6
2018;EAV-070107-G;Org.Grundchemik.: Halog.Reaktions-,Destill.rückst.;27;73,3;20,2;42,4;10,7
2018;EAV-070108-G;Org.Grundchemik.: Reaktions-,Destillationsrückst.;68;147,8;50,3;79,0;18,5
2018;EAV-070109-G;Org.Grundchemik.: Halog.Filterkuchen, Aufsaugmat.;13;0,8;0,0;0,6;0,1
2018;EAV-070110-G;Org.Grundchemik.: And. Filterkuchen, Aufsaugmat.;26;3,1;0,1;2,9;0,1
2018;EAV-070111-G;Org.Grundchemik.:Schlämme(betriebseig.Abwasserbeh);23;29,5;17,5;3,0;9,0
2018;EAV-070112-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070111);19;11,1;0,1;11,0;-
2018;EAV-070199-U;Organische Grundchemikalien: Abfälle a.n.g.;37;15,3;0,1;14,4;0,8
2018;EAV-070201-G;Kunststoffe: Wässrige Waschfl., Mutterlaugen;47;22,2;1,5;20,0;0,7
2018;EAV-070203-G;Kunststoffe: Halogenorg.Lösemittel, Waschflüssig.;26;3,3;0,5;2,8;-
2018;EAV-070204-G;Kunststoffe: organ. Lösemittel, Waschflüssigkeiten;56;32,6;6,9;23,2;2,5
2018;EAV-070207-G;Kunststoffe: Halog. Reaktions-, Destill.rückstände;22;5,6;1,7;3,1;0,8
2018;EAV-070208-G;Kunststoffe: Reaktions-, Destillationsrückstände;76;94,8;26,0;68,0;0,8
2018;EAV-070209-G;Kunststoffe: Halog. Filterkuchen, Aufsaugmat.;5;0,2;0,0;0,2;-
2018;EAV-070210-G;Kunststoffe: And. Filterkuchen, Aufsaugmaterialien;27;7,1;1,3;5,8;-
2018;EAV-070211-G;Kunststoffe: Schlämme (betriebseig.Abwasserbeh.);10;1,1;0,1;1,1;-
2018;EAV-070212-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070211);34;16,8;3,3;13,5;0,0
2018;EAV-070213-U;Kunststoffabfälle;267;388,6;6,0;359,0;23,6
2018;EAV-070214-G;Kunststoffe: Abfälle v.Zusatzstoffen m.gefährl.St.;19;1,4;0,4;1,0;0,1
2018;EAV-070215-U;Abfälle von Zusatzstoffen (ohne 070214);20;0,7;0,2;0,5;-
2018;EAV-070216-G;Kunststoffe: Gefährl. Silicone enthaltende Abfälle;7;0,9;0,6;0,3;-
2018;EAV-070217-U;Siliconhaltige Abfälle (ohne 070216);6;0,5;0,2;0,4;-
2018;EAV-070299-U;Kunststoffe, -fasern, synth. Gummi: Abfälle a.n.g.;56;41,7;0,3;34,5;6,9
2018;EAV-070301-G;Org.Farbstoffe: Wässrige Waschfl., Mutterlaugen;18;4,1;0,1;2,8;1,2
2018;EAV-070303-G;Org.Farbstoffe: Halogenorg. Lösemittel, Waschfl.;15;0,7;-;0,7;-
2018;EAV-070304-G;Org.Farbstoffe: Lösemittel, Waschflüssigkeiten;45;29,3;0,5;27,6;1,2
2018;EAV-070307-G;Org.Farbstoffe: Halog. Reaktions-, Destill.rückst.;11;1,4;1,0;0,4;-
2018;EAV-070308-G;Org.Farbstoffe: Reaktions-,Destillationsrückstände;15;6,1;0,0;6,1;-
2018;EAV-070309-G;Org.Farbstoffe: Halog. Filterkuchen, Aufsaugmat.;5;0,2;0,1;0,1;-
2018;EAV-070310-G;Org.Farbstoffe: Andere Filterkuchen, Aufsaugmat.;6;0,4;0,0;0,3;-
2018;EAV-070311-G;Org.Farbstoffe: Schlämme(betriebseig.Abwasserbeh.);-;-;-;-;-
2018;EAV-070312-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070311);4;0,1;0,0;0,1;-
2018;EAV-070399-U;Organische Farbstoffe, Pigmente: Abfälle a.n.g.;5;0,3;-;0,3;0,0
2018;EAV-070401-G;Pflanzenschutzmittel:Wässrige Waschfl.,Mutterlaug.;24;31,2;15,8;13,3;2,0
2018;EAV-070403-G;Pflanzenschutzmit.: Halogenorg.Lösemittel,Waschfl.;22;86,5;49,9;35,8;0,8
2018;EAV-070404-G;Pflanzenschutzmittel: Organ. Lösemittel, Waschfl.;21;35,3;8,5;26,3;0,5
2018;EAV-070407-G;Pflanzenschutzmit.:Halog.Reaktions-,Destill.rückst;13;32,7;15,9;16,8;-
2018;EAV-070408-G;Pflanzenschutzmittel: Reaktions-, Destill.rückst.;11;6,5;2,7;3,8;0,0
2018;EAV-070409-G;Pflanzenschutzmittel:Halog.Filterkuchen,Aufsaugmat;7;0,3;0,2;0,1;-
2018;EAV-070410-G;Pflanzenschutzmittel: Filterkuchen, Aufsaugmat.;6;0,3;0,1;0,2;-
2018;EAV-070411-G;Pflanzenschutzm.:Schlämme(betriebseig.Abwasserbeh);7;0,4;0,3;0,1;-
2018;EAV-070412-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070411);-;-;-;-;-
2018;EAV-070413-G;Pflanzenschutzmittel: Feste Abfälle m.gefährl.St.;12;1,3;0,6;0,6;0,1
2018;EAV-070499-U;Pflanzenschutzmittel u.a.: Abfälle a.n.g.;5;3,5;0,0;0,1;3,4
2018;EAV-070501-G;Pharmazeutika: Wässrige Waschfl., Mutterlaugen;32;33,0;9,4;21,0;2,6
2018;EAV-070503-G;Pharmazeutika: Halogenorg.Lösemittel, Waschfl.;25;31,9;20,8;6,7;4,4
2018;EAV-070504-G;Pharmazeutika: organ. Lösemittel, Waschflüssigk.;35;72,8;15,6;53,8;3,4
2018;EAV-070507-G;Pharmazeutika: Halog.Reaktions-, Destill.rückst.;11;1,5;0,2;1,2;0,1
2018;EAV-070508-G;Pharmazeutika: Reaktions-,Destillationsrückstände;20;4,6;0,0;4,5;0,1
2018;EAV-070509-G;Pharmazeutika: Halog.Filterkuchen, Aufsaugmat.;9;0,5;0,2;0,1;0,2
2018;EAV-070510-G;Pharmazeutika: Filterkuchen, Aufsaugmaterialien;16;2,0;0,1;1,8;0,1
2018;EAV-070511-G;Pharmazeutika: Schlämme (betriebseig.Abwasserbeh.);6;0,5;-;0,4;0,0
2018;EAV-070512-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070511);-;-;-;-;-
2018;EAV-070513-G;Pharmazeutika: Feste Abfälle mit gefährl. Stoffen;16;2,3;-;1,3;1,0
2018;EAV-070514-U;Feste Abfälle (ohne 070513);29;14,6;1,3;13,3;0,0
2018;EAV-070599-U;Pharmazeutika: Abfälle a.n.g.;43;20,8;6,5;14,1;0,2
2018;EAV-070601-G;Fette, Seifen: Wässrige Waschfl., Mutterlaugen;49;24,5;0,3;23,4;0,8
2018;EAV-070603-G;Fette, Seifen: Halogenorg.Lösemittel, Waschfl.;14;0,5;-;0,5;-
2018;EAV-070604-G;Fette, Seifen: organ. Lösemittel, Waschflüssigk.;41;7,6;1,2;6,3;0,1
2018;EAV-070607-G;Fette, Seifen: Halog.Reaktions-, Destill.rückst.;5;0,1;-;0,1;-
2018;EAV-070608-G;Fette, Seifen: Reaktions-,Destillationsrückstände;45;42,6;2,0;40,6;0,1
2018;EAV-070609-G;Fette, Seifen: Halog.Filterkuchen, Aufsaugmat.;-;-;-;-;-
2018;EAV-070610-G;Fette, Seifen: Filterkuchen, Aufsaugmaterialien;19;2,6;0,0;2,6;-
2018;EAV-070611-G;Fette, Seifen: Schlämme (betriebseig.Abwasserbeh.);7;1,2;-;1,2;-
2018;EAV-070612-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070611);28;24,3;0,0;24,3;-
2018;EAV-070699-U;Fette, Seifen, Schmierstoffe u.a.: Abfälle a.n.g.;71;28,9;0,0;28,6;0,3
2018;EAV-070701-G;Feinchemikalien: Wässrige Waschfl., Mutterlaugen;51;75,9;19,9;54,4;1,6
2018;EAV-070703-G;Feinchemikalien: Halogenorg.Lösemittel, Waschfl.;30;26,7;10,7;15,8;0,2
2018;EAV-070704-G;Feinchemikalien: organ. Lösemittel, Waschflüssigk.;46;48,4;9,4;38,2;0,8
2018;EAV-070707-G;Feinchemikalien: Halog.Reaktions-, Destill.rückst.;20;17,1;4,9;12,2;0,1
2018;EAV-070708-G;Feinchemikalien: Reaktions-, Destillationsrückst.;37;102,7;71,3;30,0;1,4
2018;EAV-070709-G;Feinchemikalien: Halog.Filterkuchen, Aufsaugmat.;14;0,9;0,0;0,8;-
2018;EAV-070710-G;Feinchemikalien: Filterkuchen, Aufsaugmaterialien;25;3,9;0,6;3,4;-
2018;EAV-070711-G;Feinchemikalien:Schlämme(betriebseig.Abwasserbeh.);13;2,3;0,5;1,8;-
2018;EAV-070712-U;Schlämme aus betriebseign. Abwasserbeh.(oh.070711);10;1,1;0,2;0,9;-
2018;EAV-070799-U;Feinchemikalien: Abfälle a.n.g.;10;1,5;0,0;1,5;-
2018;EAV-080111-G;Farb- und Lackabfälle mit gefährlichen Stoffen;78;48,8;3,7;37,7;7,4
2018;EAV-080112-U;Farb- und Lackabfälle (ohne 080111);116;31,3;0,0;30,7;0,6
2018;EAV-080113-G;Farb- und Lackschlämme mit gefährlichen Stoffen;52;26,1;6,4;19,3;0,4
2018;EAV-080114-U;Farb- und Lackschlämme (ohne 080113);18;4,8;-;4,8;-
2018;EAV-080115-G;Farben, Lacke: Wässrige Schlämme mit gefährl. St.;36;16,3;3,9;12,4;-
2018;EAV-080116-U;Wässrige Schlämme (ohne 080115);68;40,4;0,7;39,7;-
2018;EAV-080117-G;Abfälle aus der Farb- oder Lackentfernung;57;20,0;0,1;19,7;0,2
2018;EAV-080118-U;Abfälle aus Farb- od. Lackentfernung (oh. 080117);24;3,8;-;3,8;-
2018;EAV-080119-G;Wässrige Suspensionen, Farben o. Lacke enthaltend;24;15,5;0,0;15,5;0,0
2018;EAV-080120-U;Wässrige Suspensionen (ohne 080119);45;13,4;0,3;13,2;-
2018;EAV-080121-G;Farb- oder Lackentfernerabfälle;7;1,1;0,0;1,1;-
2018;EAV-080199-U;Farben, Lacke: Abfälle a.n.g.;3;0,1;-;0,1;-
2018;EAV-080201-U;Abfälle von Beschichtungspulver;34;3,1;-;3,1;0,0
2018;EAV-080202-U;Wässrige Schlämme,keramische Werkstoffe enthaltend;19;1,9;-;1,9;-
2018;EAV-080203-U;Wässrige Suspensionen,keram. Werkstoffe enthaltend;7;2,0;-;2,0;-
2018;EAV-080299-U;Andere Beschichtungen: Abfälle a.n.g.;-;-;-;-;-
2018;EAV-080307-U;Wässrige Schlämme, die Druckfarben enthalten;8;0,2;-;0,2;0,0
2018;EAV-080308-U;Wässrige flüssige Abfälle,d. Druckfarben enthalten;24;7,5;-;7,5;-
2018;EAV-080312-G;Druckfarbenabfälle mit gefährlichen Stoffen;31;3,0;0,2;2,7;0,0
2018;EAV-080313-U;Druckfarbenabfälle (ohne 080312);30;2,4;0,0;2,3;-
2018;EAV-080314-G;Druckfarbenschlämme mit gefährlichen Stoffen;19;3,5;0,0;3,5;-
2018;EAV-080315-U;Druckfarbenschlämme (ohne 080314);8;0,5;-;0,5;-
2018;EAV-080316-G;Abfälle von Ätzlösungen;-;-;-;-;-
2018;EAV-080317-G;Tonerabfälle, die gefährliche Stoffe enthalten;9;0,0;-;0,0;-
2018;EAV-080318-U;Tonerabfälle (ohne 080317);44;2,0;0,0;1,7;0,2
2018;EAV-080319-G;Dispersionsöl;-;-;-;-;-
2018;EAV-080399-U;Druckfarben: Abfälle a.n.g.;-;-;-;-;-
2018;EAV-080409-G;Klebstoff- und Dichtmassenabfälle mit gefährl. St.;54;17,1;0,3;14,2;2,6
2018;EAV-080410-U;Klebstoff- und Dichtmassenabfälle (ohne 080409);65;10,2;0,1;10,0;0,1
2018;EAV-080411-G;Klebstoff- und dichtmassenhaltige Schlämme;3;0,2;-;0,2;-
2018;EAV-080412-U;Klebstoff- u. dichtmassenhalt. Schlämme(oh.080411);7;0,7;0,0;0,7;-
2018;EAV-080413-G;Klebst.,Dichtm.: Wässrige Schlämme m.gefährl.St.;9;0,5;0,0;0,4;-
2018;EAV-080414-U;Wässrige Schlämme (ohne 080413);28;5,2;0,1;5,2;-
2018;EAV-080415-G;Klebst.,Dichtm.:Wässrige flüssige Abf.m.gefährl.St;8;0,5;0,0;0,5;-
2018;EAV-080416-U;Wässrige flüssige Abfälle (ohne 080415);28;19,3;13,4;6,0;-
2018;EAV-080417-G;Klebstoffe, Dichtmassen: Harzöle;-;-;-;-;-
2018;EAV-080499-U;Klebstoffe, Dichtmassen: Abfälle a.n.g.;-;-;-;-;-
2018;EAV-080501-G;Isocyanatabfälle;15;1,9;0,1;1,2;0,6
2018;EAV-090101-G;Entwickler und Aktivatorenlösungen auf Wasserbasis;25;2,1;0,0;1,6;0,5
2018;EAV-090102-G;Offsetdruckplatten-Entwicklerlösungen;24;4,3;0,0;3,9;0,3
2018;EAV-090103-G;Entwicklerlösungen auf Lösemittelbasis;-;-;-;-;-
2018;EAV-090104-G;Fixierbäder;23;2,6;0,1;2,0;0,5
2018;EAV-090105-G;Bleichlösungen und Bleich-Fixier-Bäder;9;1,1;0,0;1,0;0,1
2018;EAV-090106-G;Silberhaltige Abfälle aus Beh. fotograf. Abfälle;-;-;-;-;-
2018;EAV-090107-U;Filme und fotografische Papiere mit Silber;8;3,0;-;2,0;1,0
2018;EAV-090108-U;Filme und fotografische Papiere ohne Silber;23;3,2;0,0;3,2;-
2018;EAV-090110-U;Einwegkameras ohne Batterien;-;-;-;-;-
2018;EAV-090111-G;Einwegkameras mit Batterien (160601-160603);-;-;-;-;-
2018;EAV-090112-U;Einwegkameras mit Batterien (ohne 090111);-;-;-;-;-
2018;EAV-090113-G;Abfälle aus Silberrückgewinnung (ohne 090106);-;-;-;-;-
2018;EAV-090199-U;Fotografische Industrie: Abfälle a.n.g.;3;6,2;-;6,1;0,0
2018;EAV-100101-U;Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100104);225;5888,3;4739,0;1146,2;3,0
2018;EAV-100102-U;Filterstäube aus Kohlefeuerung;55;2387,8;43,0;2344,5;0,2
2018;EAV-100103-U;Filterstäube aus Torffeuerung und Feuerung;52;66,6;26,6;39,9;-
2018;EAV-100104-G;Filterstäube und Kesselstaub aus Ölfeuerung;18;4,2;0,7;2,9;0,6
2018;EAV-100105-U;Reaktionsabfälle auf Calciumbasis in fester Form;50;791,2;362,4;418,0;10,8
2018;EAV-100107-U;Reaktionsabfälle auf Calciumbasis (Schlämme);19;38,0;0,1;37,8;-
2018;EAV-100109-G;Schwefelsäure;-;-;-;-;-
2018;EAV-100113-G;Filterstäube aus emulgierten Kohlenwasserstoffen;-;-;-;-;-
2018;EAV-100114-G;Rost- und Kesselasche, Schlacken, Kesselstaub;28;50,8;-;47,5;3,3
2018;EAV-100115-U;Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100114);48;799,3;7,3;789,8;2,1
2018;EAV-100116-G;Filterstäube aus der Abfallmitverbrennung;19;20,0;-;20,0;-
2018;EAV-100117-U;Filterstäube aus Abfallmitverbrennung (oh.100116);43;1914,3;208,4;1702,9;3,0
2018;EAV-100118-G;Abfälle aus der Abgasbehandlung mit gefährl. St.;40;29,2;0,0;28,7;0,5
2018;EAV-100119-U;Abfälle a. Abgasbehandl.(oh.100105,100107,100118);29;17,7;0,0;9,3;8,3
2018;EAV-100120-G;Kraftwerke u.a.:Schlämme(betriebseig.Abwasserbeh.);9;2,9;0,1;2,8;-
2018;EAV-100121-U;Schlämme a. betriebs.Abwasserbehandlung(oh.100120);15;5,9;-;5,9;-
2018;EAV-100122-G;Kraftwerke u.a.:Wässrige Schlämme a. Kesselreinig.;9;2,4;1,3;1,1;-
2018;EAV-100123-U;Wässrige Schlämme aus Kesselreinigung (oh.100122);4;0,2;-;0,2;-
2018;EAV-100124-U;Kraftwerke u.a.: Sande aus Wirbelschichtfeuerung;7;6,8;-;6,8;-
2018;EAV-100125-U;Abfälle aus Lagerung u. Vorbereitung von Brennst.;5;3,7;-;3,7;-
2018;EAV-100126-U;Abfälle aus der Kühlwasserbehandlung;4;4,2;0,7;3,5;-
2018;EAV-100199-U;Kraftwerke u.a. Verbrennungsanlagen:Abfälle a.n.g.;-;-;-;-;-
2018;EAV-100201-U;Eisen-,Stahlind.: Abfälle aus Schlackeverarbeitung;25;710,6;385,7;290,6;34,3
2018;EAV-100202-U;Eisen-,Stahlind.: Unbearbeitete Schlacke;69;1410,0;665,4;740,8;3,8
2018;EAV-100207-G;Eisen-,Stahlind.: Feste Abfälle aus Abgasbehandl.;46;416,9;0,5;237,0;179,5
2018;EAV-100208-U;Abfälle aus der Abgasbehandlung (ohne 100207);30;412,7;149,9;262,7;-
2018;EAV-100210-U;Eisen-,Stahlind.: Walzzunder;47;288,7;70,5;209,2;9,0
2018;EAV-100211-G;Eisen-,Stahlind.: Ölhalt. Abf. aus Kühlwasserbeh.;4;10,1;-;4,5;5,5
2018;EAV-100212-U;Abfälle aus der Kühlwasserbehandlung (ohne 100211);-;-;-;-;-
2018;EAV-100213-G;Eisen-,Stahlind.: Schlämme, Filterk. aus Abgasbeh.;11;161,6;78,1;79,7;3,8
2018;EAV-100214-U;Schlämme u. Filterkuchen aus Abgasbeh. (oh.100213);8;157,0;128,0;26,0;2,9
2018;EAV-100215-U;Eisen-,Stahlind.: Andere Schlämme und Filterkuchen;20;137,8;10,3;127,5;-
2018;EAV-100299-U;Eisen- und Stahlindustrie: Abfälle a.n.g.;8;17,0;0,3;10,6;6,2
2018;EAV-100302-U;Aluminium-Metallurgie: Anodenschrott;3;28,8;-;0,1;28,8
2018;EAV-100304-G;Aluminium-Metallurgie: Schlacken aus Erstschmelze;3;3,0;-;3,0;-
2018;EAV-100305-U;Aluminium-Metallurgie: Aluminiumoxidabfälle;8;2,3;-;2,3;-
2018;EAV-100308-G;Aluminium-Metallurgie:Salzschlacken a.Zweitschmel.;5;415,2;25,1;290,2;99,9
2018;EAV-100309-G;Aluminium-Metallurgie:Schwarze Krätzen a.Zweitsch.;-;-;-;-;-
2018;EAV-100315-G;Aluminium-Metallurgie: Abschaum (entzündlich);7;42,0;19,4;12,1;10,5
2018;EAV-100316-U;Abschaum (ohne 100315);11;191,7;0,0;123,2;68,5
2018;EAV-100317-G;Aluminium-Metallurgie:Teerh. Abf. aus Anodenherst.;3;0,5;-;0,5;-
2018;EAV-100318-U;Abfälle aus der Anodenherstellung (ohne 100317);-;-;-;-;-
2018;EAV-100319-G;Aluminium-Metallurgie: Filterstaub m.gefährl.St.;10;5,1;0,0;3,5;1,6
2018;EAV-100320-U;Filterstaub (ohne 100319);3;1,3;-;1,3;-
2018;EAV-100321-G;Aluminium-Metallurgie: Andere Teilchen und Staub;12;3,2;0,1;3,1;-
2018;EAV-100322-U;Andere Teilchen und Staub (ohne 100321);3;1,7;-;1,7;-
2018;EAV-100323-G;Aluminium-Metallurgie: Feste Abf. a. Abgasbehandl.;15;19,5;-;19,5;-
2018;EAV-100324-U;Feste Abfälle aus der Abgasbehandlung (oh. 100323);-;-;-;-;-
2018;EAV-100325-G;Aluminium-Metallurgie:Schlämme,Filterk.a.Abgasbeh.;-;-;-;-;-
2018;EAV-100326-U;Schlämme u. Filterkuchen aus Abgasbeh. (oh.100325);-;-;-;-;-
2018;EAV-100327-G;Aluminium-Metallurgie: Ölh.Abf. aus Kühlwasserbeh.;-;-;-;-;-
2018;EAV-100328-U;Abfälle aus der Kühlwasserbehandlung (ohne 100327);-;-;-;-;-
2018;EAV-100329-G;Aluminium-Metallurgie: Abf.a. Beh. v.Salzschlacken;-;-;-;-;-
2018;EAV-100330-U;Abfälle aus Behandlung v.Salzschlacken (oh.100329);-;-;-;-;-
2018;EAV-100399-U;Aluminium-Metallurgie: Abfälle a.n.g.;4;1,2;-;1,2;-
2018;EAV-100401-G;Bleimetallurgie: Schlacken (Erst-, Zweitschmelze);17;121,3;14,2;106,2;1,0
2018;EAV-100402-G;Bleimetall.: Krätzen,Abschaum (Erst-,Zweitschm.);12;8,1;0,0;8,0;-
2018;EAV-100403-G;Bleimetallurgie: Calciumarsenat;-;-;-;-;-
2018;EAV-100404-G;Bleimetallurgie: Filterstaub;3;0,1;-;0,1;-
2018;EAV-100405-G;Bleimetallurgie: Andere Teilchen und Staub;5;6,0;-;6,0;-
2018;EAV-100406-G;Bleimetallurgie: Feste Abfälle aus Abgasbehandlung;3;0,8;0,5;0,3;-
2018;EAV-100407-G;Bleimetallurgie: Schlämme, Filterk. aus Abgasbeh.;-;-;-;-;-
2018;EAV-100409-G;Bleimetallurgie: Ölh. Abfälle aus Kühlwasserbeh.;-;-;-;-;-
2018;EAV-100410-U;Abfälle aus der Kühlwasserbehandlung (ohne 100409);-;-;-;-;-
2018;EAV-100499-U;Bleimetallurgie: Abfälle a.n.g.;-;-;-;-;-
2018;EAV-100501-U;Zinkmetallurgie: Schlacken (Erst-, Zweitschmelze);12;212,1;51,6;160,5;0,0
2018;EAV-100503-G;Zinkmetallurgie: Filterstaub;3;0,0;-;0,0;-
2018;EAV-100504-U;Zinkmetallurgie: Andere Teilchen und Staub;4;0,4;-;0,4;-
2018;EAV-100505-G;Zinkmetallurgie: Feste Abfälle aus Abgasbehandlung;-;-;-;-;-
2018;EAV-100506-G;Zinkmetallurgie: Schlämme, Filterk. aus Abgasbeh.;-;-;-;-;-
2018;EAV-100508-G;Zinkmetallurgie: Ölh. Abfälle aus Kühlwasserbeh.;-;-;-;-;-
2018;EAV-100509-U;Abfälle aus der Kühlwasserbehandlung (ohne 100508);-;-;-;-;-
2018;EAV-100510-G;Zinkmetallurgie: Krätzen, Abschaum (entzündlich);-;-;-;-;-
2018;EAV-100511-U;Krätzen, Abschaum (ohne 100510);4;0,4;-;0,1;0,3
2018;EAV-100599-U;Zinkmetallurgie: Abfälle a.n.g.;-;-;-;-;-
2018;EAV-100601-U;Kupfermetallurgie: Schlacken (Erst-,Zweitschmelze);9;96,3;9,0;63,1;24,2
2018;EAV-100602-U;Kupfermetall.: Krätzen,Abschaum (Erst-,Zweitschm.);6;19,0;0,2;11,3;7,6
2018;EAV-100603-G;Kupfermetallurgie: Filterstaub;4;2,5;-;1,3;1,2
2018;EAV-100604-U;Kupfermetallurgie: Andere Teilchen und Staub;4;4,5;-;3,6;0,9
2018;EAV-100606-G;Kupfermetallurgie: Feste Abfälle a.Abgasbehandlung;-;-;-;-;-
2018;EAV-100607-G;Kupfermetallurgie: Schlämme, Filterk. a.Abgasbeh.;-;-;-;-;-
2018;EAV-100609-G;Kupfermetallurgie: Ölh.Abf. aus Kühlwasserbeh.;-;-;-;-;-
2018;EAV-100610-U;Abfälle aus der Kühlwasserbehandlung (ohne 100609);-;-;-;-;-
2018;EAV-100699-U;Kupfermetallurgie: Abfälle a.n.g.;-;-;-;-;-
2018;EAV-100701-U;Silbermet.u.a.: Schlacken (Erst-,Zweitschmelze);5;5,0;-;0,5;4,5
2018;EAV-100702-U;Silbermet.u.a.:Krätzen,Abschaum (Erst-,Zweitschm.);4;0,2;-;0,1;0,1
2018;EAV-100703-U;Silbermet.u.a.: Feste Abfälle aus Abgasbehandlung;-;-;-;-;-
2018;EAV-100704-U;Silbermet.u.a.: Andere Teilchen und Staub;11;1,6;0,0;0,2;1,4
2018;EAV-100705-U;Silbermet.u.a.: Schlämme, Filterkuchen a.Abgasbeh.;-;-;-;-;-
2018;EAV-100707-G;Silbermet.u.a.: Ölhaltige Abfälle a.Kühlwasserbeh.;-;-;-;-;-
2018;EAV-100708-U;Abfälle aus der Kühlwasserbehandlung (ohne 100707);-;-;-;-;-
