Year,WZ2008(2-digit),Waste generation,,Waste types,establishments,Amount of waste generated
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-06,Waste from inorganic chemical processes,7,0
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-07,Waste from organic chemical processes,10,0.1
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-08,"Waste from MFSU from coatings, adhesives, etc",8,0.7
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-10,Waste from thermal processes,7,0.2
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-12,Waste from mechanical shaping processes,3,0.1
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-13,waste oil and liquid fuel waste,96,7
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-14,"Waste from organic solvents, coolants",16,0
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-15,"Packaging waste, absorbent masses, wipes",250,11.7
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-16,Waste not included elsewhere in the inventory,85,0.8
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-17,construction and demolition waste,93,5.1
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-18,Waste from medical supplies,4,0.5
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-19,"Waste from waste treatment plants, etc",17,40.7
2014,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-20,Municipal waste (household waste and similar waste),281,29.8
2014,,,,In total,300,237.2
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-01,Waste from the extraction of mineral resources,9,34.9
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-02,"Waste from agriculture, forestry, etc",15,0.2
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-05,"Waste from petroleum refining, natural gas purification",3,0.4
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-06,Waste from inorganic chemical processes,17,6.4
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-07,Waste from organic chemical processes,14,0.1
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-08,"Waste from MFSU from coatings, adhesives, etc",21,0.1
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-09,waste from the photographic industry,4,0
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-10,Waste from thermal processes,6,122.4
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-11,Waste from chemical surface treatment,5,0.2
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-12,Waste from mechanical shaping processes,19,5.7
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-13,waste oil and liquid fuel waste,45,6.4
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-14,"Waste from organic solvents, coolants",14,0
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-15,"Packaging waste, absorbent masses, wipes",56,3.5
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-16,Waste not included elsewhere in the inventory,41,1.4
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-17,construction and demolition waste,48,905.3
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-19,"Waste from waste treatment plants, etc",15,11.5
2014,WZ08-05-02,Mining and quarrying of stone and earth,EAV-20,Municipal waste (household waste and similar waste),61,16.4
2014,,,,In total,64,1115.2
2014,WZ08-10-01,food industry and tobacco processing,EAV-02,"Waste from agriculture, forestry, etc",1021,4813.7
2014,WZ08-10-01,food industry and tobacco processing,EAV-03,"Waste from wood processing, etc",7,0.7
2014,WZ08-10-01,food industry and tobacco processing,EAV-04,"Waste from the leather, fur and textile industries",3,0.2
2014,WZ08-10-01,food industry and tobacco processing,EAV-05,"Waste from petroleum refining, natural gas purification",14,0.1
2014,WZ08-10-01,food industry and tobacco processing,EAV-06,Waste from inorganic chemical processes,92,4.5
2014,WZ08-10-01,food industry and tobacco processing,EAV-07,Waste from organic chemical processes,120,16.5
2014,WZ08-10-01,food industry and tobacco processing,EAV-08,"Waste from MFSU from coatings, adhesives, etc",132,0.1
2014,WZ08-10-01,food industry and tobacco processing,EAV-09,waste from the photographic industry,4,0
2014,WZ08-10-01,food industry and tobacco processing,EAV-10,Waste from thermal processes,48,54.4
2014,WZ08-10-01,food industry and tobacco processing,EAV-11,Waste from chemical surface treatment,27,0.1
2014,WZ08-10-01,food industry and tobacco processing,EAV-12,Waste from mechanical shaping processes,84,2.3
2014,WZ08-10-01,food industry and tobacco processing,EAV-13,waste oil and liquid fuel waste,470,7.2
2014,WZ08-10-01,food industry and tobacco processing,EAV-14,"Waste from organic solvents, coolants",123,0.2
2014,WZ08-10-01,food industry and tobacco processing,EAV-15,"Packaging waste, absorbent masses, wipes",1366,555.2
2014,WZ08-10-01,food industry and tobacco processing,EAV-16,Waste not included elsewhere in the inventory,394,5.3
2014,WZ08-10-01,food industry and tobacco processing,EAV-17,construction and demolition waste,582,165.2
2014,WZ08-10-01,food industry and tobacco processing,EAV-18,Waste from medical supplies,9,0
2014,WZ08-10-01,food industry and tobacco processing,EAV-19,"Waste from waste treatment plants, etc",195,64.2
2014,WZ08-10-01,food industry and tobacco processing,EAV-20,Municipal waste (household waste and similar waste),1395,433.8
2014,WZ08-10-01,food industry and tobacco processing,EAV-99,Hazardous waste,-,-
2014,,,,In total,1481,6123.7
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-01,Waste from the extraction of mineral resources,-,-
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-02,"Waste from agriculture, forestry, etc",8,0.2
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-03,"Waste from wood processing, etc",8,0.1
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-04,"Waste from the leather, fur and textile industries",264,111.9
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-06,Waste from inorganic chemical processes,25,0.1
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-07,Waste from organic chemical processes,92,7.7
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-08,"Waste from MFSU from coatings, adhesives, etc",124,5
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-10,Waste from thermal processes,14,3.7
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-11,Waste from chemical surface treatment,8,0
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-12,Waste from mechanical shaping processes,52,0.6
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-13,waste oil and liquid fuel waste,134,0.5
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-14,"Waste from organic solvents, coolants",41,0.1
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-15,"Packaging waste, absorbent masses, wipes",512,80.1
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-16,Waste not included elsewhere in the inventory,120,1.4
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-17,construction and demolition waste,183,6.6
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-19,"Waste from waste treatment plants, etc",47,7.5
2014,WZ08-13-03,"Textile and clothing industry, leather industry",EAV-20,Municipal waste (household waste and similar waste),514,35.6
2014,,,,In total,556,261.3
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-02,"Waste from agriculture, forestry, etc",11,0.1
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-03,"Waste from wood processing, etc",195,2918.7
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-06,Waste from inorganic chemical processes,10,0.1
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-07,Waste from organic chemical processes,33,6.6
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-08,"Waste from MFSU from coatings, adhesives, etc",124,6.8
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-10,Waste from thermal processes,147,183.3
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-11,Waste from chemical surface treatment,10,0.2
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-12,Waste from mechanical shaping processes,48,3.2
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-13,waste oil and liquid fuel waste,103,2
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-14,"Waste from organic solvents, coolants",23,0.1
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-15,"Packaging waste, absorbent masses, wipes",300,26.2
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-16,Waste not included elsewhere in the inventory,77,2.2
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-17,construction and demolition waste,173,40
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-18,Waste from medical supplies,-,-
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-19,"Waste from waste treatment plants, etc",38,52.3
2014,WZ08-16,"Hv wood, wicker, basket and cork goods (without furniture)",EAV-20,Municipal waste (household waste and similar waste),345,27.5
2014,,,,In total,364,3269.3
2014,WZ08-17-03,paper and printing trades,EAV-01,Waste from the extraction of mineral resources,3,0.1
2014,WZ08-17-03,paper and printing trades,EAV-02,"Waste from agriculture, forestry, etc",50,2.4
2014,WZ08-17-03,paper and printing trades,EAV-03,"Waste from wood processing, etc",407,4951.2
2014,WZ08-17-03,paper and printing trades,EAV-04,"Waste from the leather, fur and textile industries",10,12.1
2014,WZ08-17-03,paper and printing trades,EAV-06,Waste from inorganic chemical processes,68,4.9
2014,WZ08-17-03,paper and printing trades,EAV-07,Waste from organic chemical processes,219,28.5
2014,WZ08-17-03,paper and printing trades,EAV-08,"Waste from MFSU from coatings, adhesives, etc",665,45.3
2014,WZ08-17-03,paper and printing trades,EAV-09,waste from the photographic industry,333,4.5
2014,WZ08-17-03,paper and printing trades,EAV-10,Waste from thermal processes,38,423.6
2014,WZ08-17-03,paper and printing trades,EAV-11,Waste from chemical surface treatment,66,1.7
2014,WZ08-17-03,paper and printing trades,EAV-12,Waste from mechanical shaping processes,144,6.5
2014,WZ08-17-03,paper and printing trades,EAV-13,waste oil and liquid fuel waste,414,4.6
2014,WZ08-17-03,paper and printing trades,EAV-14,"Waste from organic solvents, coolants",284,3.7
2014,WZ08-17-03,paper and printing trades,EAV-15,"Packaging waste, absorbent masses, wipes",980,579.1
2014,WZ08-17-03,paper and printing trades,EAV-16,Waste not included elsewhere in the inventory,319,5.7
2014,WZ08-17-03,paper and printing trades,EAV-17,construction and demolition waste,467,110.1
2014,WZ08-17-03,paper and printing trades,EAV-19,"Waste from waste treatment plants, etc",147,125.3
2014,WZ08-17-03,paper and printing trades,EAV-20,Municipal waste (household waste and similar waste),1071,829.3
2014,,,,In total,1124,7138.5
2014,WZ08-19,coking plant and petroleum processing,EAV-02,"Waste from agriculture, forestry, etc",4,0
2014,WZ08-19,coking plant and petroleum processing,EAV-05,"Waste from petroleum refining, natural gas purification",21,31.1
2014,WZ08-19,coking plant and petroleum processing,EAV-06,Waste from inorganic chemical processes,16,35.3
2014,WZ08-19,coking plant and petroleum processing,EAV-07,Waste from organic chemical processes,27,6.3
2014,WZ08-19,coking plant and petroleum processing,EAV-08,"Waste from MFSU from coatings, adhesives, etc",12,0
2014,WZ08-19,coking plant and petroleum processing,EAV-09,waste from the photographic industry,3,0
2014,WZ08-19,coking plant and petroleum processing,EAV-10,Waste from thermal processes,7,34.9
2014,WZ08-19,coking plant and petroleum processing,EAV-11,Waste from chemical surface treatment,3,0.4
2014,WZ08-19,coking plant and petroleum processing,EAV-12,Waste from mechanical shaping processes,26,6.2
2014,WZ08-19,coking plant and petroleum processing,EAV-13,waste oil and liquid fuel waste,34,16.3
2014,WZ08-19,coking plant and petroleum processing,EAV-14,"Waste from organic solvents, coolants",15,0.3
2014,WZ08-19,coking plant and petroleum processing,EAV-15,"Packaging waste, absorbent masses, wipes",43,5.7
2014,WZ08-19,coking plant and petroleum processing,EAV-16,Waste not included elsewhere in the inventory,34,18.1
2014,WZ08-19,coking plant and petroleum processing,EAV-17,construction and demolition waste,32,86.1
2014,WZ08-19,coking plant and petroleum processing,EAV-19,"Waste from waste treatment plants, etc",17,62.6
2014,WZ08-19,coking plant and petroleum processing,EAV-20,Municipal waste (household waste and similar waste),43,8.4
2014,,,,In total,47,311.6
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-01,Waste from the extraction of mineral resources,31,1802.8
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-02,"Waste from agriculture, forestry, etc",233,195.3
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-03,"Waste from wood processing, etc",60,24.3
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-04,"Waste from the leather, fur and textile industries",32,11
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-05,"Waste from petroleum refining, natural gas purification",26,10
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-06,Waste from inorganic chemical processes,471,448.2
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-07,Waste from organic chemical processes,1719,1710.9
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-08,"Waste from MFSU from coatings, adhesives, etc",927,92.9
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-09,waste from the photographic industry,30,1.1
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-10,Waste from thermal processes,138,373.3
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-11,Waste from chemical surface treatment,194,50.3
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-12,Waste from mechanical shaping processes,941,64.9
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-13,waste oil and liquid fuel waste,1277,35.4
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-14,"Waste from organic solvents, coolants",545,14.3
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-15,"Packaging waste, absorbent masses, wipes",2722,458.7
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-16,Waste not included elsewhere in the inventory,1261,134
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-17,construction and demolition waste,1418,1300.5
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-18,Waste from medical supplies,137,10.9
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-19,"Waste from waste treatment plants, etc",399,894.2
2014,WZ08-20-03,"chem. and pharm. Articles, rubber, plastic goods",EAV-20,Municipal waste (household waste and similar waste),2761,403
2014,,,,In total,2947,8036.2
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-01,Waste from the extraction of mineral resources,35,91.4
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-02,"Waste from agriculture, forestry, etc",40,0.4
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-03,"Waste from wood processing, etc",56,9.7
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-05,"Waste from petroleum refining, natural gas purification",8,0.9
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-06,Waste from inorganic chemical processes,95,6.8
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-07,Waste from organic chemical processes,133,8.6
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-08,"Waste from MFSU from coatings, adhesives, etc",262,17.5
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-09,waste from the photographic industry,6,0
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-10,Waste from thermal processes,528,1188.1
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-11,Waste from chemical surface treatment,50,1.7
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-12,Waste from mechanical shaping processes,210,10.7
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-13,waste oil and liquid fuel waste,437,19.8
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-14,"Waste from organic solvents, coolants",135,1
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-15,"Packaging waste, absorbent masses, wipes",842,87.9
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-16,Waste not included elsewhere in the inventory,354,26.8
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-17,construction and demolition waste,564,456.8
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-19,"Waste from waste treatment plants, etc",99,105.9
2014,WZ08-23,"HvGlass, goods, ceramics, processing. of stones and earth",EAV-20,Municipal waste (household waste and similar waste),897,107.2
2014,,,,In total,944,2142.2
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-01,Waste from the extraction of mineral resources,6,3
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-02,"Waste from agriculture, forestry, etc",111,2.1
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-03,"Waste from wood processing, etc",39,3.7
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-04,"Waste from the leather, fur and textile industries",3,0.1
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-05,"Waste from petroleum refining, natural gas purification",18,3.3
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-06,Waste from inorganic chemical processes,362,79.2
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-07,Waste from organic chemical processes,392,16.1
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-08,"Waste from MFSU from coatings, adhesives, etc",659,15.7
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-09,waste from the photographic industry,54,0.2
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-10,Waste from thermal processes,402,7203.3
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-11,Waste from chemical surface treatment,593,459.6
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-12,Waste from mechanical shaping processes,1521,2012.2
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-13,waste oil and liquid fuel waste,1157,60.8
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-14,"Waste from organic solvents, coolants",423,6.5
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-15,"Packaging waste, absorbent masses, wipes",1823,213.9
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-16,Waste not included elsewhere in the inventory,883,575.1
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-17,construction and demolition waste,1067,1032.6
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-18,Waste from medical supplies,10,0
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-19,"Waste from waste treatment plants, etc",310,255.5
2014,WZ08-24-03,"Metal production and processing, manuf. v.metal ore",EAV-20,Municipal waste (household waste and similar waste),1784,277
2014,,,,In total,1922,12219.9
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-01,Waste from the extraction of mineral resources,19,4.1
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-02,"Waste from agriculture, forestry, etc",551,20.2
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-03,"Waste from wood processing, etc",108,17
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-04,"Waste from the leather, fur and textile industries",32,7.2
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-05,"Waste from petroleum refining, natural gas purification",15,0.2
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-06,Waste from inorganic chemical processes,617,52.4
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-07,Waste from organic chemical processes,1221,73.5
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-08,"Waste from MFSU from coatings, adhesives, etc",2285,76.3
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-09,waste from the photographic industry,120,0.3
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-10,Waste from thermal processes,347,329
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-11,Waste from chemical surface treatment,884,76.8
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-12,Waste from mechanical shaping processes,3460,3869.1
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-13,waste oil and liquid fuel waste,2510,78.6
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-14,"Waste from organic solvents, coolants",1316,13.4
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-15,"Packaging waste, absorbent masses, wipes",4956,729.5
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-16,Waste not included elsewhere in the inventory,2535,448.1
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-17,construction and demolition waste,2681,1488.5
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-18,Waste from medical supplies,46,0.1
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-19,"Waste from waste treatment plants, etc",588,112
2014,WZ08-26-03,"DV devices, electr. and optical production, vehicle construction, etc.",EAV-20,Municipal waste (household waste and similar waste),5141,763.8
2014,,,,In total,5387,8160.2
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-01,Waste from the extraction of mineral resources,-,-
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-02,"Waste from agriculture, forestry, etc",35,0.8
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-03,"Waste from wood processing, etc",245,308.7
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-04,"Waste from the leather, fur and textile industries",29,3.1
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-05,"Waste from petroleum refining, natural gas purification",3,0
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-06,Waste from inorganic chemical processes,85,10.4
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-07,Waste from organic chemical processes,186,34.8
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-08,"Waste from MFSU from coatings, adhesives, etc",338,6.7
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-09,waste from the photographic industry,15,0
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-10,Waste from thermal processes,173,4.1
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-11,Waste from chemical surface treatment,118,9.7
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-12,Waste from mechanical shaping processes,370,42.3
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-13,waste oil and liquid fuel waste,221,2
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-14,"Waste from organic solvents, coolants",155,0.9
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-15,"Packaging waste, absorbent masses, wipes",925,85.4
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-16,Waste not included elsewhere in the inventory,224,6
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-17,construction and demolition waste,366,28.9
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-18,Waste from medical supplies,23,0.8
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-19,"Waste from waste treatment plants, etc",71,6.6
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-20,Municipal waste (household waste and similar waste),988,134.1
2014,WZ08-31-02,Manufacture of furniture and other goods,EAV-99,Hazardous waste,-,-
2014,,,,In total,1059,685.1
2014,WZ08-35-01,"power supply, water supply",EAV-01,Waste from the extraction of mineral resources,6,0.3
2014,WZ08-35-01,"power supply, water supply",EAV-02,"Waste from agriculture, forestry, etc",103,2.8
2014,WZ08-35-01,"power supply, water supply",EAV-03,"Waste from wood processing, etc",11,0.1
2014,WZ08-35-01,"power supply, water supply",EAV-05,"Waste from petroleum refining, natural gas purification",16,0.1
2014,WZ08-35-01,"power supply, water supply",EAV-06,Waste from inorganic chemical processes,54,8.2
2014,WZ08-35-01,"power supply, water supply",EAV-07,Waste from organic chemical processes,77,1.2
2014,WZ08-35-01,"power supply, water supply",EAV-08,"Waste from MFSU from coatings, adhesives, etc",137,0.1
2014,WZ08-35-01,"power supply, water supply",EAV-10,Waste from thermal processes,72,11543.4
2014,WZ08-35-01,"power supply, water supply",EAV-11,Waste from chemical surface treatment,22,0.2
2014,WZ08-35-01,"power supply, water supply",EAV-12,Waste from mechanical shaping processes,96,7.4
2014,WZ08-35-01,"power supply, water supply",EAV-13,waste oil and liquid fuel waste,251,13.5
2014,WZ08-35-01,"power supply, water supply",EAV-14,"Waste from organic solvents, coolants",57,0.1
2014,WZ08-35-01,"power supply, water supply",EAV-15,"Packaging waste, absorbent masses, wipes",384,23
2014,WZ08-35-01,"power supply, water supply",EAV-16,Waste not included elsewhere in the inventory,294,28.9
2014,WZ08-35-01,"power supply, water supply",EAV-17,construction and demolition waste,318,1207
2014,WZ08-35-01,"power supply, water supply",EAV-18,Waste from medical supplies,16,0
2014,WZ08-35-01,"power supply, water supply",EAV-19,"Waste from waste treatment plants, etc",169,820.5
2014,WZ08-35-01,"power supply, water supply",EAV-20,Municipal waste (household waste and similar waste),453,76.6
2014,,,,In total,460,13733.3
2014,WZ08-45-04,Services,EAV-01,Waste from the extraction of mineral resources,6,0.1
2014,WZ08-45-04,Services,EAV-02,"Waste from agriculture, forestry, etc",774,68.5
2014,WZ08-45-04,Services,EAV-03,"Waste from wood processing, etc",54,1.1
2014,WZ08-45-04,Services,EAV-04,"Waste from the leather, fur and textile industries",7,0
2014,WZ08-45-04,Services,EAV-05,"Waste from petroleum refining, natural gas purification",5,6
2014,WZ08-45-04,Services,EAV-06,Waste from inorganic chemical processes,250,3.7
2014,WZ08-45-04,Services,EAV-07,Waste from organic chemical processes,434,19
2014,WZ08-45-04,Services,EAV-08,"Waste from MFSU from coatings, adhesives, etc",525,3.4
2014,WZ08-45-04,Services,EAV-09,waste from the photographic industry,317,2
2014,WZ08-45-04,Services,EAV-10,Waste from thermal processes,49,63.6
2014,WZ08-45-04,Services,EAV-11,Waste from chemical surface treatment,123,1.9
2014,WZ08-45-04,Services,EAV-12,Waste from mechanical shaping processes,218,14.2
2014,WZ08-45-04,Services,EAV-13,waste oil and liquid fuel waste,583,19.6
2014,WZ08-45-04,Services,EAV-14,"Waste from organic solvents, coolants",267,1.5
2014,WZ08-45-04,Services,EAV-15,"Packaging waste, absorbent masses, wipes",2577,679.4
2014,WZ08-45-04,Services,EAV-16,Waste not included elsewhere in the inventory,1137,43.4
2014,WZ08-45-04,Services,EAV-17,construction and demolition waste,1229,1761
2014,WZ08-45-04,Services,EAV-18,Waste from medical supplies,815,232.6
2014,WZ08-45-04,Services,EAV-19,"Waste from waste treatment plants, etc",289,88.3
2014,WZ08-45-04,Services,EAV-20,Municipal waste (household waste and similar waste),3184,1428
,,,,In total,3222,4437.5
,2018,,,,,
2018,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-02,"Waste from agriculture, forestry, etc",197,377.9
