"Waste disposal: Germany, years, type of facility, types of waste",,,,,,,,,,,,
Elevation of waste disposal,,,,,,,,,,,,
Germany,,,,,,,,,,,,
Year Plant Type Fallout Types,,waste disposal facilities,Input from waste disposal plants,Waste generated in my own business,Waste brought in from within the country,Angel after fall from abroad,Waste disposal plants with output,Output of waste disposal systems,If for separation,Errors for evaluation,Examples of preparation procedures,Absence of others
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,7,2,0,2,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",24,5.9,0,5.9,0,3,0.2,0,0.2,0,0
EAV-16,Cases not otherwise listed in the directory,5,1.2,0,1.2,0,3,2,2,0,0,0
EAV-17,construction and demolition waste,32,84.3,0,84.3,0,8,2,0,0.9,0,1
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",164,1069.1,57.1,996.6,15.4,1257,8894.7,218,726.1,0,7950.5
EAV-20,Municipal waste (household waste and similar waste),1103,8602.5,187.3,8399.2,16,61,100.5,4.6,62.5,0,33.4
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,5,0.5,0,0.5,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",4,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,0,0,0,0,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",23,43.5,0,43.5,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,3,0,0,0,0,3,1.3,1.2,0,0,0
EAV-17,construction and demolition waste,24,31.4,0.1,31.3,0,5,0.5,0.4,0,0,0
EAV-18,Fall from the medical care,7,5.8,0,5.8,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",50,757.4,53.8,699.3,4.3,55,3361.5,1175.4,2102.4,0,83.6
EAV-20,Municipal waste (household waste and similar waste),46,3285.4,70.3,3214.2,0.9,16,29.2,2.7,24,0,2.5
EAV-99,dangerous accidents,2,0,0,0,0,8,0.4,0.4,0,0,0
dismantling operations for used vehicles,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",0,0,0,0,0,13,0.3,0,0.3,0,0.1
EAV-20,Municipal waste (household waste and similar waste),0,0,0,0,0,9,0,0,0,0,0
EAV-99,dangerous accidents,1263,519.3,0,516.2,3.1,1228,24.7,0.5,22.9,0,1.3
Shredder systems and scrap shears,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",18,17,0,16.1,0.9,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,39,230.9,0,202.4,28.5,5,41.8,0,4.7,0,37.1
EAV-04,"Scraps from the Leather, Fur and Textile Industry",5,5.6,0,5.6,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,22,132.5,7.6,115.9,9,4,8.7,0,6.3,0,2.4
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,9,1.4,0,1.4,0,6,0.4,0,0.3,0,0.1
EAV-10,Drops from thermal processes,8,41.9,4.5,31.9,5.6,3,2.8,0.1,0,0,2.8
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,46,451.1,4.9,435.8,10.4,7,27.2,0.8,9.8,0,16.6
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,9,0.9,0,0.9,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,4,1,0,1,0,0
EAV-15,"Packaging all, absorbent masses, wipes",169,747.7,2.9,716.5,28.4,14,12.4,0,4.3,0,8.1
EAV-16,Cases not otherwise listed in the directory,134,1481,21.7,1340.7,118.6,25,52.9,0,38.5,0,14.5
EAV-17,construction and demolition waste,402,8070.7,93.7,7645.9,331.2,59,689.5,3.7,153.6,0,532.2
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-20,Municipal waste (household waste and similar waste),260,1791.5,46.2,1733.1,12.2,35,134.4,32,55.9,0,46.5
EAV-99,dangerous accidents,124,408.7,3.7,375.1,29.9,125,958,39.6,905.7,0,12.8
sorting plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",41,18.9,0,18.9,0,10,5.8,0.2,5.5,0,0
EAV-03,Waste from woodworking etc,47,132.2,0,130.5,1.7,13,27.3,3.8,23,0,0.5
EAV-04,"Scraps from the Leather, Fur and Textile Industry",29,29.7,0,27.8,1.9,9,3.1,0.2,2.5,0,0.3
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,61,50.5,0,45.9,4.6,18,7,0,7,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",14,2.1,0,2,0,5,0.5,0,0.1,0,0.3
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,21,297.6,0,297.6,0,7,15.9,2.2,10.3,0,3.4
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,61,126.4,0,120.1,6.4,18,71.8,0.1,10.4,0,61.4
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,5,0.3,0,0.2,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",663,8319.6,9,8107.2,203.4,189,586.7,0.6,489.2,0,96.8
EAV-16,Cases not otherwise listed in the directory,133,166.1,0.9,163.6,1.5,129,122.3,3.3,105.5,0,13.5
EAV-17,construction and demolition waste,568,4357.2,15.7,4301.2,40.3,266,1378.3,51.9,843.1,0,483.3
EAV-18,Fall from the medical care,12,8.2,0,8.2,0,11,7.1,1.1,6,0,0
EAV-19,"Waste from waste treatment facilities, etc",223,2155.5,350.2,1699.7,105.6,905,20471.3,777.1,10915.5,0,8778.7
EAV-20,Municipal waste (household waste and similar waste),648,8392.2,22.5,8270.1,99.6,224,1116.6,284.6,808.3,0,23.6
EAV-99,dangerous accidents,166,226.4,2.6,219.3,4.4,190,301.3,13.2,267.3,0,20.7
dismantling instrument,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,3,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,3,0.4,0,0.3,0.2,13,0.9,0.5,0.4,0,0
EAV-07,Fallen from organic chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",7,0.4,0,0.4,0,17,0.3,0,0.2,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,0,0,0,0,0,3,1.9,0,1.9,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,42,1.4,0,1.4,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,29,0.9,0.3,0.6,0,0
EAV-15,"Packaging all, absorbent masses, wipes",8,5.3,0,5.3,0,40,2.6,0,2.6,0,0
EAV-16,Cases not otherwise listed in the directory,189,279.2,1.1,268.7,9.4,238,280,4.6,260.3,0,15.2
EAV-17,construction and demolition waste,31,8.3,0,7.4,0.9,74,21.7,0.7,19.6,0,1.4
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",26,15.5,0,15.5,0,248,431.2,14.5,327.2,0,89.4
EAV-20,Municipal waste (household waste and similar waste),199,505.8,5.3,499.2,1.4,88,39.4,0.2,36.8,0,2.5
EAV-99,dangerous accidents,218,593.2,5.7,578.6,9,238,176.6,6,164.6,0,6.1
Other treatment facilities,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,11,52.5,2.1,50.3,0.1,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",48,432.3,0.5,407,24.9,26,199.3,29.7,82.9,0,86.6
EAV-03,Waste from woodworking etc,44,164.6,0,134.7,30,9,89.2,0,18.8,0,70.3
EAV-04,"Scraps from the Leather, Fur and Textile Industry",24,40.8,0,30.9,9.9,3,1.3,0,0.6,0,0.7
EAV-05,"Drains from the oil refining, earth gas purification",22,24.8,18,6.5,0.3,5,1.8,0.2,1.6,0,0
EAV-06,Drops from inorganic-chemical processes,48,62.4,0.3,57.9,4.2,25,69.2,1.3,66.1,0,1.8
EAV-07,Fallen from organic chemical processes,117,318.7,26.7,252.2,39.8,40,79.8,4.9,25.6,0,49.3
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",34,52.3,0,48.5,3.7,15,5,3.9,0.7,0,0.4
EAV-09,Drops from the photographic industry,11,3.5,0,3.2,0.3,4,2.3,0,2.2,0,0.1
EAV-10,Drops from thermal processes,108,6305.2,415.4,5552.9,336.9,56,1832,409.5,606.4,0,816
EAV-11,Fall from the chemical surface treatment,34,80,0,66.1,14,16,88.6,73.4,15.1,0,0.1
EAV-12,Drops from mechanical forming processes,111,561,17.7,511.6,31.7,47,171.1,1.5,137.7,0,31.9
EAV-13,Lakes and ravines from liquid fuels,31,117.9,4,101.8,12.1,49,81.8,10.1,71.7,0,0
EAV-14,"Waste from organic solvents, refrigerants",22,8.9,0,8,0.9,17,7.3,1,6.4,0,0
EAV-15,"Packaging all, absorbent masses, wipes",155,880.6,19.8,801.8,59.1,90,71.6,5,45.7,0,20.9
EAV-16,Cases not otherwise listed in the directory,138,917.4,4.9,677.6,234.8,90,127.6,9.6,90.5,0,27.6
EAV-17,construction and demolition waste,166,1739.6,39.1,1627.4,73,123,1354.5,55.4,742.8,0,556.3
EAV-18,Fall from the medical care,10,2.5,0,2.5,0,4,1.7,1,0.7,0,0
EAV-19,"Waste from waste treatment facilities, etc",207,7330.6,259,6676.5,395.2,416,15695.8,937.8,6751,0,8007
EAV-99,dangerous accidents,191,2992.4,95.1,2286.5,610.8,175,1807.2,351.2,1160.7,0,295.3
Natural materials in mining,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,15,34984.8,34984.8,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,0,0,0,0,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",0,0,0,0,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,0,0,0,0,0,0,0,0,0,0,0
EAV-17,construction and demolition waste,0,0,0,0,0,0,0,0,0,0,0
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",0,0,0,0,0,0,0,0,0,0,0
EAV-20,Municipal waste (household waste and similar waste),0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,5,2.6,0,2.5,0.1,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",0,0,0,0,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,4,31.3,0,31.2,0.1,0,0,0,0,0,0
EAV-17,construction and demolition waste,4,11.4,0,11.3,0.1,0,0,0,0,0,0
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",14,2110.8,0,1658,452.8,0,0,0,0,0,0
EAV-20,Municipal waste (household waste and similar waste),0,0,0,0,0,0,0,0,0,0,0
EAV-99,dangerous accidents,12,1788.5,0,1394.3,394.1,0,0,0,0,0,0
Waste in surface mining sites,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,25,110.2,0,110.2,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,36,6540.9,0,6379.7,161.1,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-20,Municipal waste (household waste and similar waste),14,79.8,0,79.8,0,0,0,0,0,0,0
EAV-99,dangerous accidents,3,78.5,0,78.5,0,0,0,0,0,0,0
2011,,,,,,,,,,,,
landfills,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,73,1677.7,1613.2,64.5,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,9,4.8,0.2,2.9,1.7,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",3,0.2,0,0.2,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",4,0.4,0,0.4,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,53,342.7,122,214.9,5.8,4,1.3,0.7,0,0,0.6
EAV-07,Fallen from organic chemical processes,19,6.4,2.6,2.1,1.8,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",20,2.3,0.3,2.1,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,229,7993.1,6413.3,1545.7,34.1,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,41,145.3,96.6,47.6,1,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,147,98,20.7,76.1,1.3,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,6,18.1,0.5,17.6,0,4,0.1,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",29,6.4,0.5,5.9,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,119,297.4,222.2,72.3,2.9,4,3.6,0,0,0,3.5
EAV-17,construction and demolition waste,968,20072.2,1890.9,17617.4,563.8,8,82.8,2.7,7.3,0,72.8
EAV-18,Fall from the medical care,3,1.3,0,1.3,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",196,5991.7,590.9,5148,252.8,148,2832.4,2285.7,403.5,0,143.2
EAV-20,Municipal waste (household waste and similar waste),97,240.7,4.2,236,0.6,4,25.8,0,25.8,0,0
EAV-99,dangerous accidents,222,5019.6,561.3,3638.3,820,61,1073.3,845.7,216.5,0,11.2
Thermal waste treatment plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",64,95,5.5,88.5,1,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,41,150.1,2.2,141.3,6.7,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",44,8,2.2,5.2,0.5,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",20,33.1,12.4,20.2,0.5,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,26,11.6,4.2,7,0.4,3,3.5,1.4,0.2,0,1.9
EAV-07,Fallen from organic chemical processes,95,930.4,473.1,383.5,73.8,3,1.6,0.1,1.6,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",80,64.1,3.3,54.6,6.1,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,20,6.8,0,6.5,0.4,0,0,0,0,0,0
EAV-10,Drops from thermal processes,21,3.3,0.9,2,0.3,16,71.1,31.5,38.2,0,1.5
EAV-11,Fall from the chemical surface treatment,12,8.9,0,8.8,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,51,11.8,0.4,11.3,0.2,12,2.9,0.5,2.4,0,0
EAV-13,Lakes and ravines from liquid fuels,35,18.8,7.1,9.8,1.8,10,0.1,0,0.1,0,0
EAV-14,"Waste from organic solvents, refrigerants",25,37.5,3.3,25,9.2,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",101,834.4,9.2,810,15.2,10,0.1,0.1,0.1,0,0
EAV-16,Cases not otherwise listed in the directory,75,73.9,11.5,52.9,9.5,21,2.2,1.8,0.4,0,0
EAV-17,construction and demolition waste,90,466.1,7.1,453,6,24,9.2,0.7,7.8,0,0.6
EAV-18,Fall from the medical care,81,254,1.5,250.9,1.5,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",126,8013.3,1191.2,6279.9,542.2,146,6876,720.2,6008.6,0,147.2
EAV-20,Municipal waste (household waste and similar waste),96,13458,16.6,13178.3,263.2,8,4.7,0.1,4.6,0,0
EAV-99,dangerous accidents,107,2488.3,1020.6,1161.2,306.5,137,1392,315.5,1069.1,0,7.4
combustion plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",104,832.8,38.1,784.5,10.1,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,471,5207.9,3214.4,1965.5,28,5,3.3,0.2,0.1,0,3
EAV-04,"Scraps from the Leather, Fur and Textile Industry",6,13.4,0,7.8,5.5,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,6,129.7,0.3,103.4,26,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,21,191.2,118.3,53.3,19.6,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",3,0.2,0,0.2,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,14,631.4,0.4,519.2,111.8,438,1077.4,203.1,629.9,0,244.3
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,10,59.1,2.8,56.2,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,17,41.7,12.3,29.3,0,5,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",10,56.5,5.7,50.3,0.4,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",48,343.7,11.2,330.7,1.8,5,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,18,197.8,2.2,189.3,6.3,4,0.2,0.2,0.1,0,0
EAV-17,construction and demolition waste,48,837.5,3.2,727.1,107.2,10,10.2,0,8.6,0,1.6
EAV-18,Fall from the medical care,4,21,0,21,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",148,11313.3,356.7,10217.6,739,145,1693.8,385.5,1307,0,1.3
EAV-20,Municipal waste (household waste and similar waste),36,396,2,393.5,0.5,3,0.6,0,0.6,0,0
EAV-99,dangerous accidents,75,2292.7,310.7,1685,296.9,84,785.3,230.2,555.1,0,0
Chemical-physical treatment facilities,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,22,10.1,1.7,8.4,0,3,1.9,0,1.9,0,0
EAV-02,"Crops from agriculture, forestry etc.",32,715.9,678.1,37.8,0,13,65.4,0,65.3,0,0
EAV-03,Waste from woodworking etc,11,1460.8,1458.1,2.6,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",22,16.1,0.9,7.6,7.6,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",34,23.2,0,22.1,1.1,6,1.2,0,1.2,0,0
EAV-06,Drops from inorganic-chemical processes,90,179.6,30.7,140.2,8.7,46,57,13.6,38.5,0,4.9
EAV-07,Fallen from organic chemical processes,132,384.8,118.1,236,30.7,61,71,16.5,40.7,0,13.8
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",83,128.5,13.1,113,2.3,37,17.6,1.3,15.4,0,0.8
EAV-09,Drops from the photographic industry,34,15.7,0,15.5,0.2,12,4.9,2.7,2.2,0,0
EAV-10,Drops from thermal processes,59,562.9,66.7,336,160.2,18,106.4,2.7,103.1,0,0.6
EAV-11,Fall from the chemical surface treatment,178,1401.6,1082.8,293,25.8,65,35.7,25.8,8.9,0,0.9
EAV-12,Drops from mechanical forming processes,131,650.4,96.6,546.4,7.5,55,68.4,4.8,56.4,0,7.1
EAV-13,Lakes and ravines from liquid fuels,130,631,32.9,572.2,25.9,85,46.7,11.6,33.9,0,1.1
EAV-14,"Waste from organic solvents, refrigerants",40,43.7,0,37.7,5.9,24,24.7,1.7,22.9,0,0.1
EAV-15,"Packaging all, absorbent masses, wipes",35,18,1.5,15.1,1.5,53,14.2,0.8,13.2,0,0.2
EAV-16,Cases not otherwise listed in the directory,127,313.7,9.6,285.6,18.5,51,41.7,8,33.7,0,0
EAV-17,construction and demolition waste,30,751.7,292.4,459.3,0,29,426.7,280.2,146.4,0,0.1
EAV-18,Fall from the medical care,14,5,0.2,4.8,0,12,4.7,4.7,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",135,1446,619.6,761.9,64.5,342,2160.8,517.5,957.7,0,685.5
EAV-99,dangerous accidents,438,5034.1,1607,3101.8,325.4,394,1205.8,401,754.9,0,49.9
soil treatment plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,9,37.6,0,37.6,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",6,3.6,0,3.6,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,8,19.2,0,19.2,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",5,1.3,0,1.3,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,5,6.8,0,6.8,0,3,0.3,0,0.3,0,0
EAV-07,Fallen from organic chemical processes,4,2.1,0,2.1,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,18,35.3,0,34.6,0.7,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,16,5.8,0,5.8,0,3,0.7,0,0.7,0,0
EAV-13,Lakes and ravines from liquid fuels,41,31.4,0,31.4,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",4,1.4,0,1.4,0,5,0.6,0,0.1,0,0.5
EAV-16,Cases not otherwise listed in the directory,11,2.8,0,2.6,0.2,0,0,0,0,0,0
EAV-17,construction and demolition waste,99,3196.5,26.4,3089.3,80.9,78,2263.3,128.3,1941.5,0,193.5
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",61,294.3,40.4,217.4,36.5,64,1463.5,333.9,725.8,0,403.8
EAV-20,Municipal waste (household waste and similar waste),37,257.1,1.9,249.6,5.6,12,83.2,3.6,79.7,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",19,6.3,0,6.3,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,6,18.6,0,18.6,0,3,2,1.9,0,0,0
EAV-17,construction and demolition waste,26,72.5,0,72.5,0,6,1.6,0,0.2,0,1.5
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",177,1767,676.3,1086.5,4.2,1312,10167.7,187.7,1615.5,0,8364.4
EAV-20,Municipal waste (household waste and similar waste),1093,8842.3,166,8664.9,11.4,79,162.6,10.2,122.1,0,30.2
