GENESIS table: 32161-0002
Companies, amount of waste generated: Germany, years,;;;;;;
Economic sectors, types of waste;;;;;;
Waste generation survey;;;;;;
Germany;;;;;;
;;;;;Operations;Amount of waste generated
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-12;Waste from mechanical shaping processes;387;51.9
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-13;Oil waste and liquid fuel waste;279;42.8
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-14;Wastes from organic solvents, coolants;167;0.8
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-15;Packaging waste, absorbent masses, wipes;906;64.5
2010;WZ08-31-02;Manufacture of furniture and other articles;EAV-16;Wastes not elsewhere specified in the inventory;250;2.1
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-17;Construction and demolition waste;357;23.3
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-18;Waste from medical care;16;0.1
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-19;Waste from waste treatment plants etc.;75;2.8
2010;WZ08-31-02;manufacturing of furniture and other goods;EAV-20;municipal waste (household waste and similar waste);1059;77.8
2010;WZ08-31-02;Manufacture of furniture and other goods;EAV-99;Hazardous waste;-;-
2010;WZ08-31-02;Manufacture of furniture and other goods;;Total;1082;573.6
2010;WZ08-35-01;Energy supply, water supply;EAV-01;Waste from mineral extraction;3;0.4
2010;WZ08-35-01;Energy supply, water supply;EAV-02;Waste from agriculture, forestry, etc.;91;2.6
2010;WZ08-35-01;Energy supply, water supply;EAV-03;Waste from wood processing, etc.;6;0.1
2010;WZ08-35-01;Energy supply, water supply;EAV-04;Waste from the leather, fur and textile industry;-;-
2010;WZ08-35-01;Energy supply, water supply;EAV-05;Waste from petroleum refining, natural gas purification;21;0.2
2010;WZ08-35-01;Energy supply, water supply;EAV-06;Waste from inorganic chemical processes;54;8.3
2010;WZ08-35-01;Energy supply, water supply;EAV-07;Waste from organic chemical processes;68;2.9
2010;WZ08-35-01;Energy supply, water supply;EAV-08;Waste from MFSU from coatings, adhesives, etc.;137;0.1
2010;WZ08-35-01;Energy supply, water supply;EAV-09;Waste from the photographic industry;19;0.0
2010;WZ08-35-01;Energy supply, water supply;EAV-10;Waste from thermal processes;51;6397.2
2010;WZ08-35-01;Energy supply, water supply;EAV-11;Waste from chemical surface treatment;24;0.2
2010;WZ08-35-01;Energy supply, water supply;EAV-12;Waste from mechanical shaping processes;86;7.0
2010;WZ08-35-01;Energy supply, water supply;EAV-13;Oil waste and liquid fuel waste;216;16.9
2010;WZ08-35-01;Energy supply, water supply;EAV-14;Waste from organic solvents, coolants;68;0.1
2010;WZ08-35-01;Energy supply, water supply;EAV-15;Packaging waste, absorbent masses, wipes;269;15.0
2010;WZ08-35-01;Energy supply, water supply;EAV-16;Wastes not included elsewhere in the inventory;234;25.4
2010;WZ08-35-01;Energy supply, water supply;EAV-17;Construction and demolition waste;242;1232.5
2010;WZ08-35-01;Energy supply, water supply;EAV-18;Waste from medical care;14;0.0
2010;WZ08-35-01;Energy supply, water supply;EAV-19;Waste from waste treatment plants etc.;124;791.8
2010;WZ08-35-01;energy supply, water supply;EAV-20;municipal waste (household waste and similar waste);303;65.8
2010;WZ08-35-01;Energy supply, water supply;EAV-99;Hazardous waste;-;-
2010;WZ08-35-01;Energy supply, water supply;;Total;306;8566.5
2010;WZ08-45-04;Services;EAV-01;Wastes from mineral extraction;8;0.8
2010;WZ08-45-04;Services;EAV-02;Waste from agriculture, forestry, etc.;933;86.9
2010;WZ08-45-04;Services;EAV-03;Waste from woodworking, etc.;67;1.8
2010;WZ08-45-04;Services;EAV-04;Waste from the leather, fur and textile industry;-;-
2010;WZ08-45-04;Services;EAV-05;Waste from petroleum refining, natural gas purification;-;-
2010;WZ08-45-04;Services;EAV-06;Waste from inorganic chemical processes;219;0.5
2010;WZ08-45-04;Services;EAV-07;Waste from organic chemical processes;442;6.4
2010; WZ08-45-04; Services; EAV-08; Waste from MFSU from coatings, adhesives, etc.; 501; 2.6
2010;WZ08-45-04;Services;EAV-09;Waste from the photographic industry;472;2.3
2010;WZ08-45-04;Services;EAV-10;Waste from thermal processes;39;2.8
2010;WZ08-45-04;Services;EAV-11;Waste from chemical surface treatment;104;0.7
2010;WZ08-45-04;Services;EAV-12;Waste from mechanical shaping processes;204;10.8
2010;WZ08-45-04;Services;EAV-13;Oil waste and liquid fuel waste;657;30.1
2010;WZ08-45-04;Services;EAV-14;Waste from organic solvents, coolants;257;6.4
2010;WZ08-45-04;Services;EAV-15;Packaging waste, absorbent masses, wipes;2389;665.2
2010;WZ08-45-04;Services;EAV-16;Waste not included elsewhere in the inventory;1222;48.0
2010;WZ08-45-04;Services;EAV-17;Construction and demolition waste;1230;4527.3
2010;WZ08-45-04;Services;EAV-18;Waste from medical care;832;202.4
2010;WZ08-45-04;Services;EAV-19;Waste from waste treatment plants etc.;291;80.3
2010;WZ08-45-04;Services;EAV-20;Municipal waste (household waste and similar waste);3063;1440.8
2010;WZ08-45-04;Services;EAV-99;Hazardous waste;-;-
2010;WZ08-45-04;Services;;Total;3080;7117.4
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-01;Waste from the extraction of mineral resources;-;-
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-02;Waste from agriculture, forestry, etc.;132;140.3
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-03;Waste from wood processing, etc.;-;-
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-04;Waste from the leather, fur and textile industry;-;-
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-05;Waste from petroleum refining, natural gas purification;-;-
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-06;Waste from inorganic chemical processes;7;0.0
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-07;Waste from organic chemical processes;10;0.1
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-08;Waste from MFSU from coatings, adhesives, etc.;8;0.7
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-09;Waste from the photographic industry;-;-
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-10;Waste from thermal processes;7;0.2
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-11;Waste from chemical surface treatment;-;-
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-12;Waste from mechanical shaping processes;3;0.1
2014;WZ08-01-03;Agriculture, forestry, fisheries;EAV-13;Oil waste and liquid fuel waste;96;7.0
2014;WZ08-01-03;Agriculture, forestry, fisheries;EAV-14;Wastes from organic solvents, coolants;16;0.0
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-15;Packaging waste, absorbent masses, wipes;250;11.7
2014;WZ08-01-03;Agriculture, forestry, fisheries;EAV-16;Wastes not included elsewhere in the inventory;85;0.8
2014;WZ08-01-03;Agriculture, forestry, fisheries;EAV-17;Construction and demolition waste;93;5.1
2014;WZ08-01-03;Agriculture, forestry, fisheries;EAV-18;Waste from medical care;4;0.5
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-19;Waste from waste treatment plants etc.;17;40.7
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-20;Municipal waste (household waste and similar waste);281;29.8
2014;WZ08-01-03;Agriculture and forestry, fishing;EAV-99;Hazardous waste;-;-
2014;WZ08-01-03;Agriculture, forestry, fisheries;;Total;300;237.2
2014;WZ08-05-02;Mining and quarrying;EAV-01;Wastes from mineral quarrying;9;34,9
2014;WZ08-05-02;Mining and quarrying;EAV-02;Waste from agriculture, forestry, etc.;15;0.2
2014;WZ08-05-02;Mining and quarrying of stone and earth;EAV-03;Waste from wood processing, etc.;-;-
2014;WZ08-05-02;Mining and quarrying;EAV-04;Waste from the leather, fur and textile industry;-;-
2014;WZ08-05-02;Mining and quarrying;EAV-05;Wastes from petroleum refining, natural gas purification;3;0,4
2014;WZ08-05-02;Mining and quarrying;EAV-06;Waste from inorganic chemical processes;17;6,4
2014;WZ08-05-02;Mining and quarrying;EAV-07;Waste from organic chemical processes;14;0.1
2014;WZ08-05-02;Mining and quarrying;EAV-08;Waste from MFSU from coatings, adhesives, etc.;21;0.1
2014;WZ08-05-02;Mining and quarrying;EAV-09;Waste from the photographic industry;4;0.0
2014;WZ08-05-02;Mining and quarrying;EAV-10;Waste from thermal processes;6;122.4
2014;WZ08-05-02;Mining and quarrying;EAV-11;Waste from chemical surface treatment;5;0.2
2014;WZ08-05-02;Mining and quarrying;EAV-12;Waste from mechanical shaping processes;19;5,7
2014;WZ08-05-02;Mining and quarrying;EAV-13;Oil waste and liquid fuel waste;45;6,4
2014;WZ08-05-02;Mining and quarrying;EAV-14;Wastes from organic solvents, coolants;14;0.0
2014;WZ08-05-02;Mining and quarrying;EAV-15;Packaging waste, absorbent masses, wipes;56;3.5
2014;WZ08-05-02;Mining and quarrying;EAV-16;Wastes not included elsewhere in the inventory;41;1,4
2014;WZ08-05-02;Mining and quarrying;EAV-17;Construction and demolition waste;48;905.3
2014;WZ08-05-02;Mining and quarrying;EAV-18;Waste from medical care;-;-
2014;WZ08-05-02;Mining and quarrying;EAV-19;Waste from waste treatment plants etc.;15;11.5
2014;WZ08-05-02;Mining and quarrying;EAV-20;Municipal waste (household waste and similar waste);61;16.4
2014;WZ08-05-02;Mining and quarrying;EAV-99;Hazardous waste;-;-
2014;WZ08-05-02;Mining and quarrying;;Total;64;1115.2
2014;WZ08-10-01;Food industry and tobacco processing;EAV-01;Waste from the extraction of mineral resources;-;-
2014;WZ08-10-01;Food industry and tobacco processing;EAV-02;Waste from agriculture, forestry, etc.;1021;4813.7
2014;WZ08-10-01;Food industry and tobacco processing;EAV-03;Waste from wood processing, etc.;7;0.7
2014;WZ08-10-01;Food industry and tobacco processing;EAV-04;Waste from the leather, fur and textile industry;3;0.2
2014;WZ08-10-01;Food industry and tobacco processing;EAV-05;Waste from petroleum refining, natural gas purification;14;0.1
2014;WZ08-10-01;Food industry and tobacco processing;EAV-06;Waste from inorganic chemical processes;92;4.5
2014;WZ08-10-01;Food industry and tobacco processing;EAV-07;Waste from organic chemical processes;120;16.5
2014;WZ08-10-01;Food industry and tobacco processing;EAV-08;Waste from MFSU from coatings, adhesives, etc.;132;0.1
2014;WZ08-10-01;Food industry and tobacco processing;EAV-09;Waste from the photographic industry;4;0.0
2014;WZ08-10-01;Food industry and tobacco processing;EAV-10;Waste from thermal processes;48;54.4
2014;WZ08-10-01;Food industry and tobacco processing;EAV-11;Wastes from chemical surface treatment;27;0.1
2014;WZ08-10-01;Food industry and tobacco processing;EAV-12;Waste from mechanical shaping processes;84;2.3
2014;WZ08-10-01;Food industry and tobacco processing;EAV-13;Oil waste and liquid fuel waste;470;7.2
2014;WZ08-10-01;Food industry and tobacco processing;EAV-14;Waste from organic solvents, coolants;123;0.2
2014;WZ08-10-01;Food industry and tobacco processing;EAV-15;Packaging waste, absorbent masses, wipes;1366;555.2
2014;WZ08-10-01;Food industry and tobacco processing;EAV-16;Wastes not included elsewhere in the inventory;394;5.3
2014;WZ08-10-01;Food industry and tobacco processing;EAV-17;Construction and demolition waste;582;165.2
2014;WZ08-10-01;Food industry and tobacco processing;EAV-18;Waste from medical care;9;0.0
2014;WZ08-10-01;Food industry and tobacco processing;EAV-19;Waste from waste treatment plants etc.;195;64.2
2014;WZ08-10-01;Food industry and tobacco processing;EAV-20;Municipal waste (household waste and similar waste);1395;433.8
2014;WZ08-10-01;Food industry and tobacco processing;EAV-99;Hazardous waste;-;-
2014;WZ08-10-01;Food industry and tobacco processing;;Total;1481;6123.7
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-01;Waste from the extraction of mineral resources;-;-
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-02;Waste from agriculture, forestry, etc.;8;0.2
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-03;Waste from wood processing, etc.;8;0.1
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-04;Waste from the leather, fur and textile industry;264;111.9
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-05;Waste from petroleum refining, natural gas cleaning;-;-
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-06;Waste from inorganic chemical processes;25;0.1
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-07;Waste from organic-chemical processes;92;7,7
2014;WZ08-13-03; Textile and clothing industry, leather industry; EAV-08; Waste from MFSU from coatings, adhesives, etc.; 124; 5.0
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-09;Waste from the photographic industry;-;-
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-10;Waste from thermal processes;14;3.7
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-11;Waste from chemical surface treatment;8;0.0
2014;WZ08-13-03;Textile and clothing industry, leather industry;EWC-12;Waste from mechanical shaping processes;52;0.6
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-13;Oil waste and liquid fuel waste;134;0.5
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-14;Waste from organic solvents, coolants;41;0.1
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-15;Packaging waste, absorbent masses, wipes;512;80.1
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-16;Waste not included elsewhere in the inventory;120;1.4
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-17;Construction and demolition waste;183;6.6
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-18;Waste from medical care;-;-
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-19;Waste from waste treatment plants etc.;47;7.5
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-20;Municipal waste (household waste and similar waste);514;35.6
2014;WZ08-13-03;Textile and clothing industry, leather industry;EAV-99;Hazardous waste;-;-
2014;WZ08-13-03;Textile and clothing industry, leather industry;;Total;556;261.3
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-01;Waste from the extraction of mineral resources;-;-
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-02; Waste from agriculture, forestry, etc.; 11; 0.1
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-03; Waste from wood processing, etc.; 195; 2918.7
2014;WZ08-16;H.v. Wood, plaiting, wicker and cork goods (without furniture);EAV-04;Waste from the leather, fur and textile industry;-;-
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-05;Waste from petroleum refining, natural gas cleaning;-;-
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-06; Waste from inorganic chemical processes; 10; 0.1
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-07; Waste from organic chemical processes; 33; 6.6
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-08; Waste from MFSU from coatings, adhesives, etc.; 124; 6.8
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-09;Waste from the photographic industry;-;-
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-10; Waste from thermal processes; 147; 183.3
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-11; Waste from chemical surface treatment; 10; 0.2
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-12; Waste from mechanical shaping processes; 48; 3.2
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-13; Oil waste and waste from liquid fuels; 103; 2.0
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-14; Waste from organic solvents, coolants; 23; 0.1
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-15; packaging waste, absorbent masses, wipes; 300; 26.2
2014;WZ08-16;H.v. Articles of wood, wicker, wicker and cork (excluding furniture); EAV-16; Waste not included elsewhere in the inventory;77;2.2
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-17; Construction and demolition waste; 173; 40.0
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-18;Waste from medical care;-;-
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-19; Waste from waste treatment plants, etc.; 38; 52.3
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-20; Municipal waste (household waste and similar waste); 345; 27.5
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-99;Hazardous waste;-;-
2014;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);;Total;364;3269.3
2014;WZ08-17-03;Paper and printing industry;EAV-01;Waste from mineral extraction;3;0.1
2014;WZ08-17-03;paper and printing industry;EAV-02;waste from agriculture, forestry, etc.;50;2.4
2014;WZ08-17-03;paper and printing industry;EAV-03;waste from wood processing, etc.;407;4951.2
2014;WZ08-17-03;paper and printing industry;EAV-04;waste from the leather, fur and textile industry;10;12.1
2014;WZ08-17-03;paper and printing industry;EAV-05;waste from petroleum refining, natural gas purification;-;-
2014;WZ08-17-03;paper and printing industry;EAV-06;waste from inorganic chemical processes;68;4.9
2014;WZ08-17-03;paper and printing industry;EAV-07;waste from organic chemical processes;219;28.5
2014; WZ08-17-03; paper and printing industry; EAV-08; waste from MFSU from coatings, adhesives, etc.; 665; 45.3
2014;WZ08-17-03;Paper and printing industry;EAV-09;Waste from the photographic industry;333;4.5
2014;WZ08-17-03;paper and printing industry;EAV-10;waste from thermal processes;38;423.6
2014;WZ08-17-03;paper and printing industry;EAV-11;waste from chemical surface treatment;66;1.7
2014;WZ08-17-03;paper and printing industry;EWC-12;waste from mechanical shaping processes;144;6.5
2014;WZ08-17-03;Paper and printing industry;EAV-13;Oil waste and liquid fuel waste;414;4.6
2014;WZ08-17-03;paper and printing industry;EAV-14;waste from organic solvents, coolants;284;3.7
2014;WZ08-17-03;paper and printing industry;EAV-15;packaging waste, absorbent masses, wipes;980;579.1
2014;WZ08-17-03;Paper and printing industry;EAV-16;Waste not included elsewhere in the inventory;319;5.7
2014;WZ08-17-03;Paper and printing industry;EAV-17;Construction and demolition waste;467;110.1
2014;WZ08-17-03;paper and printing industry;EAV-18;waste from medical care;-;-
2014;WZ08-17-03;paper and printing industry;EAV-19;waste from waste treatment plants etc.;147;125.3
2014;WZ08-17-03;paper and printing industry;EAV-20;municipal waste (household waste and similar waste);1071;829.3
2014;WZ08-17-03;Paper and printing industry;EAV-99;Hazardous waste;-;-
2014;WZ08-17-03;Paper and printing industry;;Total;1124;7138.5
2014;WZ08-19;Coking plant and mineral oil processing;EAV-01;Waste from the extraction of mineral resources;-;-
2014;WZ08-19;Coking plant and mineral oil processing;EAV-02;Waste from agriculture, forestry, etc.;4;0.0
2014;WZ08-19;coking plant and mineral oil processing;EAV-03;waste from wood processing, etc.;-;-
2014;WZ08-19;coking plant and mineral oil processing;EAV-04;waste from the leather, fur and textile industry;-;-
2014;WZ08-19;Coking plant and petroleum processing;EAV-05;Waste from petroleum refining, natural gas purification;21;31.1
2014;WZ08-19;Coking plant and mineral oil processing;EAV-06;Waste from inorganic chemical processes;16;35.3
2014;WZ08-19;Coking plant and mineral oil processing;EAV-07;Waste from organic chemical processes;27;6.3
2014;WZ08-19;Coking plant and mineral oil processing;EAV-08;Waste from MFSU from coatings, adhesives, etc.;12;0.0
2014;WZ08-19;Coking plant and mineral oil processing;EAV-09;Waste from the photographic industry;3;0.0
2014;WZ08-19;Coking plant and mineral oil processing;EAV-10;Waste from thermal processes;7;34.9
2014;WZ08-19;Coking plant and mineral oil processing;EAV-11;Waste from chemical surface treatment;3;0.4
2014;WZ08-19;Coking plant and mineral oil processing;EAV-12;Waste from mechanical shaping processes;26;6.2
2014;WZ08-19;Coking plant and petroleum processing;EAV-13;Oil waste and liquid fuel waste;34;16.3
2014;WZ08-19;Coking plant and petroleum processing;EAV-14;Waste from organic solvents, coolants;15;0.3
2014;WZ08-19;Coking plant and mineral oil processing;EAV-15;Packaging waste, absorbent masses, wipes;43;5.7
2014;WZ08-19;Coking plant and petroleum processing;EAV-16;Wastes not included elsewhere in the inventory;34;18.1
2014;WZ08-19;Coking plant and petroleum processing;EAV-17;Construction and demolition waste;32;86.1
2014;WZ08-19;Coking plant and mineral oil processing;EAV-18;Waste from medical care;-;-
2014;WZ08-19;coking plant and mineral oil processing;EAV-19;waste from waste treatment plants etc.;17;62.6
2014;WZ08-19;Coking plant and mineral oil processing;EAV-20;Municipal waste (household waste and similar waste);43;8.4
2014;WZ08-19;Coking plant and petroleum processing;EAV-99;Hazardous waste;-;-
2014;WZ08-19;Coking plant and petroleum processing;;Total;47;311.6
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic products;EAV-01;Wastes from mineral extraction;31;1802.8
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-02; Waste from agriculture, forestry, etc.; 233; 195.3
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-03; Waste from wood processing, etc.; 60; 24.3
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-04;Wastes from the leather, fur and textile industries;32;11.0
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-05;Wastes from petroleum refining, natural gas purification;26;10.0
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-06; Waste from inorganic chemical processes; 471; 448.2
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-07; Waste from organic chemical processes; 1719; 1710.9
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-08; Waste from MFSU from coatings, adhesives, etc.; 927; 92.9
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-09;Wastes from the photographic industry;30;1.1
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-10;waste from thermal processes;138;373.3
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-11;Waste from chemical surface treatment;194;50.3
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EWC-12;Waste from mechanical shaping processes;941;64.9
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic products;EAV-13;Oil waste and liquid fuel waste;1277;35.4
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-14;waste from organic solvents, coolants;545;14.3
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-15; packaging waste, absorbent masses, wipes; 2722; 458.7
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic products;EWC-16;Wastes not included elsewhere in the inventory;1261;134.0
2014;WZ08-20-03;Chem. and pharma. Manufacture, rubber, plastic products;EAV-17;Construction and demolition waste;1418;1300.5
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-18; Waste from medical care; 137; 10.9
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-19; Waste from waste treatment plants, etc.; 399; 894.2
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-20; Municipal waste (household waste and similar waste); 2761; 403.0
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-99;Hazardous waste;-;-
2014;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic;;Total;2947;8036.2
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-01; waste from the extraction of mineral resources; 35; 91.4
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-02; waste from agriculture, forestry, etc.; 40; 0.4
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-03; waste from wood processing, etc.; 56; 9.7
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-04; waste from the leather, fur and textile industry;-;-
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-05; waste from petroleum refining, natural gas purification; 8; 0.9
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-06; waste from inorganic chemical processes; 95; 6.8
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-07; waste from organic chemical processes; 133; 8.6
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-08; waste from MFSU of coatings, adhesives, etc.; 262; 17.5
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-09; waste from the photographic industry; 6; 0.0
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-10; waste from thermal processes; 528; 1188.1
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-11; waste from chemical surface treatment; 50; 1.7
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-12; waste from mechanical shaping processes; 210; 10.7
2014;WZ08-23;H.v.Glass goods, ceramics, processing. v. Stone and earth; EAV-13; Oil waste and waste from liquid fuels; 437; 19.8
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-14; Waste from organic solvents, coolants; 135; 1.0
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-15; packaging waste, absorbent masses, wipes; 842; 87.9
2014;WZ08-23;H.v.Glass goods, ceramics, processing. Stone and earth; EAV-16; Waste not included elsewhere in the inventory; 354; 26.8
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-17; construction and demolition waste; 564; 456.8
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-18; waste from medical care;-;-
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-19; waste from waste treatment plants etc.; 99; 105.9
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-20; municipal waste (household waste and similar waste); 897; 107.2
2014;WZ08-23;H.v.Glass goods, ceramics, processing. of stones and earth; EAV-99; hazardous waste;-;-
2014;WZ08-23;H.v.Glass goods, ceramics, processing. v. stones and earth;; total; 944; 2142.2
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-01;Wastes from the extraction of mineral resources;6;3.0
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-02;waste from agriculture, forestry, etc.;111;2.1
2014;WZ08-24-03;Metal production and processing, manuf. v. Metal ore; EAV-03; Waste from wood processing, etc.; 39; 3.7
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-04;Waste from the leather, fur and textile industry;3;0.1
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-05;Waste from petroleum refining, natural gas purification;18;3.3
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-06;Waste from inorganic chemical processes;362;79.2
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-07;Waste from organic chemical processes;392;16.1
2014;WZ08-24-03;Metal production and processing, manuf. from metal ore; EAV-08; waste from MFSU from coatings, adhesives, etc.; 659; 15.7
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-09;Waste from the photographic industry;54;0.2
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore;EAV-10;Waste from thermal processes;402;7203.3
2014;WZ08-24-03;Metal production and processing, manuf. v. Metal ore; EAV-11; Waste from chemical surface treatment; 593; 459.6
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-12;Waste from mechanical shaping processes;1521;2012.2
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-13;Oil waste and liquid fuel waste;1157;60.8
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-14;waste from organic solvents, coolants;423;6.5
2014;WZ08-24-03;Metal production and processing, manuf. of metal ore; EAV-15; packaging waste, absorbent masses, wipes; 1823; 213.9
