GENESIS-Tabelle: 32151-0001
Abfallerzeuger, Abfallmengen (gefährliche Abfälle):;;;;;;;
Deutschland, Jahre, Wirtschaftszweige, Abfallarten;;;;;;;
(EAV 2-Steller);;;;;;;
Erhebung der gefährlichen Abfälle;;;;;;;
Deutschland;;;;;;;
;;;;;Abfallerzeuger;Abfallmengen;Abfallmengen, von Primärerzeugern erzeugt
2009;WZ08-26-01;Herstellung v. DV-Geräten u. elektr. Ausrüstungen;EAV-17;Bau- und Abbruchabfälle;68;13,0;12,8
2009;WZ08-26-01;Herstellung v. DV-Geräten u. elektr. Ausrüstungen;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2009;WZ08-26-01;Herstellung v. DV-Geräten u. elektr. Ausrüstungen;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;56;3,0;2,9
2009;WZ08-26-01;Herstellung v. DV-Geräten u. elektr. Ausrüstungen;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);14;1,8;1,8
2009;WZ08-26-01;Herstellung v. DV-Geräten u. elektr. Ausrüstungen;;Insgesamt;634;122,6;122,2
2009;WZ08-28;Maschinenbau;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2009;WZ08-28;Maschinenbau;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2009;WZ08-28;Maschinenbau;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2009;WZ08-28;Maschinenbau;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2009;WZ08-28;Maschinenbau;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;3;0,0;0,0
2009;WZ08-28;Maschinenbau;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;62;3,8;3,8
2009;WZ08-28;Maschinenbau;EAV-07;Abfälle aus organisch-chemischen Prozessen;75;2,5;2,5
2009;WZ08-28;Maschinenbau;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;124;2,6;2,6
2009;WZ08-28;Maschinenbau;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2009;WZ08-28;Maschinenbau;EAV-10;Abfälle aus thermischen Prozessen;31;4,5;4,5
2009;WZ08-28;Maschinenbau;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;264;13,0;12,9
2009;WZ08-28;Maschinenbau;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;915;117,6;115,4
2009;WZ08-28;Maschinenbau;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;220;11,0;11,0
2009;WZ08-28;Maschinenbau;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;44;1,0;0,7
2009;WZ08-28;Maschinenbau;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;211;4,7;4,7
2009;WZ08-28;Maschinenbau;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;89;3,2;3,2
2009;WZ08-28;Maschinenbau;EAV-17;Bau- und Abbruchabfälle;143;36,8;36,8
2009;WZ08-28;Maschinenbau;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2009;WZ08-28;Maschinenbau;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;63;7,2;7,2
2009;WZ08-28;Maschinenbau;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);9;0,2;0,2
2009;WZ08-28;Maschinenbau;;Insgesamt;1306;208,0;205,4
2009;WZ08-29-01;Fahrzeugbau;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2009;WZ08-29-01;Fahrzeugbau;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2009;WZ08-29-01;Fahrzeugbau;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2009;WZ08-29-01;Fahrzeugbau;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2009;WZ08-29-01;Fahrzeugbau;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;3;0,1;0,1
2009;WZ08-29-01;Fahrzeugbau;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;57;5,1;5,1
2009;WZ08-29-01;Fahrzeugbau;EAV-07;Abfälle aus organisch-chemischen Prozessen;89;27,0;27,0
2009;WZ08-29-01;Fahrzeugbau;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;171;23,4;23,4
2009;WZ08-29-01;Fahrzeugbau;EAV-09;Abfälle aus der fotografischen Industrie;4;0,0;0,0
2009;WZ08-29-01;Fahrzeugbau;EAV-10;Abfälle aus thermischen Prozessen;30;18,6;17,1
2009;WZ08-29-01;Fahrzeugbau;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;170;21,2;21,0
2009;WZ08-29-01;Fahrzeugbau;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;333;84,4;83,3
2009;WZ08-29-01;Fahrzeugbau;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;204;26,9;26,9
2009;WZ08-29-01;Fahrzeugbau;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;64;2,7;2,7
2009;WZ08-29-01;Fahrzeugbau;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;201;12,3;12,0
2009;WZ08-29-01;Fahrzeugbau;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;110;11,0;10,8
2009;WZ08-29-01;Fahrzeugbau;EAV-17;Bau- und Abbruchabfälle;78;24,3;24,0
2009;WZ08-29-01;Fahrzeugbau;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2009;WZ08-29-01;Fahrzeugbau;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;62;13,5;12,4
2009;WZ08-29-01;Fahrzeugbau;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);13;0,7;0,7
2009;WZ08-29-01;Fahrzeugbau;;Insgesamt;610;271,2;266,4
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;17;0,6;0,6
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-07;Abfälle aus organisch-chemischen Prozessen;42;2,4;2,4
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;80;2,3;2,3
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-10;Abfälle aus thermischen Prozessen;8;1,2;1,2
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;80;2,2;2,2
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;58;2,2;2,2
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;13;0,3;0,3
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;10;0,2;0,2
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;21;0,1;0,1
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;15;1,6;1,6
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-17;Bau- und Abbruchabfälle;31;2,5;2,5
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;15;0,3;0,3
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);-;-;-
2009;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;;Insgesamt;269;16,8;16,8
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;9;1,2;1,2
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-07;Abfälle aus organisch-chemischen Prozessen;9;0,2;0,2
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;12;0,4;0,4
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-10;Abfälle aus thermischen Prozessen;3;0,0;0,0
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;22;1,4;1,4
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;57;3,3;3,3
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;74;9,3;8,7
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;3;0,0;0,0
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;36;0,6;0,6
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;40;7,0;6,6
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-17;Bau- und Abbruchabfälle;38;18,5;18,5
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;16;0,4;0,4
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);4;0,1;0,1
2009;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;;Insgesamt;196;42,4;41,5
2009;WZ08-D;Energieversorgung;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2009;WZ08-D;Energieversorgung;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2009;WZ08-D;Energieversorgung;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2009;WZ08-D;Energieversorgung;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2009;WZ08-D;Energieversorgung;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;12;1,4;1,4
2009;WZ08-D;Energieversorgung;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;8;0,8;0,8
2009;WZ08-D;Energieversorgung;EAV-07;Abfälle aus organisch-chemischen Prozessen;17;3,6;3,6
2009;WZ08-D;Energieversorgung;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;5;0,0;0,0
2009;WZ08-D;Energieversorgung;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2009;WZ08-D;Energieversorgung;EAV-10;Abfälle aus thermischen Prozessen;37;52,1;52,1
2009;WZ08-D;Energieversorgung;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;15;0,7;0,7
2009;WZ08-D;Energieversorgung;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;46;6,2;6,1
2009;WZ08-D;Energieversorgung;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;194;34,4;16,2
2009;WZ08-D;Energieversorgung;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;11;0,2;0,2
2009;WZ08-D;Energieversorgung;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;44;0,9;0,9
2009;WZ08-D;Energieversorgung;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;220;21,1;21,1
2009;WZ08-D;Energieversorgung;EAV-17;Bau- und Abbruchabfälle;450;465,1;464,6
2009;WZ08-D;Energieversorgung;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2009;WZ08-D;Energieversorgung;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;91;630,1;381,8
2009;WZ08-D;Energieversorgung;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);3;0,1;0,1
2009;WZ08-D;Energieversorgung;;Insgesamt;743;1216,8;949,8
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;4;2,4;0,1
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;53;0,5;0,2
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-03;Abfälle aus der Holzbearbeitung u.a.;14;0,1;0,1
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;3;0,0;0,0
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;38;4,8;2,3
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;216;38,1;16,3
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-07;Abfälle aus organisch-chemischen Prozessen;213;115,6;79,6
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;213;64,5;40,9
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-09;Abfälle aus der fotografischen Industrie;108;30,9;23,1
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-10;Abfälle aus thermischen Prozessen;85;60,3;48,1
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;168;49,1;28,1
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;315;275,7;116,6
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;700;916,9;709,5
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;179;53,0;28,6
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;527;134,3;82,5
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;841;495,9;354,6
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-17;Bau- und Abbruchabfälle;2525;2037,1;1544,2
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-18;Abfälle aus der medizinischen Versorgung;53;11,2;8,2
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;735;3904,8;1579,0
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);441;91,4;75,8
2009;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;;Insgesamt;3888;8286,5;4737,8
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;52;0,5;0,2
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-03;Abfälle aus der Holzbearbeitung u.a.;13;0,1;0,1
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;33;4,5;2,0
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;203;35,8;14,0
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-07;Abfälle aus organisch-chemischen Prozessen;199;101,8;65,9
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;204;57,7;34,2
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-09;Abfälle aus der fotografischen Industrie;107;26,4;18,6
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-10;Abfälle aus thermischen Prozessen;79;54,5;42,3
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;152;41,8;20,9
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;287;249,4;93,6
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;601;793,2;590,6
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;171;50,3;26,1
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;501;117,3;65,7
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;798;433,2;291,9
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-17;Bau- und Abbruchabfälle;2003;1616,0;1156,7
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-18;Abfälle aus der medizinischen Versorgung;50;9,1;6,1
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;676;3808,7;1505,1
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);429;85,6;70,1
2009;WZ08-38;Sammlung, Abfallbeseitigung, Rückgewinnung;;Insgesamt;3180;7488,3;4004,1
2009;WZ08-F;Baugewerbe;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2009;WZ08-F;Baugewerbe;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2009;WZ08-F;Baugewerbe;EAV-03;Abfälle aus der Holzbearbeitung u.a.;3;0,0;0,0
2009;WZ08-F;Baugewerbe;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2009;WZ08-F;Baugewerbe;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-
2009;WZ08-F;Baugewerbe;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;4;17,6;0,2
2009;WZ08-F;Baugewerbe;EAV-07;Abfälle aus organisch-chemischen Prozessen;14;4,4;4,4
2009;WZ08-F;Baugewerbe;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;24;0,3;0,3
2009;WZ08-F;Baugewerbe;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2009;WZ08-F;Baugewerbe;EAV-10;Abfälle aus thermischen Prozessen;9;7,5;7,5
2009;WZ08-F;Baugewerbe;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;9;2,2;0,2
2009;WZ08-F;Baugewerbe;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;64;3,5;3,5
2009;WZ08-F;Baugewerbe;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;101;7,5;7,2
2009;WZ08-F;Baugewerbe;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;-;-;-
2009;WZ08-F;Baugewerbe;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;23;0,3;0,2
2009;WZ08-F;Baugewerbe;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;72;6,2;5,3
2009;WZ08-F;Baugewerbe;EAV-17;Bau- und Abbruchabfälle;3762;1099,9;1015,5
2009;WZ08-F;Baugewerbe;EAV-18;Abfälle aus der medizinischen Versorgung;-;-;-
2009;WZ08-F;Baugewerbe;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;24;16,1;4,5
2009;WZ08-F;Baugewerbe;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);14;0,6;0,6
2009;WZ08-F;Baugewerbe;;Insgesamt;4017;1171,5;1054,9
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;5;0,4;0,4
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;5;0,5;0,5
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;52;5,5;5,4
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-07;Abfälle aus organisch-chemischen Prozessen;117;22,2;22,1
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;86;2,8;2,7
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-09;Abfälle aus der fotografischen Industrie;16;0,6;0,4
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-10;Abfälle aus thermischen Prozessen;24;35,3;28,0
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;83;18,3;14,7
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;252;55,2;42,7
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;1073;106,5;71,5
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;64;29,5;3,4
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;175;6,7;4,6
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;331;131,3;94,5
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-17;Bau- und Abbruchabfälle;797;323,9;264,0
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-18;Abfälle aus der medizinischen Versorgung;17;0,4;0,4
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;87;146,3;81,7
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);38;1,7;1,3
2009;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;;Insgesamt;2503;887,5;638,6
2009;WZ08-H;Verkehr und Lagerei;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-
2009;WZ08-H;Verkehr und Lagerei;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-
2009;WZ08-H;Verkehr und Lagerei;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-
2009;WZ08-H;Verkehr und Lagerei;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-;-
2009;WZ08-H;Verkehr und Lagerei;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;10;0,8;0,8
2009;WZ08-H;Verkehr und Lagerei;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;10;0,3;0,3
2009;WZ08-H;Verkehr und Lagerei;EAV-07;Abfälle aus organisch-chemischen Prozessen;52;4,5;3,3
2009;WZ08-H;Verkehr und Lagerei;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;26;1,3;1,2
2009;WZ08-H;Verkehr und Lagerei;EAV-09;Abfälle aus der fotografischen Industrie;-;-;-
2009;WZ08-H;Verkehr und Lagerei;EAV-10;Abfälle aus thermischen Prozessen;-;-;-
2009;WZ08-H;Verkehr und Lagerei;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;10;1,8;1,7
