Waste Producers,Waste Quantities,Years,Waste Types - EAV 2- and 6-Digit Codes,Survey of Hazardous Waste,Count,,,,,,,,,,,,,,,,,
2008,EAV-200135-G, Gebrauchte elektrische Geräte (oh.200121,,,,200123),234,32,6,24,8,,,,,,,,,,,
2008,EAV-200137-G, Holz,,,,das gefährliche Stoffe enthält,71,20,7,19,4,,,,,,,,,,,
2009,EAV-01,Abfälle aus der Gewinnung von Bodenschätzen,21,141,,2,138,,9,,,,,,,,,,,,,
2009,EAV-010304-G, Säure bildende Aufbereitungsrückstände a. sul. Erz,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-010305-G, Andere Aufbereitungsrückstände mit gefährl.Stoffen,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-010307-G, Abfälle aus Verarb. metallhaltiger Bodenschätze,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-010407-G, Abfälle a.Weiterverarb. nichtmetallh. Bodenschätze,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-010505-G, Ölhaltige Bohrschlämme und -abfälle,19,140,,7,138,,5,,,,,,,,,,,,,
2009,EAV-010506-G, Bohrschlämme u.a. Bohrabfälle mit gefährl. Stoffen,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-02,Abfälle aus Landwirtschaft,,,,Forstwirtschaft u.a.,73,1,5,1,2,,,,,,,,,,,
2009,EAV-020108-G, Abfälle von Chemikalien für die Landwirtschaft,73,1,,5,1,,2,,,,,,,,,,,,,
2009,EAV-03,Abfälle aus der Holzbearbeitung u.a.,25,0,,3,0,,3,,,,,,,,,,,,,
2009,EAV-030104-G, Sägemehl,,,,Späne,,,Abschnitte,,Holz,Spanplatten,6,0,2,0,2,,,,,
2009,EAV-030201-G, Halogenfreie organische Holzschutzmittel,4,0,,0,0,,0,,,,,,,,,,,,,
2009,EAV-030202-G, Chlororganische Holzschutzmittel,8,0,,0,0,,0,,,,,,,,,,,,,
2009,EAV-030203-G, Metallorganische Holzschutzmittel,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-030204-G, Anorganische Holzschutzmittel,4,0,,0,0,,0,,,,,,,,,,,,,
2009,EAV-030205-G, Andere Holzschutzmittel mit gefährlichen Stoffen,4,0,,0,0,,0,,,,,,,,,,,,,
2009,EAV-04,Abfälle aus der Leder-,,,,Pelz- und Textilindustrie,16,0,2,0,2,,,,,,,,,,,
2009,EAV-040103-G, Entfettungsabfälle,,,,lösemittelh.,,,oh.flüssige Phase,-,,,,,,,,,,,,
2009,EAV-040214-G, Abfälle aus dem Finish mit organ. Lösungsmittel,7,0,,1,0,,1,,,,,,,,,,,,,
2009,EAV-040216-G, Farbstoffe und Pigmente mit gefährlichen Stoffen,3,0,,0,0,,0,,,,,,,,,,,,,
2009,EAV-040219-G, Textilindustrie:Schlämme(betriebseig.Abwasserbeh.),6,0,,1,0,,1,,,,,,,,,,,,,
2009,EAV-05,Abfälle aus der Erdölraffination,,,,Erdgasreinigung,182,58,5,55,3,,,,,,,,,,,
2009,EAV-050102-G, Erdölraffination: Entsalzungsschlämme,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-050103-G, Erdölraffination: Bodenschlämme aus Tanks,57,20,,3,19,,0,,,,,,,,,,,,,
2009,EAV-050104-G, Erdölraffination: Saure Alkylschlämme,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-050105-G, Erdölraffination: Verschüttetes Öl,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-050106-G, Erdölraffination: Ölhalt.Schlämme a.Betriebsvorg.,67,12,,6,12,,4,,,,,,,,,,,,,
2009,EAV-050107-G, Erdölraffination: Säureteere,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-050108-G, Erdölraffination: Andere Teere,9,0,,8,0,,8,,,,,,,,,,,,,
2009,EAV-050109-G, Erdölraffin.: Schlämme (betriebseig.Abwasserbeh.),14,13,,3,12,,9,,,,,,,,,,,,,
2009,EAV-050111-G, Erdölraffin.: Abf. aus Brennstoffrein. mit Basen,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-050112-G, Erdölraffination: Säurehaltige Öle,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-050115-G, Erdölraffination: Gebrauchte Filtertone,17,2,,1,1,,0,,,,,,,,,,,,,
2009,EAV-050601-G, Kohlepyrolyse: Säureteere,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-050603-G, Kohlepyrolyse: Andere Teere,60,8,,9,8,,8,,,,,,,,,,,,,
2009,EAV-050701-G, Erdgasreinigung,,,,#NAME?,5,0,1,0,1,,,,,,,,,,,
2009,EAV-06,Abfälle aus anorganisch-chemischen Prozessen,1117,431,,9,348,,8,,,,,,,,,,,,,
2009,EAV-060101-G, Schwefelsäure und schweflige Säure,198,107,,6,105,,7,,,,,,,,,,,,,
2009,EAV-060102-G, Salzsäure,53,6,,1,5,,8,,,,,,,,,,,,,
2009,EAV-060103-G, Flusssäure,16,0,,2,0,,1,,,,,,,,,,,,,
2009,EAV-060104-G, Phosphorsäure und phosphorige Säure,44,0,,9,0,,9,,,,,,,,,,,,,
2009,EAV-060105-G, Salpetersäure und salpetrige Säure,47,1,,5,1,,4,,,,,,,,,,,,,
2009,EAV-060106-G, Andere Säuren,228,20,,9,18,,0,,,,,,,,,,,,,
2009,EAV-060201-G, Calciumhydroxid,11,0,,6,0,,6,,,,,,,,,,,,,
2009,EAV-060203-G, Ammoniumhydroxid,78,2,,1,1,,0,,,,,,,,,,,,,
2009,EAV-060204-G, Natrium- und Kaliumhydroxid,60,45,,3,27,,0,,,,,,,,,,,,,
2009,EAV-060205-G, Andere Basen,223,22,,2,20,,4,,,,,,,,,,,,,
2009,EAV-060311-G, Feste Salze u. Lösungen,,,,Cyanid enthaltend,34,0,4,0,3,,,,,,,,,,,
2009,EAV-060313-G, Feste Salze u. Lösungen,,,,Schwermetalle enthaltend,136,7,9,6,0,,,,,,,,,,,
2009,EAV-060315-G, Metalloxide,,,,die Schwermetalle enthalten,20,3,9,3,9,,,,,,,,,,,
2009,EAV-060403-G, Arsenhaltige Abfälle,21,0,,7,0,,6,,,,,,,,,,,,,
2009,EAV-060404-G, Quecksilberhaltige Abfälle,152,5,,4,5,,3,,,,,,,,,,,,,
2009,EAV-060405-G, Abfälle,,,,die andere Schwermetalle enthalten,119,85,1,41,8,,,,,,,,,,,
2009,EAV-060502-G, Schlämme aus betriebseigener Abwasserbehandlung,92,106,,4,95,,7,,,,,,,,,,,,,
2009,EAV-060602-G, Abfälle,,,,die gefährliche Sulfide enthalten,6,0,2,0,2,,,,,,,,,,,
2009,EAV-060701-G, Asbesthaltige Abfälle aus der Elektrolyse,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-060702-G, Aktivkohle aus der Chlorherstellung,3,0,,0,0,,0,,,,,,,,,,,,,
2009,EAV-060703-G, Quecksilberhaltige Bariumsulfatschlämme,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-060704-G, Lösungen und Säuren,,,,z.B. Kontaktsäure,-,-,,,,,,,,,,,,,,
2009,EAV-060802-G, Gefährliche Chlorsilane enthaltende Abfälle,6,0,,1,0,,1,,,,,,,,,,,,,
2009,EAV-060903-G, Reaktionsabfälle auf Calciumbasis,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-061002-G, Stickstoffh.Chemik.: Abfälle mit gefährl. Stoffen,5,0,,1,0,,1,,,,,,,,,,,,,
2009,EAV-061301-G, Anorganische Pflanzenschutzmittel,,,,Holzschutzmittel,46,0,3,0,1,,,,,,,,,,,
2009,EAV-061302-G, Gebrauchte Aktivkohle (ohne 060702),66,2,,2,2,,1,,,,,,,,,,,,,
2009,EAV-061304-G, Abfälle aus der Asbestverarbeitung,17,0,,9,0,,7,,,,,,,,,,,,,
2009,EAV-061305-G, Ofen- und Kaminruß,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-07,Abfälle aus organisch-chemischen Prozessen,2102,893,,5,843,,7,,,,,,,,,,,,,
2009,EAV-070101-G, Org.Grundchemik.: Wässrige Waschfl.,,,,Mutterlaugen,160,35,7,26,8,,,,,,,,,,,
2009,EAV-070103-G, Org.Grundchemik.: Halogenorg.Lösemittel,,,,Waschfl.,109,13,6,10,8,,,,,,,,,,,
2009,EAV-070104-G, Org.Grundchemik.: Lösemittel,,,,Waschflüssigkeiten,367,88,5,78,9,,,,,,,,,,,
2009,EAV-070107-G, Org.Grundchemik.: Halog.Reaktions-,,,,Destill.rückst.,36,20,8,20,3,,,,,,,,,,,
2009,EAV-070108-G, Org.Grundchemik.: Reaktions-,,,,Destillationsrückst.,140,51,7,51,3,,,,,,,,,,,
2009,EAV-070109-G, Org.Grundchemik.: Halog.Filterkuchen,,,,Aufsaugmat.,11,0,3,0,3,,,,,,,,,,,
2009,EAV-070110-G, Org.Grundchemik.: And. Filterkuchen,,,,Aufsaugmat.,54,4,1,4,0,,,,,,,,,,,
2009,EAV-070111-G, Org.Grundchemik.:Schlämme(betriebseig.Abwasserbeh),47,11,,8,11,,7,,,,,,,,,,,,,
2009,EAV-070201-G, Kunststoffe: Wässrige Waschfl.,,,,Mutterlaugen,76,26,1,23,9,,,,,,,,,,,
2009,EAV-070203-G, Kunststoffe: Halogenorg.Lösemittel,,,,Waschflüssig.,40,2,3,2,3,,,,,,,,,,,
2009,EAV-070204-G, Kunststoffe: organ. Lösemittel,,,,Waschflüssigkeiten,175,23,5,22,8,,,,,,,,,,,
2009,EAV-070207-G, Kunststoffe: Halog. Reaktions-,,,,Destill.rückstände,52,3,2,3,1,,,,,,,,,,,
2009,EAV-070208-G, Kunststoffe: Reaktions-,,,,Destillationsrückstände,464,61,1,56,6,,,,,,,,,,,
2009,EAV-070209-G, Kunststoffe: Halog. Filterkuchen,,,,Aufsaugmat.,6,0,1,0,1,,,,,,,,,,,
2009,EAV-070210-G, Kunststoffe: And. Filterkuchen,,,,Aufsaugmaterialien,44,3,1,3,0,,,,,,,,,,,
2009,EAV-070211-G, Kunststoffe: Schlämme (betriebseig.Abwasserbeh.),14,1,,2,1,,0,,,,,,,,,,,,,
2009,EAV-070214-G, Kunststoffe: Abfälle v.Zusatzstoffen m.gefährl.St.,37,1,,3,1,,2,,,,,,,,,,,,,
2009,EAV-070216-G, Kunststoffe: Gefährl. Silicone enthaltende Abfälle,3,0,,3,0,,3,,,,,,,,,,,,,
2009,EAV-070301-G, Org.Farbstoffe: Wässrige Waschfl.,,,,Mutterlaugen,31,3,8,3,3,,,,,,,,,,,
2009,EAV-070303-G, Org.Farbstoffe: Halogenorg. Lösemittel,,,,Waschfl.,26,0,9,0,8,,,,,,,,,,,
2009,EAV-070304-G, Org.Farbstoffe: Lösemittel,,,,Waschflüssigkeiten,281,50,8,47,3,,,,,,,,,,,
2009,EAV-070307-G, Org.Farbstoffe: Halog. Reaktions-,,,,Destill.rückst.,9,0,3,0,3,,,,,,,,,,,
2009,EAV-070308-G, Org.Farbstoffe: Reaktions-,,,,Destillationsrückstände,27,1,6,1,3,,,,,,,,,,,
2009,EAV-070309-G, Org.Farbstoffe: Halog. Filterkuchen,,,,Aufsaugmat.,4,0,2,0,2,,,,,,,,,,,
2009,EAV-070310-G, Org.Farbstoffe: Andere Filterkuchen,,,,Aufsaugmat.,15,2,4,2,4,,,,,,,,,,,
2009,EAV-070311-G, Org.Farbstoffe: Schlämme(betriebseig.Abwasserbeh.),6,0,,2,0,,2,,,,,,,,,,,,,
2009,EAV-070401-G, Pflanzenschutzmittel:Wässrige Waschfl.,,,,Mutterlaug.,17,19,4,19,4,,,,,,,,,,,
2009,EAV-070403-G, Pflanzenschutzmit.: Halogenorg.Lösemittel,,,,Waschfl.,12,46,5,46,5,,,,,,,,,,,
2009,EAV-070404-G, Pflanzenschutzmittel: Organ. Lösemittel,,,,Waschfl.,14,27,8,27,8,,,,,,,,,,,
2009,EAV-070407-G, Pflanzenschutzmit.:Halog.Reaktions-,,,,Destill.rückst,9,24,3,24,2,,,,,,,,,,,
2009,EAV-070408-G, Pflanzenschutzmittel: Reaktions-,,,,Destill.rückst.,9,3,1,3,1,,,,,,,,,,,
2009,EAV-070409-G, Pflanzenschutzmittel:Halog.Filterkuchen,,,,Aufsaugmat,5,0,2,0,2,,,,,,,,,,,
2009,EAV-070410-G, Pflanzenschutzmittel: Filterkuchen,,,,Aufsaugmat.,10,0,6,0,5,,,,,,,,,,,
2009,EAV-070411-G, Pflanzenschutzm.:Schlämme(betriebseig.Abwasserbeh),-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-070413-G, Pflanzenschutzmittel: Feste Abfälle m.gefährl.St.,8,0,,2,0,,2,,,,,,,,,,,,,
2009,EAV-070501-G, Pharmazeutika: Wässrige Waschfl.,,,,Mutterlaugen,57,43,6,43,4,,,,,,,,,,,
2009,EAV-070503-G, Pharmazeutika: Halogenorg.Lösemittel,,,,Waschfl.,60,12,1,12,0,,,,,,,,,,,
2009,EAV-070504-G, Pharmazeutika: organ. Lösemittel,,,,Waschflüssigk.,99,60,3,59,8,,,,,,,,,,,
2009,EAV-070507-G, Pharmazeutika: Halog.Reaktions-,,,,Destill.rückst.,15,2,3,2,3,,,,,,,,,,,
2009,EAV-070508-G, Pharmazeutika: Reaktions-,,,,Destillationsrückstände,55,3,1,2,9,,,,,,,,,,,
2009,EAV-070509-G, Pharmazeutika: Halog.Filterkuchen,,,,Aufsaugmat.,8,0,0,0,0,,,,,,,,,,,
2009,EAV-070510-G, Pharmazeutika: Filterkuchen,,,,Aufsaugmaterialien,29,2,6,2,6,,,,,,,,,,,
2009,EAV-070511-G, Pharmazeutika: Schlämme (betriebseig.Abwasserbeh.),8,0,,5,0,,5,,,,,,,,,,,,,
2009,EAV-070513-G, Pharmazeutika: Feste Abfälle mit gefährl. Stoffen,38,1,,3,1,,3,,,,,,,,,,,,,
2009,EAV-070601-G, Fette,,,,Seifen: Wässrige Waschfl.,,,Mutterlaugen,145,8,8,,,,,,,,,,
2009,EAV-070603-G, Fette,,,,Seifen: Halogenorg.Lösemittel,,,Waschfl.,28,8,4,,,,,,,,,,
2009,EAV-070604-G, Fette,,,,Seifen: organ. Lösemittel,,,Waschflüssigk.,83,6,2,,,,,,,,,,
2009,EAV-070607-G, Fette,,,,Seifen: Halog.Reaktions-,,,Destill.rückst.,-,,,,,,,,,,,,
2009,EAV-070608-G, Fette,,,,Seifen: Reaktions-,,,Destillationsrückstände,159,6,7,,,,,,,,,,
2009,EAV-070609-G, Fette,,,,Seifen: Halog.Filterkuchen,,,Aufsaugmat.,3,2,2,,,,,,,,,,
2009,EAV-070610-G, Fette,,,,Seifen: Filterkuchen,,,Aufsaugmaterialien,20,1,8,,,,,,,,,,
2009,EAV-070611-G, Fette,,,,Seifen: Schlämme (betriebseig.Abwasserbeh.),8,1,8,1,8,,,,,,,,,,,
2009,EAV-070701-G, Feinchemikalien: Wässrige Waschfl.,,,,Mutterlaugen,166,69,2,64,1,,,,,,,,,,,
2009,EAV-070703-G, Feinchemikalien: Halogenorg.Lösemittel,,,,Waschfl.,112,14,3,13,4,,,,,,,,,,,
2009,EAV-070704-G, Feinchemikalien: organ. Lösemittel,,,,Waschflüssigk.,189,44,5,41,4,,,,,,,,,,,
2009,EAV-070707-G, Feinchemikalien: Halog.Reaktions-,,,,Destill.rückst.,34,3,6,3,4,,,,,,,,,,,
2009,EAV-070708-G, Feinchemikalien: Reaktions-,,,,Destillationsrückst.,79,25,7,24,4,,,,,,,,,,,
2009,EAV-070709-G, Feinchemikalien: Halog.Filterkuchen,,,,Aufsaugmat.,20,0,3,0,2,,,,,,,,,,,
2009,EAV-070710-G, Feinchemikalien: Filterkuchen,,,,Aufsaugmaterialien,54,2,2,2,1,,,,,,,,,,,
2009,EAV-070711-G, Feinchemikalien:Schlämme(betriebseig.Abwasserbeh.),18,1,,7,1,,7,,,,,,,,,,,,,
2009,EAV-08,Abfälle aus HZVA v.Beschichtungen,,,,Klebstoffen u.a.,1688,166,1,141,7,,,,,,,,,,,
2009,EAV-080111-G, Farb- und Lackabfälle mit gefährlichen Stoffen,765,59,,3,47,,1,,,,,,,,,,,,,
2009,EAV-080113-G, Farb- und Lackschlämme mit gefährlichen Stoffen,490,32,,5,26,,9,,,,,,,,,,,,,
2009,EAV-080115-G, Farben,,,,Lacke: Wässrige Schlämme mit gefährl. St.,185,16,3,14,0,,,,,,,,,,,
2009,EAV-080117-G, Abfälle aus der Farb- oder Lackentfernung,203,19,,0,18,,1,,,,,,,,,,,,,
2009,EAV-080119-G, Wässrige Suspensionen,,,,Farben o. Lacke enthaltend,40,8,5,8,1,,,,,,,,,,,
2009,EAV-080121-G, Farb- oder Lackentfernerabfälle,16,0,,4,0,,4,,,,,,,,,,,,,
2009,EAV-080312-G, Druckfarbenabfälle mit gefährlichen Stoffen,147,6,,6,5,,6,,,,,,,,,,,,,
2009,EAV-080314-G, Druckfarbenschlämme mit gefährlichen Stoffen,63,4,,2,3,,9,,,,,,,,,,,,,
2009,EAV-080316-G, Abfälle von Ätzlösungen,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-080317-G, Tonerabfälle,,,,die gefährliche Stoffe enthalten,-,-,,,,,,,,,,,,,,
2009,EAV-080319-G, Dispersionsöl,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-080409-G, Klebstoff- und Dichtmassenabfälle mit gefährl. St.,336,17,,7,16,,3,,,,,,,,,,,,,
2009,EAV-080411-G, Klebstoff- und dichtmassenhaltige Schlämme,12,0,,5,0,,3,,,,,,,,,,,,,
2009,EAV-080413-G, Klebst.,,,,Dichtm.: Wässrige Schlämme m.gefährl.St.,16,0,4,0,4,,,,,,,,,,,
2009,EAV-080415-G, Klebst.,,,,Dichtm.:Wässrige flüssige Abf.m.gefährl.St,14,0,4,0,4,,,,,,,,,,,
2009,EAV-080417-G, Klebstoffe,,,,Dichtmassen: Harzöle,-,-,,,,,,,,,,,,,,
2009,EAV-080501-G, Isocyanatabfälle,39,0,,4,0,,3,,,,,,,,,,,,,
2009,EAV-09,Abfälle aus der fotografischen Industrie,237,39,,5,31,,4,,,,,,,,,,,,,
2009,EAV-090101-G, Entwickler und Aktivatorenlösungen auf Wasserbasis,159,12,,5,10,,2,,,,,,,,,,,,,
2009,EAV-090102-G, Offsetdruckplatten-Entwicklerlösungen,110,12,,5,10,,4,,,,,,,,,,,,,
2009,EAV-090103-G, Entwicklerlösungen auf Lösemittelbasis,13,0,,0,0,,0,,,,,,,,,,,,,
2009,EAV-090104-G, Fixierbäder,122,8,,9,7,,4,,,,,,,,,,,,,
2009,EAV-090105-G, Bleichlösungen und Bleich-Fixier-Bäder,40,3,,3,3,,2,,,,,,,,,,,,,
2009,EAV-090106-G, Silberhaltige Abfälle aus Beh. fotograf. Abfälle,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-090111-G, Einwegkameras mit Batterien (160601-160603),-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-090113-G, Abfälle aus Silberrückgewinnung (ohne 090106),-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-10,Abfälle aus thermischen Prozessen,675,710,,0,609,,9,,,,,,,,,,,,,
2009,EAV-100104-G, Filterstäube und Kesselstaub aus Ölfeuerung,27,2,,9,2,,8,,,,,,,,,,,,,
2009,EAV-100109-G, Schwefelsäure,5,0,,0,0,,0,,,,,,,,,,,,,
2009,EAV-100113-G, Filterstäube aus emulgierten Kohlenwasserstoffen,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100114-G, Rost- und Kesselasche,,,,Schlacken,,,Kesselstaub,30,8,2,,,,,,,,,,
2009,EAV-100116-G, Filterstäube aus der Abfallmitverbrennung,19,36,,0,36,,0,,,,,,,,,,,,,
2009,EAV-100118-G, Abfälle aus der Abgasbehandlung mit gefährl. St.,45,21,,1,21,,0,,,,,,,,,,,,,
2009,EAV-100120-G, Kraftwerke u.a.:Schlämme(betriebseig.Abwasserbeh.),3,1,,0,1,,0,,,,,,,,,,,,,
2009,EAV-100122-G, Kraftwerke u.a.:Wässrige Schlämme a. Kesselreinig.,4,0,,1,0,,1,,,,,,,,,,,,,
2009,EAV-100207-G, Eisen-,,,,Stahlind.: Feste Abfälle aus Abgasbehandl.,57,190,7,188,4,,,,,,,,,,,
2009,EAV-100211-G, Eisen-,,,,Stahlind.: Ölhalt. Abf. aus Kühlwasserbeh.,-,-,,,,,,,,,,,,,,
2009,EAV-100213-G, Eisen-,,,,Stahlind.: Schlämme,,,Filterk. aus Abgasbeh.,13,1,6,,,,,,,,,,
2009,EAV-100304-G, Aluminium-Metallurgie: Schlacken aus Erstschmelze,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100308-G, Aluminium-Metallurgie:Salzschlacken a.Zweitschmel.,21,218,,2,148,,7,,,,,,,,,,,,,
2009,EAV-100309-G, Aluminium-Metallurgie:Schwarze Krätzen a.Zweitsch.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100315-G, Aluminium-Metallurgie: Abschaum (entzündlich),73,30,,3,19,,9,,,,,,,,,,,,,
2009,EAV-100317-G, Aluminium-Metallurgie:Teerh. Abf. aus Anodenherst.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100319-G, Aluminium-Metallurgie: Filterstaub m.gefährl.St.,19,3,,5,3,,5,,,,,,,,,,,,,
2009,EAV-100321-G, Aluminium-Metallurgie: Andere Teilchen und Staub,7,4,,7,4,,7,,,,,,,,,,,,,
2009,EAV-100323-G, Aluminium-Metallurgie: Feste Abf. a. Abgasbehandl.,38,14,,3,8,,5,,,,,,,,,,,,,
2009,EAV-100325-G, Aluminium-Metallurgie:Schlämme,,,,Filterk.a.Abgasbeh.,5,0,2,0,2,,,,,,,,,,,
2009,EAV-100327-G, Aluminium-Metallurgie: Ölh.Abf. aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100329-G, Aluminium-Metallurgie: Abf.a. Beh. v.Salzschlacken,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100401-G, Bleimetallurgie: Schlacken (Erst-,,,,Zweitschmelze),5,23,5,23,5,,,,,,,,,,,
2009,EAV-100402-G, Bleimetall.: Krätzen,,,,Abschaum (Erst-,,,Zweitschm.),59,0,9,,,,,,,,,,
2009,EAV-100403-G, Bleimetallurgie: Calciumarsenat,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100404-G, Bleimetallurgie: Filterstaub,4,1,,7,1,,7,,,,,,,,,,,,,
2009,EAV-100405-G, Bleimetallurgie: Andere Teilchen und Staub,15,3,,8,1,,2,,,,,,,,,,,,,
2009,EAV-100406-G, Bleimetallurgie: Feste Abfälle aus Abgasbehandlung,4,0,,5,0,,5,,,,,,,,,,,,,
2009,EAV-100407-G, Bleimetallurgie: Schlämme,,,,Filterk. aus Abgasbeh.,-,-,,,,,,,,,,,,,,
2009,EAV-100409-G, Bleimetallurgie: Ölh. Abfälle aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100503-G, Zinkmetallurgie: Filterstaub,9,0,,3,0,,3,,,,,,,,,,,,,
2009,EAV-100505-G, Zinkmetallurgie: Feste Abfälle aus Abgasbehandlung,8,0,,6,0,,6,,,,,,,,,,,,,
2009,EAV-100506-G, Zinkmetallurgie: Schlämme,,,,Filterk. aus Abgasbeh.,-,-,,,,,,,,,,,,,,
2009,EAV-100508-G, Zinkmetallurgie: Ölh. Abfälle aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100510-G, Zinkmetallurgie: Krätzen,,,,Abschaum (entzündlich),-,-,,,,,,,,,,,,,,
2009,EAV-100603-G, Kupfermetallurgie: Filterstaub,6,1,,1,1,,1,,,,,,,,,,,,,
2009,EAV-100606-G, Kupfermetallurgie: Feste Abfälle a.Abgasbehandlung,3,3,,2,3,,2,,,,,,,,,,,,,
2009,EAV-100607-G, Kupfermetallurgie: Schlämme,,,,Filterk. a.Abgasbeh.,-,-,,,,,,,,,,,,,,
2009,EAV-100609-G, Kupfermetallurgie: Ölh.Abf. aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100707-G, Silbermet.u.a.: Ölhaltige Abfälle a.Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100808-G, Nichteisenmet.: Salzschlacken(Erst-,,,,Zweitschmelze),3,0,7,0,7,,,,,,,,,,,
2009,EAV-100810-G, Nichteisenmetallurgie:Krätzen,,,,Abschaum (entzündl.),7,0,3,0,3,,,,,,,,,,,
2009,EAV-100812-G, Nichteisenmet.: Teerh. Abfälle aus Anodenherst.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100815-G, Nichteisenmetallurgie: Filterstaub m.gefährl.St.,29,3,,5,3,,5,,,,,,,,,,,,,
2009,EAV-100817-G, Nichteisenmetallurgie:Schlämme,,,,Filterk.a.Abgasbeh.,3,0,1,0,1,,,,,,,,,,,
2009,EAV-100819-G, Nichteisenmetallurgie: Ölh.Abf. aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-100905-G, Eisen,,,,Stahl: Gießformen und -sande vor dem Gießen,-,-,,,,,,,,,,,,,,
2009,EAV-100907-G, Eisen,,,,Stahl: Gießformen und -sande nach dem Gießen,7,0,2,0,2,,,,,,,,,,,
2009,EAV-100909-G, Eisen,,,,Stahl: Filterstaub mit gefährlichen Stoffen,34,4,7,2,8,,,,,,,,,,,
2009,EAV-100911-G, Eisen,,,,Stahl: Andere Teilchen mit gefährl. Stoffen,-,-,,,,,,,,,,,,,,
2009,EAV-100913-G, Eisen,,,,Stahl: Abf. v. Bindemitteln mit gefährl. St.,-,-,,,,,,,,,,,,,,
2009,EAV-100915-G, Eisen,,,,Stahl: Abf. aus rissanzeigenden Substanzen,-,-,,,,,,,,,,,,,,
2009,EAV-101005-G, Nichteisenmet.: Gießformen,,,,#NAME?,3,0,3,0,3,,,,,,,,,,,
2009,EAV-101007-G, Nichteisenmet.: Gießformen,,,,#NAME?,10,2,0,2,0,,,,,,,,,,,
2009,EAV-101009-G, Nichteisenmetalle: Filterstaub m.gefährl.Stoffen,13,2,,1,0,,5,,,,,,,,,,,,,
2009,EAV-101011-G, Nichteisenmet.: And. Teilchen mit gefährl. Stoffen,3,0,,0,.,,,,,,,,,,,,,,,
2009,EAV-101013-G, Nichteisenmet.:Abf.v. Bindemitteln mit gefährl.St.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-101015-G, Nichteisenmetalle: Abf. aus rissanzeigenden Subst.,-,-,-,,,,,,,,,,,,,,,,,
2009,EAV-101109-G, Gemengeabfall mit gefährl. Stoffen v. d. Schmelzen,16,1,,5,1,,5,,,,,,,,,,,,,
2009,EAV-101111-G, Glasabfall in kleinen Teilchen und Glasstaub,19,3,,9,3,,2,,,,,,,,,,,,,
2009,EAV-101113-G, Glaspolier- und Glasschleifschlämme,31,1,,0,0,,9,,,,,,,,,,,,,
2009,EAV-101115-G, Glasherstellung: Feste Abfälle aus Abgasbehandlung,34,3,,1,3,,0,,,,,,,,,,,,,
2009,EAV-101117-G, Glasherstellung: Schlämme,,,,Filterk. aus Abgasbeh.,-,-,,,,,,,,,,,,,,
2009,EAV-101119-G, Glasherst.:Feste Abf. a. betriebseig. Abwasserbeh.,9,0,,4,0,,3,,,,,,,,,,,,,
2009,EAV-101209-G, Keramikerzeugnisse: Feste Abfälle a. Abgasbehandl.,8,1,,0,1,,0,,,,,,,,,,,,,
2009,EAV-101211-G, Keramikerzeugn.: Glasurabfälle mit Schwermetallen,3,0,,5,0,,5,,,,,,,,,,,,,
2009,EAV-101309-G, Asbesthaltige Abfälle a. Herstell. v. Asbestzement,-,-,-,,,,,,,,,,,,,,,,,
