year,code,type of waste,waste producers,waste quantities,waste quantities generated by primary producers,code_new
2008, EAV-190306-G," Wastes marked as hazardous, solidified",17,358.6,167.6, EAV-190306-G
2008, EAV-190402-G, Fly ash and other flue-gas treatment wastes,3,0,0, EAV-190402-G
2008, EAV-190403-G,Non-vitrified solid phase,0,0,0, EAV-190403-G
2008, EAV-190702-G, Landfill leachate containing hazardous substances,109,425.2,313.2, EAV-190702-G
2008, EAV-190806-G, Saturated or spent ion exchange resins,61,0.6,0.6, EAV-190806-G
2008, EAV-190807-G," Solutions, sludges fr. regenerate. of ion exchangers",0,0,0, EAV-190807-G
2008, EAV-190808-G, Membrane system waste containing heavy metals,9,15,15, EAV-190808-G
2008, EAV-190810-G," Grease,oil mixture from oil/water sep.(ex.190809)",34,3.6,2.1, EAV-190810-G
2008, EAV-190811-G, Sludges from bio. treat. of industrial waste water,28,84.6,79.5, EAV-190811-G
2008, EAV-190813-G, Sludges from other treat.of industrial waste water,213,95.2,67.3, EAV-190813-G
2008, EAV-191003-G, Fluff-light fraction and dust,10,14.5,14.2, EAV-191003-G
2008, EAV-191005-G, Other fractions containing hazardous substances,8,10.6,5.7, EAV-191005-G
2008, EAV-191101-G, Oil regeneration: Spent filter clays,9,7,5.9, EAV-191101-G
2008, EAV-191102-G, Oil regeneration: Acid tars,0,0,0, EAV-191102-G
2008, EAV-191103-G, Oil regeneration: Aqueous liquid wastes,11,2.1,0.8, EAV-191103-G
2008, EAV-191104-G, Oil regen.: Wastes fr. cleaning of fuel with bases,0,0,0, EAV-191104-G
2008, EAV-191105-G,Oil regen.: Sludges from on-site effluent treat.,34,3.6,3.2, EAV-191105-G
2008, EAV-191107-G, Oil regeneration: Wastes from flue-gas cleaning,0,0,0, EAV-191107-G
2008, EAV-191206-G, Mech.treatm.of waste: Wood cont. hazardous subs.,313,1210.8,474.6, EAV-191206-G
2008, EAV-191211-G, Other wastes (including mixtures of materials),146,271.8,93.8, EAV-191211-G
2008, EAV-191301-G, Solid wastes from soil remediation,33,210.7,52.8, EAV-191301-G
2008, EAV-191303-G, Sludges from soil remediation,11,35.6,1, EAV-191303-G
2008, EAV-191305-G, Sludges from groundwater remediation,27,2.2,2.2, EAV-191305-G
2008, EAV-191307-G," Aqueous liquid wastes,concentrates fr.groundw.rem.",18,1.7,1.6, EAV-191307-G
2008, EAV-20," Municipal wastes (household wastes, similar wastes)",810,100.3,84.2, EAV-20
2008, EAV-200113-G, Solvents,259,6.4,5.8, EAV-200113-G
2008, EAV-200114-G, acids,232,1.2,0.9, EAV-200114-G
2008, EAV-200115-G, alkalines,223,1.2,1.1, EAV-200115-G
2008, EAV-200117-G, Photochemicals,156,0.6,0.5, EAV-200117-G
2008, EAV-200119-G, Pesticides,244,1.5,1.2, EAV-200119-G
2008, EAV-200121-G, Fluorescent tubes and other mercury-cont. wasted,249,5.9,5.8, EAV-200121-G
2008, EAV-200123-G, Discarded equipment containing chlorofluorocarbons,102,8.8,4.9, EAV-200123-G
2008, EAV-200126-G, Oil and fat (except 200125),62,0.6,0.6, EAV-200126-G
2008, EAV-200127-G,"Paint, inks, adhesives and resins",330,19.8,18.1, EAV-200127-G
2008, EAV-200129-G, Detergents containing hazardous substances,76,0.4,0.4, EAV-200129-G
2008, EAV-200131-G, Cytotoxic and cytostatic medicines,5,0,0, EAV-200131-G
2008, EAV-200133-G, Batteries and accumulators (160601-160603),64,0.7,0.7, EAV-200133-G
2008, EAV-200135-G," Discarded electrical equipment (ex. 200121,23)",234,32.6,24.8, EAV-200135-G
2008, EAV-200137-G, Wood containing hazardous substances,71,20.7,19.4, EAV-200137-G
2009, EAV-01," Wastes resulting from exploration, mining of minerals",21,141.2,138.9, EAV-01
2009, EAV-010304-G, Acid-generating tailings from proc.of sulphide ore,0,0,0, EAV-010304-G
2009, EAV-010305-G, Other tailings containing hazardous substances,0,0,0, EAV-010305-G
2009, EAV-010307-G," Wastes from phys.,chem. proc. of metal. minerals",0,0,0, EAV-010307-G
2009, EAV-010407-G," Wastes from phys.,chem. proc. of non-met. minerals",0,0,0, EAV-010407-G
2009, EAV-010505-G, Oil-containing drilling muds and wastes,19,140.7,138.5, EAV-010505-G
2009, EAV-010506-G," Drilling muds, wastes cont. hazardous substances",0,0,0, EAV-010506-G
2009, EAV-02," Wastes from agriculture, horticulture, forestry etc.",73,1.5,1.2, EAV-02
2009, EAV-020108-G, Agrochemical waste containing hazardous substances,73,1.5,1.2, EAV-020108-G
2009, EAV-03,Wastes from wood processing etc.,25,0.3,0.3, EAV-03
2009, EAV-030104-G," Sawdust, shavings, cuttings, wood, particle board",6,0.2,0.2, EAV-030104-G
2009, EAV-030201-G, Non-halogenated organic wood preservatives,4,0,0, EAV-030201-G
2009, EAV-030202-G, Organochlorinated wood preservatives,8,0,0, EAV-030202-G
2009, EAV-030203-G, Organometallic wood preservatives,0,0,0, EAV-030203-G
2009, EAV-030204-G, Inorganic wood preservatives,4,0,0, EAV-030204-G
2009, EAV-030205-G, Other wood preservatives cont. hazardous subst.,4,0,0, EAV-030205-G
2009, EAV-04," Wastes from the leather, fur, textile industries",16,0.2,0.2, EAV-04
2009, EAV-040103-G, Degreasing wastes cont. solve. without liquid phase,0,0,0, EAV-040103-G
2009, EAV-040214-G, Wastes from finishing containing organic solvents,7,0.1,0.1, EAV-040214-G
2009, EAV-040216-G, Dyestuffs and pigments cont. hazardous substances,3,0,0, EAV-040216-G
2009, EAV-040219-G, Textile ind.: Sludges from on-site effl. treatm.,6,0.1,0.1, EAV-040219-G
2009, EAV-05," Wastes from petrol. refining, natural gas purification.",182,58.5,55.3, EAV-05
2009, EAV-050102-G, Petroleum refining: Desalter sludges,0,0,0, EAV-050102-G
2009, EAV-050103-G, Petroleum refining: Tank bottom sludges,57,20.3,19, EAV-050103-G
2009,EAV-050104-G, Petroleum refining: Acid alkyl sludges,0,0,0, EAV-050104-G
2009, EAV-050105-G, Petroleum refining: Oil spills,0,0,0, EAV-050105-G
2009, EAV-050106-G, Petroleum ref.: Oily sludges from maint. operat.,67,12.6,12.4, EAV-050106-G
2009, EAV-050107-G, Petroleum refining: Acid tars,0,0,0, EAV-050107-G
2009, EAV-050108-G, Petroleum refining: Other tars,9,0.8,0.8, EAV-050108-G
2009, EAV-050109-G, Petroleum ref.: Sludges from on-site effl. treatm.,14,13.3,12.9, EAV-050109-G
2009, EAV-050111-G, Petrol.ref.:Wastes from clean. of fuels with bases,0,0,0, EAV-050111-G
2009, EAV-050112-G, Petroleum refining: Oil containing acids,0,0,0, EAV-050112-G
2009, EAV-050115-G, Petroleum refining: Spent filter clays,17,2.1,1, EAV-050115-G
2009, EAV-050601-G, Pyrolytic treatment of coal: Acid tars,0,0,0, EAV-050601-G
2009, EAV-050603-G, Pyrolytic treatment of coal: Other tars,60,8.9,8.8, EAV-050603-G
2009, EAV-050701-G, Natural gas purif.: Wastes containing mercury,5,0.1,0.1, EAV-050701-G
2009, EAV-06, Wastes from inorganic chemical processes,1117,431.9,348.8, EAV-06
2009, EAV-060101-G, Sulfuric acid and sulphurous acid,198,107.6,105.7, EAV-060101-G
2009, EAV-060102-G, hydrochloric acid,53,6.1,5.8, EAV-060102-G
2009, EAV-060103-G, hydrofluoric acid,16,0.2,0.1, EAV-060103-G
2009,EAV-060104-G, Phosphoric and phosphorous acid,44,0.9,0.9, EAV-060104-G
2009, EAV-060105-G, Nitric acid and nitrous acid,47,1.5,1.4, EAV-060105-G
2009, EAV-060106-G, Other acids,228,20.9,18, EAV-060106-G
2009, EAV-060201-G, calcium hydroxide,11,0.6,0.6, EAV-060201-G
2009, EAV-060203-G, Ammonium hydroxide,78,2.1,1, EAV-060203-G
2009, EAV-060204-G, Sodium and potassium hydroxide,60,45.3,27, EAV-060204-G
2009, EAV-060205-G, Other bases,223,22.2,20.4, EAV-060205-G
2009, EAV-060311-G, Solid salts and solutions containing cyanides,34,0.4,0.3, EAV-060311-G
2009, EAV-060313-G, Solid salts and solutions containing heavy metals,136,7.9,6, EAV-060313-G
2009, EAV-060315-G, Metallicoxides containing heavy metals,20,3.9,3.9, EAV-060315-G
2009, EAV-060403-G, Wastes containing arsenic,21,0.7,0.6, EAV-060403-G
2009, EAV-060404-G, Wastes containing mercury,152,5.4,5.3, EAV-060404-G
2009, EAV-060405-G, Wastes containing other heavy metals,119,85.1,41.8, EAV-060405-G
2009, EAV-060502-G, Sludges from on-site effluent treatment,92,106.4,95.7, EAV-060502-G
2009, EAV-060602-G, Wastes containing hazardous sulphides,6,0.2,0.2, EAV-060602-G
2009, EAV-060701-G, Wastes containing asbestos from electrolysis,0,0,0, EAV-060701-G
2009, EAV-060702-G, Activated carbon from chlorine production,3,0,0, EAV-060702-G
2009, EAV-060703-G,Barium sulphate sludge containing mercury,0,0,0, EAV-060703-G
2009, EAV-060704-G," Solutions and acids, for example contact acid",0,0,0, EAV-060704-G
2009, EAV-060802-G, Waste containing hazardous chlorocyanes,6,0.1,0.1, EAV-060802-G
2009, EAV-060903-G, Calcium-based reaction wastes,0,0,0, EAV-060903-G
2009, EAV-061002-G, Nitrogen chemicals: Wastes cont. hazardous subst.,5,0.1,0.1, EAV-061002-G
2009, EAV-061301-G, Inorganic plant protection products etc.,46,0.3,0.1, EAV-061301-G
2009, EAV-061302-G, Spent activated carbon (except 060702),66,2.2,2.1, EAV-061302-G
2009, EAV-061304-G, Wastes from asbestos processing,17,0.9,0.7, EAV-061304-G
2009, EAV-061305-G, Soot,0,0,0, EAV-061305-G
2009, EAV-07, Wastes from organic chemical processes,2102,893.5,843.7, EAV-07
2009, EAV-070101-G," Organic chem.: Aqueous washing liquids, mother liq.",160,35.7,26.8, EAV-070101-G
2009, EAV-070103-G, Organic chem.: Organic halogenated solvents etc.,109,13.6,10.8, EAV-070103-G
2009, EAV-070104-G, Organic chem.: Other organic solvents etc.,367,88.5,78.9, EAV-070104-G
2009, EAV-070107-G, Organic chem.: Halogenated still bottoms etc.,36,20.8,20.3, EAV-070107-G
2009, EAV-070108-G," Organic chem.: Other still bottoms,reaction residue.",140,51.7,51.3, EAV-070108-G
2009, EAV-070109-G,"Organic chem.: Halogenated filter cakes, spent abs.",11,0.3,0.3, EAV-070109-G
2009, EAV-070110-G," Organic chem.: Other filter cakes, spent absorbents",54,4.1,4, EAV-070110-G
2009, EAV-070111-G, Organic chem.: Sludges from on-site effl. treatment.,47,11.8,11.7, EAV-070111-G
2009, EAV-070201-G," Plastics: Aqueous washing liquids, mother liquors",76,26.1,23.9, EAV-070201-G
2009, EAV-070203-G, Plastics: Organic halogenated solvents etc.,40,2.3,2.3, EAV-070203-G
2009, EAV-070204-G," Plastics: Other organic solvents,washing liq. etc.",175,23.5,22.8, EAV-070204-G
2009, EAV-070207-G," Plastics: Halogenated still bottoms, react. residence.",52,3.2,3.1, EAV-070207-G
2009, EAV-070208-G," Plastics: Other still bottoms, reaction residues",464,61.1,56.6, EAV-070208-G
2009, EAV-070209-G," Plastics: Halogenated filter cakes, spent absorb.",6,0.1,0.1, EAV-070209-G
2009, EAV-070210-G, Plastics: Other filter cakes and spent absorbents,44,3.1,3, EAV-070210-G
2009, EAV-070211-G, Plastics: Sludges from on-site effluent treatment,14,1.2,1, EAV-070211-G
2009, EAV-070214-G, Plastics: Wastes from additives cont. haza. subst.,37,1.3,1.2, EAV-070214-G
2009, EAV-070216-G, Plastics: Waste containing hazardous silicones,3,0.3,0.3, EAV-070216-G
2009, EAV-070301-G,"Organic dyes: Aqueous washing liquids, mother liq.",31,3.8,3.3, EAV-070301-G
2009, EAV-070303-G, Organic dyes: Organic halogenated solvents etc.,26,0.9,0.8, EAV-070303-G
2009, EAV-070304-G, Organic dyes: Other organic solvents etc.,281,50.8,47.3, EAV-070304-G
2009, EAV-070307-G, Organic dyes: Halogenated still bottoms etc.,9,0.3,0.3, EAV-070307-G
2009, EAV-070308-G," Organic dyes: Other still bottoms, reaction residue.",27,1.6,1.3, EAV-070308-G
2009, EAV-070309-G," Organic dyes: Halogenated filter cakes, spent abs.",4,0.2,0.2, EAV-070309-G
2009, EAV-070310-G," Organic dyes: Other filter cakes, spent absorbents",15,2.4,2.4, EAV-070310-G
2009, EAV-070311-G, Organic dyes: Sludges from on-site effl. treatment.,6,0.2,0.2, EAV-070311-G
2009, EAV-070401-G, Org.plant prot.: Aqueous washing liquids etc.,17,19.4,19.4, EAV-070401-G
2009, EAV-070403-G, Org.plant prot.: Organic halogenated solvents etc.,12,46.5,46.5, EAV-070403-G
2009, EAV-070404-G, Org.plant prot.: Other organic solvents etc.,14,27.8,27.8, EAV-070404-G
2009, EAV-070407-G, Org.plant prot.: Halogenated still bottoms etc.,9,24.3,24.2, EAV-070407-G
2009, EAV-070408-G," Org.plant prot.: Other still bottoms, react.resid.",9,3.1,3.1, EAV-070408-G
2009, EAV-070409-G,Org.plant prot.: Halogenated filter cakes etc.,5,0.2,0.2, EAV-070409-G
2009, EAV-070410-G," Org.plant prot.: Other filter cakes, absorb spent.",10,0.6,0.5, EAV-070410-G
2009, EAV-070411-G, Org.plant prot.: Sludges from on-site effl.treatm.,0,0,0, EAV-070411-G
2009, EAV-070413-G, Org.plant prot.: Solid wastes cont. haza. subst.,8,0.2,0.2, EAV-070413-G
2009, EAV-070501-G, Pharmaceuticals: Aqueous washing liquids etc.,57,43.6,43.4, EAV-070501-G
2009, EAV-070503-G, Pharmaceuticals: Organic halogenated solvents etc.,60,12.1,12, EAV-070503-G
2009, EAV-070504-G, Pharmaceuticals: Other organic solvents etc.,99,60.3,59.8, EAV-070504-G
2009, EAV-070507-G, Pharmaceuticals: Halogenated still bottoms etc.,15,2.3,2.3, EAV-070507-G
2009, EAV-070508-G," Pharmaceuticals: Other still bottoms, react.resid.",55,3.1,2.9, EAV-070508-G
2009, EAV-070509-G, Pharmaceuticals: Halogenated filter cakes etc.,8,0,0, EAV-070509-G
2009, EAV-070510-G," Pharmaceuticals: Other filter cakes, spent absorb.",29,2.6,2.6, EAV-070510-G
2009, EAV-070511-G, Pharmaceuticals: Sludges from on-site effl.treatm.,8,0.5,0.5, EAV-070511-G
2009, EAV-070513-G, Pharmaceuticals: Solid wastes cont.haza.substances,38,1.3,1.3, EAV-070513-G
2009, EAV-070601-G,"Fats,soaps: Aqueous washing liquids,mother liquors",145,31.8,30.8, EAV-070601-G
2009, EAV-070603-G," Fats, soaps: Organic halogenated solvents etc.",28,0.8,0.4, EAV-070603-G
2009, EAV-070604-G," Fats, soaps: Other organic solvents etc.",83,5.6,5.2, EAV-070604-G
2009, EAV-070607-G," Fats,soaps: Halogenated still bottoms,react.resid.",0,0,0, EAV-070607-G
2009, EAV-070608-G," Fats,soaps: Other still bottoms, reaction residues",159,31.6,30.7, EAV-070608-G
2009, EAV-070609-G," Fats,soaps: Halogenated filter cakes,spent absorb.",3,0.2,0.2, EAV-070609-G
2009, EAV-070610-G," Fats, soaps: Other filter cakes, spent absorbents",20,3.1,2.8, EAV-070610-G
2009, EAV-070611-G," Fats, soaps: Sludges from on-site effluent treatment.",8,1.8,1.8, EAV-070611-G
2009, EAV-070701-G," Fine chem.: Aqueous washing liquids, mother liquors",166,69.2,64.1, EAV-070701-G
2009, EAV-070703-G, Fine chem.: Organic halogenated solvents etc.,112,14.3,13.4, EAV-070703-G
2009, EAV-070704-G, Fine chem.: Other organic solvents etc.,189,44.5,41.4, EAV-070704-G
2009, EAV-070707-G," Fine chem.: Halogenated still bottoms,react.resid.",34,3.6,3.4, EAV-070707-G
2009, EAV-070708-G," Fine chem.: Other still bottoms, reaction residues",79,25.7,24.4, EAV-070708-G
2009, EAV-070709-G,"Fine chem.: Halogenated filter cakes, spent absorb.",20,0.3,0.2, EAV-070709-G
2009, EAV-070710-G," Fine chem.: Other filter cakes, spent absorbents",54,2.2,2.1, EAV-070710-G
2009, EAV-070711-G, Fine chem.: Sludges from on-site effluent treatm.,18,1.7,1.7, EAV-070711-G
2009, EAV-08," Wastes from the MFSU of coatings, adhesives etc.",1688,166.1,141.7, EAV-08
2009, EAV-080111-G," Waste paint, varnish containing organic solvents",765,59.3,47.1, EAV-080111-G
2009, EAV-080113-G, Sludges from paint and varnish cont. org. solvents,490,32.5,26.9, EAV-080113-G
2009, EAV-080115-G," Paint,varnish: Aqueous sludges cont. paint etc.",185,16.3,14, EAV-080115-G
2009, EAV-080117-G, Wastes from paint or varnish removal cont.org.sol.,203,19,18.1, EAV-080117-G
2009, EAV-080119-G, Aqueous suspensions cont. paint or varnish,40,8.5,8.1, EAV-080119-G
2009, EAV-080121-G, Waste paint or varnish remover,16,0.4,0.4, EAV-080121-G
2009, EAV-080312-G, Waste ink containing hazardous substances,147,6.6,5.6, EAV-080312-G
2009, EAV-080314-G, Ink sludges containing hazardous substances,63,4.2,3.9, EAV-080314-G
2009, EAV-080316-G, Waste etching solutions,0,0,0, EAV-080316-G
2009, EAV-080317-G, Waste printing toner cont. hazardous substances,0,0,0, EAV-080317-G
2009, EAV-080319-G, Disperse oil,0,0,0, EAV-080319-G
2009,EAV-080409-G, Waste adhesives and sealants cont.organic solvents,336,17.7,16.3, EAV-080409-G
2009, EAV-080411-G, Adhesive and sealant sludges cont.organic solvents,12,0.5,0.3, EAV-080411-G
2009, EAV-080413-G," Adhesives,sealants: Aqueous sludges cont.adhesives",16,0.4,0.4, EAV-080413-G
2009, EAV-080415-G," Adhesives,sealants: Aqueous liquid waste cont.adh.",14,0.4,0.4, EAV-080415-G
2009, EAV-080417-G," Adhesives, sealants: Rosin oil",0,0,0, EAV-080417-G
2009, EAV-080501-G, Waste isocyanates,39,0.4,0.3, EAV-080501-G
2009, EAV-09, Wastes from the photographic industry,237,39.5,31.4, EAV-09
2009, EAV-090101-G, Water-based developer and activator solutions,159,12.5,10.2, EAV-090101-G
2009, EAV-090102-G, Water-based offset plate developer solutions,110,12.5,10.4, EAV-090102-G
2009, EAV-090103-G, Solvent-based developer solutions,13,0,0, EAV-090103-G
2009, EAV-090104-G, fixer solutions,122,8.9,7.4, EAV-090104-G
2009, EAV-090105-G, Bleach solutions and bleach fixer solutions,40,3.3,3.2, EAV-090105-G
2009, EAV-090106-G, Wastes cont. silver from on-site treatment. of photo.,0,0,0, EAV-090106-G
2009, EAV-090111-G, Single-use cameras cont. batteries (160601-160603),0,0,0, EAV-090111-G
2009, EAV-090113-G, Aq.liq.waste fr. on-site recl.of silver(ex.090106),0,0,0, EAV-090113-G
2009,EAV-10, Wastes from thermal processes,675,710,609.9, EAV-10
2009, EAV-100104-G, Oil fly ash and boiler dust,27,2.9,2.8, EAV-100104-G
2009, EAV-100109-G, Sulfuric acid,5,0,0, EAV-100109-G
2009, EAV-100113-G, Fly ash from emulsified hydrocarbons used as fuel,0,0,0, EAV-100113-G
2009, EAV-100114-G," Bottom ash,slag,boiler dust from co-incineration",30,59.8,58.2, EAV-100114-G
2009, EAV-100116-G, Fly ash from co-incineration,19,36,36, EAV-100116-G
2009, EAV-100118-G, Wastes from gas cleaning cont. hazardous subst.,45,21.1,21, EAV-100118-G
2009, EAV-100120-G, Power stations: Sludges from on-site effl. treatment.,3,1,1, EAV-100120-G
2009, EAV-100122-G, Power stations: Aqueous sludges from boiler clean.,4,0.1,0.1, EAV-100122-G
2009, EAV-100207-G," Iron, steel: Solid wastes from gas treatment",57,190.7,188.4, EAV-100207-G
2009, EAV-100211-G," Iron,steel: Wastes fr.cooling-water treat.cont.oil",0,0,0, EAV-100211-G
2009, EAV-100213-G," Iron, steel: Sludges, filter cakes from gas treatm.",13,54.1,50.6, EAV-100213-G
2009, EAV-100304-G, Aluminium: Primary production slags,0,0,0, EAV-100304-G
2009, EAV-100308-G, Aluminium: Salt slags from secondary production,21,218.2,148.7, EAV-100308-G
2009, EAV-100309-G, Aluminium: Black dross from secondary production,0,0,0, EAV-100309-G
2009, EAV-100315-G, Aluminium: Skimmings that are flammable etc.,73,30.3,19.9, EAV-100315-G
2009, EAV-100317-G, Aluminium: Tar-containing wastes from anode manuf.,0,0,0, EAV-100317-G
2009, EAV-100319-G, Aluminum: Flue-gas dust cont. hazardous subst.,19,3.5,3.5, EAV-100319-G
2009, EAV-100321-G, Aluminum: Other particulates and dust,7,4.7,4.7, EAV-100321-G
2009, EAV-100323-G, Aluminum: Solid wastes from gas treatment,38,14.3,8.5, EAV-100323-G
2009, EAV-100325-G," Aluminium: Sludges, filter cakes from gas treatment.",5,0.2,0.2, EAV-100325-G
2009, EAV-100327-G, Aluminium: Wastes fr.cooling-water treatm.cont.oil,0,0,0, EAV-100327-G
2009, EAV-100329-G, Aluminium: Wastes from treatment. of salt slags etc.,0,0,0, EAV-100329-G
2009, EAV-100401-G, Lead: Slags from primary and secondary production,5,23.5,23.5, EAV-100401-G
2009, EAV-100402-G," Lead: Dross, skimmings from primary, second. prod.",59,6,5.9, EAV-100402-G
2009, EAV-100403-G, Lead: Calcium arsenate,0,0,0, EAV-100403-G
2009, EAV-100404-G, Lead: Flue-gas dust,4,1.7,1.7, EAV-100404-G
2009, EAV-100405-G, Lead: Other particulates and dust,15,3.8,1.2, EAV-100405-G
2009, EAV-100406-G, Lead: Solid wastes from gas treatment,4,0.5,0.5, EAV-100406-G
2009, EAV-100407-G,Lead: Sludges and filter cakes from gas treatment,0,0,0, EAV-100407-G
2009, EAV-100409-G, Lead: Wastes from cooling-water treatment. cont. oil,0,0,0, EAV-100409-G
2009, EAV-100503-G, Zinc: Flue-gas dust,9,0.3,0.3, EAV-100503-G
2009, EAV-100505-G, Zinc: Solid waste from gas treatment,8,0.6,0.6, EAV-100505-G
2009, EAV-100506-G, Zinc: Sludges and filter cakes from gas treatment,0,0,0, EAV-100506-G
2009, EAV-100508-G, Zinc: Wastes from cooling-water treatment. cont. oil,0,0,0, EAV-100508-G
2009, EAV-100510-G, Zinc: Dross and skimmings that are flammable etc.,0,0,0, EAV-100510-G
2009, EAV-100603-G, Copper: Flue-gas dust,6,1.1,1.1, EAV-100603-G
2009, EAV-100606-G, Copper: Solid wastes from gas treatment,3,3.2,3.2, EAV-100606-G
2009, EAV-100607-G, Copper: Sludges and filter cakes from gas treatment.,0,0,0, EAV-100607-G
2009, EAV-100609-G, Copper: Wastes from cooling-water treatment. cont.oil,0,0,0, EAV-100609-G
2009, EAV-100707-G, Silver etc: Wastes fr. cool.-water treatm.cont.oil,0,0,0, EAV-100707-G
2009, EAV-100808-G," Non-ferrous: Salt slag from primary, secondary. prod.",3,0.7,0.7, EAV-100808-G
2009, EAV-100810-G," Non-ferrous: Dross, skimmings that are flammable",7,0.3,0.3, EAV-100810-G
2009, EAV-100812-G,Non-ferrous: Tar-cont. wastes from anode manuf.,0,0,0, EAV-100812-G
2009, EAV-100815-G, Non-ferrous: Flue-gas dust cont. hazardous subst.,29,3.5,3.5, EAV-100815-G
2009, EAV-100817-G," Non-ferrous: Sludges, filter cakes fr.flue-gas tr.",3,0.1,0.1, EAV-100817-G
2009, EAV-100819-G, Non-ferrous: Wastes from cooling-water tr.cont.oil,0,0,0, EAV-100819-G
2009, EAV-100905-G," Ferrous: Casting cores,moulds, not undergone pouring.",0,0,0, EAV-100905-G
2009, EAV-100907-G," Ferrous: Casting cores, molds, underwent pouring",7,0.2,0.2, EAV-100907-G
2009, EAV-100909-G, Ferrous: Flue-gas dust cont. hazardous substances,34,4.7,2.8, EAV-100909-G
2009, EAV-100911-G, Ferrous: Other particulates cont. hazardous subst.,0,0,0, EAV-100911-G
2009, EAV-100913-G, Ferrous: Waste binders cont. hazardous substances,0,0,0, EAV-100913-G
2009, EAV-100915-G, Ferrous: Waste crack-indicating agent,0,0,0, EAV-100915-G
2009, EAV-101005-G," Non-ferrous: Casting cores,moulds,not underg.pour.",3,0.3,0.3, EAV-101005-G
2009, EAV-101007-G," Non-ferrous: Casting cores, molds, underwent pour.",10,2,2, EAV-101007-G
2009, EAV-101009-G, Non-ferrous: Flue-gas dust cont. hazardous subst.,13,2.1,0.5, EAV-101009-G
2009, EAV-101011-G, Non-ferrous: Other particulates cont. haza. subst.,3,0,0, EAV-101011-G
2009, EAV-101013-G,Non-ferrous: Waste binders cont. hazardous subst.,0,0,0, EAV-101013-G
2009, EAV-101015-G, Non-ferrous: Waste crack-indicating agent,0,0,0, EAV-101015-G
2009, EAV-101109-G, Waste preparation mixture before thermal process.,16,1.5,1.5, EAV-101109-G
2009, EAV-101111-G, Waste glass in small particles cont. heavy metals,19,3.9,3.2, EAV-101111-G
2009, EAV-101113-G," Glass-polishing, -grinding sludge",31,1,0.9, EAV-101113-G
2009, EAV-101115-G, Manuf. of glass: Solid wastes from flue-gas treat.,34,3.1,3, EAV-101115-G
2009, EAV-101117-G," Manuf. of glass: Sludges, filter cakes fr. flue-gas",0,0,0, EAV-101117-G
2009, EAV-101119-G, Manuf. of glass: Sol.wastes fr.on-site effl.treat.,9,0.4,0.3, EAV-101119-G
2009, EAV-101209-G, Ceramic goods: Solid wastes from gas treatment,8,1,1, EAV-101209-G
2009, EAV-101211-G, Ceramic goods: Wastes from glazing cont.heavy metal.,3,0.5,0.5, EAV-101211-G
2009, EAV-101309-G, Wastes from asbestos-cement manuf. cont. asbestos,0,0,0, EAV-101309-G
2009, EAV-101312-G, Cement etc: Solid wastes from gas treatment,3,0.9,0.9, EAV-101312-G
2009, EAV-101401-G, Crematoria: Waste from gas cleaning cont. mercury,88,0.5,0.4, EAV-101401-G
2009, EAV-11, Wastes from chemical surface treatment etc.,2496,486.4,457.5, EAV-11
2009,EAV-110105-G, Surface treatment: Pickling acids,551,78,72, EAV-110105-G
2009, EAV-110106-G, Surface treatment: Acids nos.,156,7.2,6.6, EAV-110106-G
2009, EAV-110107-G, Surface treatment: Pickling bases,426,54.3,49, EAV-110107-G
2009, EAV-110108-G, Surface treatment: Phosphating sludges,251,8.2,7.6, EAV-110108-G
2009, EAV-110109-G," Surface treatment: Sludges, filter cakes",1172,91.3,82.4, EAV-110109-G
2009, EAV-110111-G, Surface treatment: Aqueous rinsing liquids,712,53.3,47.5, EAV-110111-G
2009, EAV-110113-G, Surface treatment: Degreasing wastes,143,6.8,6.6, EAV-110113-G
2009, EAV-110115-G," Surface treatment: Eluate,sludges fr.membrane sys.",6,0.5,0.5, EAV-110115-G
2009, EAV-110116-G," Surface treatment: Saturated,spent ion exch.resins",15,0,0, EAV-110116-G
2009, EAV-110198-G, Surface treatment: Other wastes cont. haza. subst.,224,12.5,11.2, EAV-110198-G
2009, EAV-110202-G, Sludges from zinchydrometallurgy,10,171.7,171.7, EAV-110202-G
2009, EAV-110205-G, Wastes from copper hydrometallurgical processes,0,0,0, EAV-110205-G
2009, EAV-110207-G, Non-ferrous hydromet. processes: Other wastes,0,0,0, EAV-110207-G
2009, EAV-110301-G," Sludges,solids fr.temp.proc.: Wastes cont. cyanide",34,0.8,0.7, EAV-110301-G
2009, EAV-110302-G,"Sludges, solids from tempering proc.: Other wastes",57,1.4,1.2, EAV-110302-G
2009, EAV-110503-G, Hot galvan. proc.: Solid wastes from gas treatment,13,0.2,0.1, EAV-110503-G
2009, EAV-110504-G, Hot galvanizing processes: Spent flux,0,0,0, EAV-110504-G
2009, EAV-12, Wastes from surface treatment of metals a.plastics,3967,805.1,613, EAV-12
2009, EAV-120106-G, Mineral-based machining oils containing halogens,0,0,0, EAV-120106-G
2009, EAV-120107-G, Mineral-based machining oils free of halogens,140,63.1,21.3, EAV-120107-G
2009, EAV-120108-G," Machining emulsions, solutions containing halogens",21,1.1,1, EAV-120108-G
2009, EAV-120109-G," Machining emulsions, solutions free of halogens",3017,591.2,471.8, EAV-120109-G
2009, EAV-120110-G, Synthetic machining oils,40,0.9,0.9, EAV-120110-G
2009, EAV-120112-G, Spent waxes and fats,236,7.2,6.2, EAV-120112-G
2009, EAV-120114-G, Machining sludges containing hazardous substances,279,13,12, EAV-120114-G
