GENESIS-Tabelle: 32141-0002
Bauschuttaufbereitungsanlagen: Deutschland, Jahre,;;;;;;
Abfallarten;;;;;;
Aufbereitung,Verwertung v. Bau- u. Abbruchabfällen;;;;;;
Deutschland;;;;;;
;;;Bauschuttaufbereitungsanlagen;Input von Bauschuttaufbereitungsanlagen;Bauschuttaufbereitungsanlagen mit Output;Output von Bauschuttaufbereitungsanlagen
2010;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);1077;14049,6;13;62,7
2010;EAV-170201-U;  Holz;46;62,9;11;5,0
2010;EAV-170202-U;  Glas;6;0,2;3;0,1
2010;EAV-170203-U;  Kunststoff;4;0,2;-;-
2010;EAV-170204-G;  Glas, Kunststoff und Holz mit gefährlichen Stoffen;13;9,8;6;0,1
2010;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;141;1054,8;107;691,5
2010;EAV-170302-U;  Bitumengemische (ohne 170301);1093;9229,7;16;34,0
2010;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;23;2,4;13;1,2
2010;EAV-170402-U;  Aluminium;-;-;-;-
2010;EAV-170403-U;  Blei;-;-;-;-
2010;EAV-170405-U;  Eisen und Stahl;12;5,2;9;3,5
2010;EAV-170407-U;  Gemischte Metalle;5;1,7;5;1,4
2010;EAV-170411-U;  Kabel (ohne 170410);-;-;-;-
2010;EAV-170503-G;  Boden und Steine, die gefährliche Stoffe enthalten;5;13,2;-;-
2010;EAV-170504-U;  Boden und Steine (ohne 170503);792;8241,4;32;557,2
2010;EAV-170506-U;  Baggergut (ohne 170505);8;85,2;-;-
2010;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;7;89,7;-;-
2010;EAV-170508-U;  Gleisschotter (ohne 170507);67;1424,5;3;27,0
2010;EAV-170601-G;  Dämmmaterial, das Asbest enthält;-;-;-;-
2010;EAV-170603-G;  Anderes Dämmmaterial;12;0,1;10;0,2
2010;EAV-170604-U;  Dämmmaterial (ohne 170601 und 170603);5;0,3;-;-
2010;EAV-170605-G;  Asbesthaltige Baustoffe;21;1,8;14;1,0
2010;EAV-170802-U;  Baustoffe auf Gipsbasis (ohne 170801);70;45,7;10;0,7
2010;EAV-170903-G;  Sonstige Bau- und Abbruchabfälle;-;-;-;-
2010;EAV-170904-U;  Gemischte Bau- und Abbruchabf. (oh.170901-170903);67;233,9;26;18,8
2010;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;27;140,8;2061;58827,5
2010;EAV-190111-G;  Verbrenn.,Pyrolyse: Rost-,Kesselaschen,Schlacken;-;-;-;-
2010;EAV-190112-U;  Rost- und Kesselaschen sowie Schlacken (oh.190111);-;-;-;-
2010;EAV-190113-G;  Verbrenn.,Pyrolyse: Filterstaub mit gefährl. St.;-;-;-;-
2010;EAV-190114-U;  Filterstaub (ohne 190113);-;-;-;-
2010;EAV-190118-U;  Pyrolyseabfälle (ohne 190117);-;-;-;-
2010;EAV-19029950-U;  Durch Abfallbehandlung entstandene Produkte;-;-;12;918,1
2010;EAV-190503-U;  Nicht spezifikationsgerechter Kompost;-;-;-;-
2010;EAV-190801-U;  Sieb- und Rechenrückstände;-;-;-;-
2010;EAV-190802-U;  Sandfangrückstände;4;1,7;-;-
2010;EAV-190903-U;  Schlämme aus der Dekarbonatisierung;-;-;-;-
2010;EAV-19120100-U;  Mech.Abfallbehandlung: Papier, Pappe nicht diff.;-;-;138;36,1
2010;EAV-191202-U;  Mech.Abfallbehandlung: Eisenmetalle;-;-;793;198,4
2010;EAV-191203-U;  Mech.Abfallbehandlung: Nichteisenmetalle;-;-;138;5,6
2010;EAV-191204-U;  Mech.Abfallbehandlung: Kunststoff und Gummi;-;-;156;8,5
2010;EAV-19120500-U;  Mech.Abfallbehandlung: Glas nicht differenzierbar;-;-;-;-
2010;EAV-19120505-U;  Mech.Abfallbehandlung: Mischglas;-;-;-;-
2010;EAV-191206-G;  Mech.Abfallbehandlung: Holz mit gefährl. Stoffen;-;-;15;37,7
2010;EAV-191207-U;  Holz (ohne 191206);-;-;354;101,6
2010;EAV-191208-U;  Mech.Abfallbehandlung: Textilien;-;-;-;-
2010;EAV-19120900-U;  Mech.Abfallbehandlung: Mineralien (Sand, Steine);15;57,4;40;106,3
2010;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-;1655;35142,0
2010;EAV-19120902-U;  Erzeugnisse für Verwendung im sonstigen Erdbau;-;-;1145;14553,4
2010;EAV-19120903-U;  Erzeugnisse f.d. Verwendung in Betonmischanlagen;-;-;85;480,0
2010;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;-;-;275;4714,6
2010;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-;257;2238,4
2010;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-;-;-
2010;EAV-191210-U;  Brennbare Abfälle (Brennstoffe aus Abfällen);-;-;3;36,2
2010;EAV-191211-G;  Sonstige Abfälle (einschl. Materialmischungen);-;-;4;10,9
2010;EAV-191212-U;  Sonstige Abfälle (ohne 191211);7;8,3;362;236,7
2010;EAV-191302-U;  Feste Abfälle aus Sanierung von Böden (oh.191301);-;-;-;-
2010;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);43;103,1;12;37,4
2010;EAV-200101-U;  Papier und Pappe;3;21,1;-;-
2010;EAV-200102-U;  Glas;-;-;-;-
2010;EAV-200135-G;  Gebrauchte elektrische Geräte (oh.200121,200123);-;-;-;-
2010;EAV-200137-G;  Holz, das gefährliche Stoffe enthält;-;-;-;-
2010;EAV-200138-U;  Holz (ohne 200137);-;-;-;-
2010;EAV-200140-U;  Metalle;-;-;-;-
2010;EAV-200201-U;  Biologisch abbaubare Abfälle;15;37,7;9;24,2
2010;EAV-200202-U;  Boden und Steine;10;13,8;-;-
2010;EAV-200203-U;  Andere nicht biologisch abbaubare Abfälle;-;-;-;-
2010;EAV-20030100-U;  Gemischte Siedlungsabfälle nicht differenzierbar;6;17,5;-;-
2010;EAV-20030101-U;  Hausmüll, hausmüllähnliche Gewerbeabfälle;-;-;-;-
2010;EAV-200303-U;  Straßenkehricht;18;11,6;-;-
2010;EAV-200306-U;  Abfälle aus der Kanalreinigung;-;-;-;-
2010;EAV-200307-U;  Sperrmüll;3;1,2;-;-
2010;EAV-200399-U;  Siedlungsabfälle a.n.g.;-;-;-;-
2010;EAV-99;Gefährliche Abfälle;169;1186,7;146;748,2
2010;EAV-990000-G;  Gefährliche Abfälle insgesamt;169;1186,7;146;748,2
2012;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;3;1,1;-;-
2012;EAV-010413-U;  Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);3;1,1;-;-
2012;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-;-
2012;EAV-020401-U;  Zuckerherstellung: Rübenerde;-;-;-;-
2012;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-;-
2012;EAV-030310-U;  Faserabfälle, Faser-, Füller- und Überzugsschlämme;-;-;-;-
2012;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-;-
2012;EAV-050117-U;  Erdölraffination: Bitumen;-;-;-;-
2012;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-;-
2012;EAV-060899-U;  Silizium, Siliziumverbindungen: Abfälle a.n.g.;-;-;-;-
2012;EAV-10;Abfälle aus thermischen Prozessen;30;160,9;-;-
2012;EAV-100101-U;  Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100104);8;24,5;-;-
2012;EAV-100117-U;  Filterstäube aus Abfallmitverbrennung (oh.100116);-;-;-;-
2012;EAV-100201-U;  Eisen-,Stahlind.: Abfälle aus Schlackeverarbeitung;-;-;-;-
2012;EAV-100202-U;  Eisen-,Stahlind.: Unbearbeitete Schlacke;8;20,6;-;-
2012;EAV-100501-U;  Zinkmetallurgie: Schlacken (Erst-, Zweitschmelze);-;-;-;-
2012;EAV-100503-G;  Zinkmetallurgie: Filterstaub;-;-;-;-
2012;EAV-100903-U;  Eisen,Stahl: Ofenschlacke;13;57,4;-;-
2012;EAV-100906-U;  Gießformen und -sande vor dem Gießen (oh.100905);-;-;-;-
2012;EAV-100908-U;  Gießformen u. -sande nach dem Gießen (ohne 100907);5;18,4;-;-
2012;EAV-101008-U;  Gießformen und -sande nach dem Gießen (oh. 101007);4;10,4;-;-
2012;EAV-101112-U;  Glasabfall (ohne 101111);-;-;-;-
2012;EAV-101201-U;  Keramikerzeugnisse: Rohmischungen vor dem Brennen;-;-;-;-
2012;EAV-101203-U;  Keramikerzeugnisse: Teilchen und Staub;-;-;-;-
2012;EAV-101208-U;  Abfälle aus Keramikerzeugnissen, Ziegeln u.a.;-;-;-;-
2012;EAV-101210-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101209);-;-;-;-
2012;EAV-101304-U;  Abfälle a.Kalzinierung,Hydratisierung v.Branntkalk;-;-;-;-
2012;EAV-101311-U;  Abfälle aus Verbundstoffen (ohne 101309, 101310);-;-;-;-
2012;EAV-101314-U;  Betonabfälle und Betonschlämme;4;0,9;-;-
2012;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;4;8,0;-;-
2012;EAV-120101-U;  Eisenfeil- und -drehspäne;-;-;-;-
2012;EAV-120103-U;  NE-Metallfeil- und -drehspäne;-;-;-;-
2012;EAV-120105-U;  Kunststoffspäne und -drehspäne;-;-;-;-
2012;EAV-120117-U;  Strahlmittelabfälle (ohne 120116);3;5,1;-;-
2012;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;5;0,0
2012;EAV-130205-G;  Nichtchlorierte Maschinen-,Getriebe-u. Schmieröle;-;-;5;0,0
2012;EAV-130208-G;  Andere Maschinen-, Getriebe- und Schmieröle;-;-;-;-
2012;EAV-130501-G;  Feste Abfälle a.Sandfanganlagen u.Öl-/Wasserabsch.;-;-;-;-
2012;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;7;5,6;7;0,0
2012;EAV-150101-U;  Verpackungen aus Papier und Pappe;-;-;-;-
2012;EAV-150102-U;  Verpackungen aus Kunststoff;-;-;-;-
2012;EAV-150103-U;  Verpackungen aus Holz;-;-;-;-
2012;EAV-15010600-U;  Gemischte Verpackungen nicht differenzierbar;4;4,7;-;-
2012;EAV-150107-U;  Verpackungen aus Glas;-;-;-;-
2012;EAV-150202-G;  Aufsaug- und Filtermaterialien, Wischtücher;-;-;5;0,0
2012;EAV-150203-U;  Aufsaug- und Filtermaterialien (ohne 150202);-;-;-;-
2012;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;6;3,7;-;-
2012;EAV-160103-U;  Altreifen;-;-;-;-
2012;EAV-160119-U;  Altfahrzeuge: Kunststoffe;-;-;-;-
2012;EAV-161104-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161103);5;3,7;-;-
2012;EAV-161106-U;  Feuerfeste Mat. a. nichtmetallurg.Proz.(oh.161105);-;-;-;-
2012;EAV-17;Bau- und Abbruchabfälle;2171;62717,8;179;2072,7
2012;EAV-170101-U;  Beton;1680;21603,5;11;80,2
2012;EAV-170102-U;  Ziegel;956;4151,1;4;19,2
2012;EAV-170103-U;  Fliesen und Keramik;451;945,5;-;-
2012;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;7;6,1;-;-
2012;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);1155;13687,2;20;192,4
2012;EAV-170201-U;  Holz;33;26,7;11;3,2
2012;EAV-170202-U;  Glas;3;0,1;-;-
2012;EAV-170203-U;  Kunststoff;-;-;-;-
2012;EAV-170204-G;  Glas, Kunststoff und Holz mit gefährlichen Stoffen;10;1,5;3;0,2
2012;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;135;1031,5;97;790,8
2012;EAV-170302-U;  Bitumengemische (ohne 170301);1143;10242,9;11;79,3
2012;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;10;1,0;7;0,3
2012;EAV-170402-U;  Aluminium;-;-;-;-
2012;EAV-170403-U;  Blei;-;-;-;-
2012;EAV-170405-U;  Eisen und Stahl;-;-;8;1,6
2012;EAV-170407-U;  Gemischte Metalle;3;0,8;4;1,3
2012;EAV-170411-U;  Kabel (ohne 170410);-;-;-;-
2012;EAV-170503-G;  Boden und Steine, die gefährliche Stoffe enthalten;8;12,3;-;-
2012;EAV-170504-U;  Boden und Steine (ohne 170503);755;8622,1;39;840,1
2012;EAV-170506-U;  Baggergut (ohne 170505);14;349,9;-;-
2012;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;6;81,6;-;-
2012;EAV-170508-U;  Gleisschotter (ohne 170507);102;1709,5;3;23,8
2012;EAV-170601-G;  Dämmmaterial, das Asbest enthält;-;-;-;-
2012;EAV-170603-G;  Anderes Dämmmaterial;5;0,1;6;0,2
2012;EAV-170604-U;  Dämmmaterial (ohne 170601 und 170603);3;0,1;-;-
2012;EAV-170605-G;  Asbesthaltige Baustoffe;10;2,3;6;0,2
2012;EAV-170802-U;  Baustoffe auf Gipsbasis (ohne 170801);60;28,7;14;2,0
2012;EAV-170903-G;  Sonstige Bau- und Abbruchabfälle;-;-;-;-
2012;EAV-170904-U;  Gemischte Bau- und Abbruchabf. (oh.170901-170903);79;210,7;26;33,3
2012;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;36;646,8;2150;60368,8
2012;EAV-190111-G;  Verbrenn.,Pyrolyse: Rost-,Kesselaschen,Schlacken;-;-;-;-
2012;EAV-190112-U;  Rost- und Kesselaschen sowie Schlacken (oh.190111);9;419,8;3;177,6
2012;EAV-190113-G;  Verbrenn.,Pyrolyse: Filterstaub mit gefährl. St.;-;-;-;-
2012;EAV-190114-U;  Filterstaub (ohne 190113);-;-;-;-
2012;EAV-190118-U;  Pyrolyseabfälle (ohne 190117);-;-;-;-
2012;EAV-19029950-U;  Durch Abfallbehandlung entstandene Produkte;-;-;3;162,5
2012;EAV-190503-U;  Nicht spezifikationsgerechter Kompost;-;-;-;-
2012;EAV-190801-U;  Sieb- und Rechenrückstände;-;-;-;-
2012;EAV-190802-U;  Sandfangrückstände;4;1,7;-;-
2012;EAV-190903-U;  Schlämme aus der Dekarbonatisierung;-;-;-;-
2012;EAV-19120100-U;  Mech.Abfallbehandlung: Papier, Pappe nicht diff.;-;-;85;27,4
2012;EAV-191202-U;  Mech.Abfallbehandlung: Eisenmetalle;4;4,0;769;173,6
2012;EAV-191203-U;  Mech.Abfallbehandlung: Nichteisenmetalle;-;-;132;13,9
2012;EAV-191204-U;  Mech.Abfallbehandlung: Kunststoff und Gummi;-;-;161;9,7
2012;EAV-19120500-U;  Mech.Abfallbehandlung: Glas nicht differenzierbar;-;-;-;-
2012;EAV-19120505-U;  Mech.Abfallbehandlung: Mischglas;-;-;-;-
2012;EAV-191206-G;  Mech.Abfallbehandlung: Holz mit gefährl. Stoffen;-;-;11;3,0
2012;EAV-191207-U;  Holz (ohne 191206);-;-;307;82,9
2012;EAV-191208-U;  Mech.Abfallbehandlung: Textilien;-;-;-;-
2012;EAV-19120900-U;  Mech.Abfallbehandlung: Mineralien (Sand, Steine);18;216,1;37;866,2
2012;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-;1703;34229,6
2012;EAV-19120902-U;  Erzeugnisse für Verwendung im sonstigen Erdbau;-;-;1200;13447,7
2012;EAV-19120903-U;  Erzeugnisse f.d. Verwendung in Betonmischanlagen;-;-;90;570,5
2012;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;-;-;312;6526,5
2012;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-;287;3832,9
2012;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-;-;-
2012;EAV-191210-U;  Brennbare Abfälle (Brennstoffe aus Abfällen);-;-;-;-
2012;EAV-191211-G;  Sonstige Abfälle (einschl. Materialmischungen);-;-;-;-
2012;EAV-191212-U;  Sonstige Abfälle (ohne 191211);7;1,6;360;241,8
2012;EAV-191302-U;  Feste Abfälle aus Sanierung von Böden (oh.191301);-;-;-;-
2012;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);37;88,6;12;18,0
2012;EAV-200101-U;  Papier und Pappe;-;-;-;-
2012;EAV-200102-U;  Glas;-;-;-;-
2012;EAV-200135-G;  Gebrauchte elektrische Geräte (oh.200121,200123);-;-;-;-
2012;EAV-200137-G;  Holz, das gefährliche Stoffe enthält;-;-;-;-
2012;EAV-200138-U;  Holz (ohne 200137);-;-;-;-
2012;EAV-200140-U;  Metalle;-;-;-;-
2012;EAV-200201-U;  Biologisch abbaubare Abfälle;15;12,3;10;4,0
2012;EAV-200202-U;  Boden und Steine;8;15,7;-;-
2012;EAV-200203-U;  Andere nicht biologisch abbaubare Abfälle;-;-;-;-
2012;EAV-20030100-U;  Gemischte Siedlungsabfälle nicht differenzierbar;-;-;-;-
2012;EAV-20030101-U;  Hausmüll, hausmüllähnliche Gewerbeabfälle;-;-;-;-
2012;EAV-200303-U;  Straßenkehricht;16;26,6;-;-
2012;EAV-200306-U;  Abfälle aus der Kanalreinigung;3;1,4;-;-
2012;EAV-200307-U;  Sperrmüll;-;-;-;-
2012;EAV-200399-U;  Siedlungsabfälle a.n.g.;-;-;-;-
2012;EAV-99;Gefährliche Abfälle;155;1136,4;120;801,0
2012;EAV-990000-G;  Gefährliche Abfälle insgesamt;155;1136,4;120;801,0
2014;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-;-
2014;EAV-010413-U;  Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);-;-;-;-
2014;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-;-
2014;EAV-020401-U;  Zuckerherstellung: Rübenerde;-;-;-;-
2014;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-;-
2014;EAV-030310-U;  Faserabfälle, Faser-, Füller- und Überzugsschlämme;-;-;-;-
2014;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-;-
2014;EAV-050117-U;  Erdölraffination: Bitumen;-;-;-;-
2014;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-;-
2014;EAV-060899-U;  Silizium, Siliziumverbindungen: Abfälle a.n.g.;-;-;-;-
2014;EAV-10;Abfälle aus thermischen Prozessen;29;193,5;-;-
2014;EAV-100101-U;  Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100104);9;32,2;-;-
2014;EAV-100117-U;  Filterstäube aus Abfallmitverbrennung (oh.100116);-;-;-;-
2014;EAV-100201-U;  Eisen-,Stahlind.: Abfälle aus Schlackeverarbeitung;-;-;-;-
2014;EAV-100202-U;  Eisen-,Stahlind.: Unbearbeitete Schlacke;5;11,9;-;-
2014;EAV-100501-U;  Zinkmetallurgie: Schlacken (Erst-, Zweitschmelze);-;-;-;-
2014;EAV-100503-G;  Zinkmetallurgie: Filterstaub;-;-;-;-
2014;EAV-100903-U;  Eisen,Stahl: Ofenschlacke;10;75,2;-;-
2014;EAV-100906-U;  Gießformen und -sande vor dem Gießen (oh.100905);-;-;-;-
2014;EAV-100908-U;  Gießformen u. -sande nach dem Gießen (ohne 100907);7;20,1;-;-
2014;EAV-101008-U;  Gießformen und -sande nach dem Gießen (oh. 101007);-;-;-;-
2014;EAV-101112-U;  Glasabfall (ohne 101111);-;-;-;-
2014;EAV-101201-U;  Keramikerzeugnisse: Rohmischungen vor dem Brennen;-;-;-;-
2014;EAV-101203-U;  Keramikerzeugnisse: Teilchen und Staub;-;-;-;-
2014;EAV-101208-U;  Abfälle aus Keramikerzeugnissen, Ziegeln u.a.;-;-;-;-
2014;EAV-101210-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101209);-;-;-;-
2014;EAV-101304-U;  Abfälle a.Kalzinierung,Hydratisierung v.Branntkalk;-;-;-;-
2014;EAV-101311-U;  Abfälle aus Verbundstoffen (ohne 101309, 101310);-;-;-;-
2014;EAV-101314-U;  Betonabfälle und Betonschlämme;8;3,9;-;-
2014;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;5;2,8;-;-
2014;EAV-120101-U;  Eisenfeil- und -drehspäne;-;-;-;-
2014;EAV-120103-U;  NE-Metallfeil- und -drehspäne;-;-;-;-
2014;EAV-120105-U;  Kunststoffspäne und -drehspäne;4;1,9;-;-
2014;EAV-120117-U;  Strahlmittelabfälle (ohne 120116);-;-;-;-
2014;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;-;-
2014;EAV-130205-G;  Nichtchlorierte Maschinen-,Getriebe-u. Schmieröle;-;-;-;-
2014;EAV-130208-G;  Andere Maschinen-, Getriebe- und Schmieröle;-;-;-;-
2014;EAV-130501-G;  Feste Abfälle a.Sandfanganlagen u.Öl-/Wasserabsch.;-;-;-;-
2014;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;7;9,9;5;0,7
2014;EAV-150101-U;  Verpackungen aus Papier und Pappe;4;0,2;-;-
2014;EAV-150102-U;  Verpackungen aus Kunststoff;-;-;-;-
2014;EAV-150103-U;  Verpackungen aus Holz;-;-;-;-
2014;EAV-15010600-U;  Gemischte Verpackungen nicht differenzierbar;-;-;-;-
2014;EAV-150107-U;  Verpackungen aus Glas;-;-;-;-
2014;EAV-150202-G;  Aufsaug- und Filtermaterialien, Wischtücher;-;-;-;-
2014;EAV-150203-U;  Aufsaug- und Filtermaterialien (ohne 150202);-;-;-;-
2014;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;5;8,0;-;-
2014;EAV-160103-U;  Altreifen;-;-;-;-
2014;EAV-160119-U;  Altfahrzeuge: Kunststoffe;-;-;-;-
2014;EAV-161104-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161103);5;3,3;-;-
2014;EAV-161106-U;  Feuerfeste Mat. a. nichtmetallurg.Proz.(oh.161105);-;-;-;-
2014;EAV-17;Bau- und Abbruchabfälle;2164;64799,9;217;1851,1
2014;EAV-170101-U;  Beton;1720;20461,7;24;138,3
2014;EAV-170102-U;  Ziegel;913;3904,8;15;68,7
2014;EAV-170103-U;  Fliesen und Keramik;433;1184,6;-;-
2014;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;7;7,0;-;-
2014;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);1230;16891,5;34;230,0
2014;EAV-170201-U;  Holz;47;36,7;23;11,6
2014;EAV-170202-U;  Glas;6;0,7;-;-
2014;EAV-170203-U;  Kunststoff;-;-;-;-
2014;EAV-170204-G;  Glas, Kunststoff und Holz mit gefährlichen Stoffen;10;1,7;9;0,3
2014;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;143;1048,4;84;461,6
2014;EAV-170302-U;  Bitumengemische (ohne 170301);1089;8939,5;22;187,0
2014;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;9;0,4;8;0,5
2014;EAV-170402-U;  Aluminium;-;-;-;-
2014;EAV-170403-U;  Blei;-;-;-;-
2014;EAV-170405-U;  Eisen und Stahl;10;4,6;16;4,5
2014;EAV-170407-U;  Gemischte Metalle;-;-;3;2,4
2014;EAV-170411-U;  Kabel (ohne 170410);-;-;-;-
2014;EAV-170503-G;  Boden und Steine, die gefährliche Stoffe enthalten;6;19,3;-;-
2014;EAV-170504-U;  Boden und Steine (ohne 170503);770;10674,7;46;648,1
2014;EAV-170506-U;  Baggergut (ohne 170505);13;115,7;-;-
2014;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;5;23,9;-;-
2014;EAV-170508-U;  Gleisschotter (ohne 170507);83;1282,5;7;40,7
2014;EAV-170601-G;  Dämmmaterial, das Asbest enthält;-;-;-;-
2014;EAV-170603-G;  Anderes Dämmmaterial;8;0,1;9;0,2
2014;EAV-170604-U;  Dämmmaterial (ohne 170601 und 170603);-;-;3;0,0
2014;EAV-170605-G;  Asbesthaltige Baustoffe;9;0,4;6;0,3
2014;EAV-170802-U;  Baustoffe auf Gipsbasis (ohne 170801);56;35,1;26;14,0
2014;EAV-170903-G;  Sonstige Bau- und Abbruchabfälle;-;-;-;-
2014;EAV-170904-U;  Gemischte Bau- und Abbruchabf. (oh.170901-170903);60;166,4;52;38,7
2014;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;35;605,6;2131;62056,7
2014;EAV-190111-G;  Verbrenn.,Pyrolyse: Rost-,Kesselaschen,Schlacken;-;-;-;-
2014;EAV-190112-U;  Rost- und Kesselaschen sowie Schlacken (oh.190111);5;448,2;-;-
2014;EAV-190113-G;  Verbrenn.,Pyrolyse: Filterstaub mit gefährl. St.;-;-;-;-
2014;EAV-190114-U;  Filterstaub (ohne 190113);-;-;-;-
2014;EAV-190118-U;  Pyrolyseabfälle (ohne 190117);-;-;-;-
2014;EAV-19029950-U;  Durch Abfallbehandlung entstandene Produkte;-;-;-;-
2014;EAV-190503-U;  Nicht spezifikationsgerechter Kompost;-;-;-;-
2014;EAV-190801-U;  Sieb- und Rechenrückstände;-;-;-;-
2014;EAV-190802-U;  Sandfangrückstände;3;1,7;-;-
2014;EAV-190903-U;  Schlämme aus der Dekarbonatisierung;-;-;-;-
2014;EAV-19120100-U;  Mech.Abfallbehandlung: Papier, Pappe nicht diff.;-;-;91;45,4
2014;EAV-191202-U;  Mech.Abfallbehandlung: Eisenmetalle;-;-;714;178,9
2014;EAV-191203-U;  Mech.Abfallbehandlung: Nichteisenmetalle;-;-;113;17,3
2014;EAV-191204-U;  Mech.Abfallbehandlung: Kunststoff und Gummi;-;-;110;22,1
2014;EAV-19120500-U;  Mech.Abfallbehandlung: Glas nicht differenzierbar;-;-;4;3,4
2014;EAV-19120505-U;  Mech.Abfallbehandlung: Mischglas;-;-;-;-
2014;EAV-191206-G;  Mech.Abfallbehandlung: Holz mit gefährl. Stoffen;-;-;9;1,8
2014;EAV-191207-U;  Holz (ohne 191206);-;-;216;41,9
2014;EAV-191208-U;  Mech.Abfallbehandlung: Textilien;-;-;-;-
2014;EAV-19120900-U;  Mech.Abfallbehandlung: Mineralien (Sand, Steine);18;136,1;27;727,3
2014;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-;1678;35534,2
2014;EAV-19120902-U;  Erzeugnisse für Verwendung im sonstigen Erdbau;-;-;1265;16365,6
2014;EAV-19120903-U;  Erzeugnisse f.d. Verwendung in Betonmischanlagen;-;-;65;294,7
2014;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;-;-;242;5013,6
2014;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-;256;3011,8
2014;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-;-;-
2014;EAV-191210-U;  Brennbare Abfälle (Brennstoffe aus Abfällen);-;-;-;-
2014;EAV-191211-G;  Sonstige Abfälle (einschl. Materialmischungen);-;-;5;9,4
2014;EAV-191212-U;  Sonstige Abfälle (ohne 191211);8;12,7;258;495,4
2014;EAV-191302-U;  Feste Abfälle aus Sanierung von Böden (oh.191301);-;-;-;-
2014;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);50;132,3;14;25,6
2014;EAV-200101-U;  Papier und Pappe;-;-;-;-
2014;EAV-200102-U;  Glas;-;-;-;-
2014;EAV-200135-G;  Gebrauchte elektrische Geräte (oh.200121,200123);-;-;-;-
2014;EAV-200137-G;  Holz, das gefährliche Stoffe enthält;-;-;-;-
2014;EAV-200138-U;  Holz (ohne 200137);-;-;-;-
2014;EAV-200140-U;  Metalle;-;-;-;-
