GENESIS table: 32161-0001
Companies, amount of waste generated: Germany, years,;;;;
types of waste;;;;
Waste generation survey;;;;
Germany;;;;
;;;Operations;Amount of waste generated
2010;EAV-160602-G; Ni-Cd batteries;240;0.2
2010;EAV-160603-G; Batteries containing mercury;14;0.1
2010;EAV-160604-U; Alkaline batteries (except 160603);491;0.3
2010;EAV-160605-U; Other batteries and accumulators;176;0.4
2010;EAV-160606-G; Separately collected electrolytes a. Batteries, rechargeable battery.; 26; 1.4
2010;EAV-160708-G; Tanks, barrels: oily waste;877;54.9
2010;EAV-160709-G; Tanks, barrels: waste with other hazardous St.;113;10.1
2010;EAV-160799-U; Tanks, casks: wastes not otherwise specified;13;2.2
2010;EAV-160801-U; Used catalysts (without 160807);27;1.3
2010;EAV-160802-G; Used catalyst. m.dangerous.transition metals;72;9,4
2010;EAV-160803-U; Used catalysts with transition metals;19;1,1
2010;EAV-160804-U; Used catalysts v. crack proc.(oh. 160807);10;3.8
2010;EAV-160805-G; Used catalysts with phosphoric acid;4;0.2
2010;EAV-160806-G; Used fluids (catalysts);7;0.8
2010;EAV-160807-G; Used catalysts with hazardous substances;64;5.3
2010;EAV-160901-G; permanganates, e.g. potassium permanganate;-;-
2010;EAV-160902-G; Chromates (potassium chromate, potassium or sodium dichromate);3;0.0
2010;EAV-160903-G; peroxides, e.g., hydrogen peroxide;11;0.0
2010;EAV-160904-G; Oxidizing substances n.e.c.;-;-
2010;EAV-161001-G; Aqueous liquid waste containing hazardous substances;108;10.1
2010;EAV-161002-U; Aqueous liquid waste (excluding 161001);144;35.0
2010;EAV-161003-G; Aqueous concentrates with hazardous substances;76;7.0
2010;EAV-161004-U; Aqueous concentrates (excluding 161003);13;13.4
2010;EAV-161101-G; Metallurgical refractory materials. processes;17;4,8
2010;EAV-161102-U; Refractory mat. from metallurg. percent (oh.161101);35;5.4
2010;EAV-161103-G; Other linings and refractories;40;9.9
2010;EAV-161104-U; Refractory mat. from metallurg. percent (oh.161103);230;288.1
2010;EAV-161105-G; Non-metallurgical refractory materials. percent;55;13.3
2010;EAV-161106-U; Refractory material a. nonmetallurgical proc.(oh.161105);121;27.8
2010;EAV-17;Construction and demolition waste;;
2010;EAV-170101-U; Concrete;884;909.7
2010;EAV-170102-U; Brick;350;47.5
2010;EAV-170103-U; Tiles and ceramics;270;17.6
2010;EAV-170106-G; Mixtures from o. separate fractions v. Concrete, etc.; 299; 125.1
2010;EAV-170107-U; Mixtures of concrete, bricks, etc. (oh.170106);2269;819.7
2010;EAV-170201-U; Wood;3471;192.2
2010;EAV-170202-U; Glass;549;20.2
2010;EAV-170203-U; Plastic;669;21.6
2010;EAV-170204-G; Glass, plastic and wood with dangerous substances;877;160.4
2010;EAV-170301-G; Bituminous mixtures containing coal tar;230;100.7
2010;EAV-170302-U; Bitumen mixtures (without 170301);376;161.9
2010;EAV-170303-G; Coal tar and tarry products;220;9.4
2010;EAV-170401-U; Copper, bronze, brass;774;19.6
2010;EAV-170402-U; Aluminum; 1329; 56.0
2010;EAV-170403-U; Lead;66;0.2
2010;EAV-170404-U; Zinc;57;8.2
2010;EAV-170405-U; Iron and Steel;2991;1268.1
2010;EAV-170406-U; tin;40;0.4
2010;EAV-170407-U; Mixed Metals;1558;347.4
2010;EAV-170409-G; Metal waste with dangerous substances;96;17.1
2010;EAV-170410-G; Cables hazardous to oil, coal tar, etc. Substances contain;125;2.0
2010;EAV-170411-U; Cable (without 170410);1396;186.7
2010;EAV-170503-G; Soil and stones containing dangerous substances;335;535.8
2010;EAV-170504-U; soil and stones (without 170503);688;2376.5
2010;EAV-170505-G; dredged material containing dangerous substances;8;0.7
2010;EAV-170506-U; dredged material (without 170505);29;403.6
2010;EAV-170507-G; track ballast containing dangerous substances;21;416.2
2010;EAV-170508-U; Track ballast (without 170507);45;2147.9
2010;EAV-170601-G; Insulation material containing asbestos;47;0.5
2010;EAV-170603-G; Other insulation material;1162;17.9
2010;EAV-170604-U; Insulation material (without 170601 and 170603);486;20.1
2010;EAV-170605-G; Building materials containing asbestos;717;17.8
2010;EAV-170801-G; Contaminated gypsum-based building materials;5;0.1
2010;EAV-170802-U; Gypsum-based building materials (excluding 170801);449;55.6
2010;EAV-170901-G; Construction and demolition waste containing mercury;9;0.4
2010;EAV-170902-G; Construction and demolition waste containing PCBs;29;0.6
2010;EAV-170903-G; Other construction and demolition waste;94;10.2
2010;EAV-170904-U; Mixed construction and demolition waste (oh.170901-170903);2971;166.2
2010;EAV-18;Wastes from medical care;;
2010;EAV-180101-U; Pointed or sharp objects (except 180103);92;1.2
2010;EAV-180102-U; Body parts, organs, blood supplies (except 180103);518;2.9
2010;EAV-180103-G; Waste (particularly requirements from the point of view of preventing infection);724;11.5
2010;EAV-180104-U; Wound, plaster bandages, laundry, disposable clothing, diapers; 613; 222.1
2010;EAV-180106-G; chemicals consisting of hazardous substances;52;0.3
2010;EAV-180107-U; chemicals (excluding 180106);22;0.7
2010;EAV-180108-G; cytotoxic. and cytostatic drugs for humans;493;2,7
2010;EAV-180109-U; Medicines (excluding 180108);152;7.0
2010;EAV-180110-G; Dental amalgam waste;12;0.0
2010;EAV-180201-U; Pointed or sharp objects (excluding 180202);6;0.0
2010;EAV-180202-G; Waste (particularly requirements from the point of view of preventing infection);43;0.5
2010;EAV-180203-U; Waste (without particular requirement for an infection prevention view);44;1.9
2010;EAV-180205-G; Chemicals consisting of hazardous substances;5;0.0
2010;EAV-180206-U; chemicals (excluding 180205);5;0.0
2010;EAV-180207-G; Cytotoxic and cytostatic drugs for animals;3;0.0
2010;EAV-180208-U; Medicines (excluding 180207);7;0.0
2010;EAV-19;Waste from waste treatment plants etc.;;
2010;EAV-190102-U; Combustion, pyrolysis: iron parts a. rust and boiler ash; 4; 1.9
2010;EAV-190105-G; Combustion, pyrolysis: filter cake from flue gas treatment;8;11,9
2010;EAV-190106-G; Combustion, pyrolysis: Aqueous liquid waste from exhaust gas tank; 8; 15.2
2010;EAV-190107-G; Incineration, pyrolysis: solid waste a. Emission treatment;17;26.0
2010;EAV-190110-G; Combustion, pyrolysis: used activated carbon a. Exhaust gas treatment;5;0.0
2010;EAV-190111-G; Combustion, pyrolysis: grate, boiler ashes, slag;22;56.9
2010;EAV-190112-U; Bottom ash and slag (oh.190111);48;363.7
2010;EAV-190113-G; Combustion.,Pyrolysis: Filter dust with haz. St.;18;29.8
2010;EAV-190114-U; filter dust (without 190113);5;26.2
2010;EAV-190115-G; Combustion, pyrolysis: Boiler dust with hazardous fabrics;3;1.5
2010;EAV-190116-U; Boiler dust (without 190115);-;-
2010;EAV-190117-G; Pyrolysis wastes containing dangerous substances;4;0.2
2010;EAV-190118-U; Pyrolysis waste (without 190117);3;0.1
2010;EAV-190119-U; Combustion.,Pyrolysis:Sands from fluidized bed combustion;-;-
2010;EAV-190199-U; Incineration, pyrolysis of waste: wastes not otherwise specified;-;-
2010;EAV-190203-U; Premixed waste from non-hazardous waste;4;0.2
2010;EAV-190204-G; Premixed waste with at least one hazardous waste;7;0.0
2010;EAV-190205-G; Sludges from physico-chemical treatment;243;32.4
2010;EAV-190206-U; sludge a. physical-chemical treatment (oh.190205);32;1.4
2010;EAV-190207-G; Oil and concentrates from separation processes;42;8.5
2010;EAV-190208-G; Liquid combustible waste with hazardous fabrics;-;-
2010;EAV-190209-G; Solid combustible waste containing hazardous substances;-;-
2010;EAV-190210-U; Combustible waste (excluding 190208 and 190209);3;0.1
2010;EAV-190211-G; Other wastes containing dangerous substances;22;0.3
2010;EAV-19029900-U; physics.-chem. Treatment of waste: waste not otherwise specified;-;-
2010;EAV-19029950-U; Products resulting from waste treatment;-;-
2010;EAV-190304-G; as dangerous classified partly stabilized waste;-;-
2010;EAV-190305-U; Stabilized waste (excluding 190304);4;1.9
2010;EAV-190306-G; Solidified waste classified as hazardous;-;-
2010;EAV-190307-U; Solidified waste (without 190306);-;-
2010;EAV-190401-U; Vitrified Waste;-;-
2010;EAV-190402-G; Filter dust and other waste from exhaust gas treatment;-;-
2010;EAV-190403-G; Non-vitrified solid phase;-;-
2010;EAV-190404-U; Aqueous liquid waste from tempering;-;-
2010;EAV-190501-U; Non-composted fraction of municipal waste;3;0.0
2010;EAV-190502-U; Non-composted fraction v. animal and plant waste;-;-
2010;EAV-190503-U; Out of specification compost;-;-
2010;EAV-19059900-U; waste not otherwise specified not differentiable;-;-
2010;EAV-19059901-U; Compost (to spec);8;1.0
2010;EAV-190603-U; liquids from municipal waste treatment;-;-
2010;EAV-190604-U; Digestate/sludge from tank v.municipal waste;-;-
2010;EAV-190605-U; liquids from container v. animal and plant waste;-;-
2010;EAV-190606-U; Digestate/sludge a. Treatment of animal and plant waste;-;-
2010;EAV-190699-U; Anaerobic treatment of waste: wastes not otherwise specified;-;-
2010;EAV-190702-G; Landfill leachate, the hazardous contains substances;-;-
2010;EAV-190703-U; Landfill leachate (without 190702);4;174.3
2010;EAV-190801-U; sieving and raking residues;129;15.9
2010;EAV-190802-U; Sand trap residues;134;19.5
2010;EAV-190805-U; Sludges from treatment v. municipal waste water;41;302.4
2010;EAV-190806-G; Saturated or spent ion exchange resins;56;0.2
2010;EAV-190807-G; Solutions and sludges from regeneration of ion exhaust.;-;-
2010;EAV-190808-G; Waste containing heavy metals from membrane systems;-;-
2010;EAV-190809-U; Fat and oil mixtures from oil separators (edible oils);207;15.1
2010;EAV-190810-G; Fat and oil mixtures from oil separators (oh.190809);27;0.6
2010;EAV-190811-G; Sludges from biological treatment of industrial waste water;19;310.5
2010;EAV-190812-U; sludge a. biological treatment of industrial waste water (oh.190811);70;524.0
2010;EAV-190813-G; Slurries with hazardous Substances from industrial waste water;122;117.9
2010;EAV-190814-U; Sludges from industrial waste water (excluding 190813);312;92.2
2010;EAV-190899-U; Wastewater treatment plants: wastes not otherwise specified;16;12.1
2010;EAV-190901-U; Solid waste from primary filtration and screenings;33;12.3
2010;EAV-190902-U; sludges from water purification;151;165.1
2010;EAV-190903-U; decarbonation sludges;41;168.7
2010;EAV-190904-U; Used activated carbon;61;1.5
2010;EAV-190905-U; Saturated or used ion exchange resins;114;1.8
2010;EAV-190906-U; Solutions and sludges from ion exchange regeneration;6;11.5
2010;EAV-190999-U; Service water: waste not otherwise specified;7;2.0
2010;EAV-191001-U; iron and steel waste;44;7.1
2010;EAV-191002-U; non-ferrous metal waste;15;2.5
2010;EAV-191003-G; Shredder light fractions and dust;-;-
2010;EAV-191004-U; Shredder light fractions and dust (without 191003);3;0.1
2010;EAV-191005-G; Other factions that are dangerous substances contain;-;-
2010;EAV-191006-U; Other fractions (without 191005);5;4.5
2010;EAV-191101-G; Waste oil treatment: used filter clay;10;3.1
2010;EAV-191102-G; Waste oil treatment: acid tar;-;-
2010;EAV-191103-G; Waste oil treatment: Aqueous liquid waste;-;-
2010;EAV-191104-G; Waste oil processing: Abf.a.d. Fuel cleaning with bases;-;-
2010;EAV-191105-G; Waste oil treatment: sludge (in-house waste water treatment);13;0.7
2010;EAV-191106-U; sludge from operational Wastewater treatment (oh.191105);4;0.1
2010;EAV-191107-G; Waste oil treatment: Waste from exhaust gas cleaning;-;-
2010;EAV-19119900-U; waste not otherwise specified;3;0.0
2010;EAV-19119950-U; Base oil (source of lubricant), (SK);6;0.0
2010;EAV-19119951-U; Lubricant, (SS);6;0.0
2010;EAV-19119952-U; middle distillate component;-;-
2010;EAV-19119953-U; Light heating oil (including diesel), (HL);-;-
2010;EAV-19119954-U; Heavy fuel oil component;-;-
2010;EAV-19119955-U; Heavy fuel oil (HS);-;-
2010;EAV-19120100-U; Mechanical waste treatment: paper, cardboard not diff.;230;62.0
2010;EAV-19120101-U; Mechanical waste treatment: lower grades (group I);66;55.8
2010;EAV-19120102-U; Mech.waste treatment: medium grades (group II);28;10.2
2010;EAV-19120103-U; Mech.waste treatment: Better grades (Group III);30;7.7
2010;EAV-19120104-U; Mech.waste treatment: Powerful varieties (Gr.IV);3;0.6
2010;EAV-19120105-U; Mechanical waste treatment: special types (group V);10;0.9
2010;EAV-191202-U; Mechanical waste treatment: ferrous metals;135;40.8
2010;EAV-191203-U; Mechanical waste treatment: non-ferrous metals;52;5.5
2010;EAV-191204-U; Mechanical waste treatment: plastic and rubber;219;53.2
2010;EAV-19120500-U; Mechanical waste treatment: glass not differentiable;28;7.0
2010;EAV-19120501-U; Mechanical waste treatment: flint glass;37;7.6
2010;EAV-19120502-U; Mechanical waste treatment: amber glass;16;1.9
2010;EAV-19120503-U; Mechanical waste treatment: green glass;19;2.1
2010;EAV-19120504-U; Mechanical waste treatment: stained glass;11;1.1
2010;EAV-19120505-U; Mechanical waste treatment: mixed glass;29;3.1
2010;EAV-191206-G; Mechanical waste treatment: wood with hazardous fabrics;10;1.9
2010;EAV-191207-U; Wood (without 191206);70;7.2
2010;EAV-191208-U; Mechanical waste treatment: textiles;8;2.8
2010;EAV-19120900-U; Mechanical waste treatment: minerals (sand, stones);41;35.1
2010;EAV-19120901-U; Products for use in road and road construction;-;-
2010;EAV-19120902-U; Products for use in other earthworks;-;-
2010;EAV-19120903-U; products f.d. Use in concrete mixing plants;-;-
2010;EAV-19120904-U; Products for use in asphalt mixing plants;-;-
2010;EAV-19120905-U; products for other uses;-;-
2010;EAV-19120906-U; Hot mix for road and path construction;-;-
2010;EAV-191210-U; Combustible waste (fuel from waste);25;8.0
2010;EAV-191211-G; Other waste (including mixed materials);19;2.5
2010;EAV-191212-U; Other waste (without 191211);93;79.6
2010;EAV-191301-G; Solid waste from soil remediation;4;0.0
2010;EAV-191302-U; Solid waste from soil remediation (oh.191301);-;-
2010;EAV-191303-G; Sludges from soil remediation;3;0.3
2010;EAV-191304-U; Sludge from soil remediation (oh.191303);-;-
2010;EAV-191305-G; Sludges from groundwater remediation;6;0.1
2010;EAV-191306-U; Sludge from groundwater remediation (oh.191305);7;0.3
2010;EAV-191307-G; Aqueous waste and concentrates from groundwater remediation.;-;-
2010;EAV-191308-U; Aqueous waste and conc. a. groundwater sanitation (oh.191307);-;-
2010;EAV-20;Municipal waste (household waste and similar waste);;
2010;EAV-200101-U; paper and cardboard;8762;1363.7
2010;EAV-200102-U; Glass;1368;101.4
2010;EAV-200108-U; Biodegradable kitchen and canteen waste;3008;156.4
2010;EAV-200110-U; Clothing;-;-
2010;EAV-200111-U; Textiles;95;1.9
2010;EAV-200113-G; Solvent;313;1.6
2010;EAV-200114-G; acids; 233; 0.9
2010;EAV-200115-G; alkalis;193;0.4
2010;EAV-200117-G; Photo Chemicals;100;0.1
2010;EAV-200119-G; pesticides;-;-
2010;EAV-200121-G; Fluorescent tubes and other waste containing mercury;5252;8.1
2010;EAV-200123-G; Used equipment with chlorofluorocarbons;665;1.0
2010;EAV-200125-U; Edible oils and fats;539;38.8
2010;EAV-200126-G; Oils and fats (without 200125);162;4.2
2010;EAV-200127-G; paints, inks, adhesives and synthetic resins;416;1.1
2010;EAV-200128-U; Paints, printing inks, adhesives, synthetic resins (oh.200127);122;0.3
2010;EAV-200129-G; Detergents containing dangerous substances;79;0.1
2010;EAV-200130-U; Detergents (excluding 200129);48;0.1
2010;EAV-200131-G; Cytotoxic and cytostatic drugs;6;0.1
2010;EAV-200132-U; Medicines (without 200131);103;4.1
2010;EAV-200133-G; Batteries and accumulators (160601-160603);1044;1.5
2010;EAV-200134-U; Batteries and accumulators (without 200133);246;0.1
2010;EAV-200135-G; Used electrical equipment (oh.200121,200123);3208;23.9
2010;EAV-200136-U; Used electrical equipment (excluding 200121, 200123, 200135); 1509; 14.3
2010;EAV-200137-G; Wood containing dangerous substances;94;1.9
2010;EAV-200138-U; Wood (without 200137);1303;63.0
2010;EAV-200139-U; Plastics;2641;115.6
2010;EAV-200140-U; metals;3771;445.0
2010;EAV-200141-U; waste from cleaning chimneys;7;0.2
2010;EAV-200199-U; Other fractions n.e.c.;91;5.1
2010;EAV-20019900-U; Other fractions n.e.c. not differentiable;-;-
2010;EAV-20019901-U; Mixed recyclables without light packaging;-;-
2010;EAV-200201-U; Biodegradable waste;3727;295.2
2010;EAV-200202-U; soil and stones;69;13.7
2010;EAV-200203-U; Other non-biodegradable waste;30;1.5
2010;EAV-20030100-U; Mixed municipal waste not differentiable;3841;275.6
2010;EAV-20030101-U; Household waste, commercial waste similar to household waste;4803;341.9
2010;EAV-20030102-U; Industrial waste similar to domestic waste; 10600; 912.2
2010;EAV-20030104-U; Waste from the compost bin;622;13.9
2010;EAV-200302-U; market waste;37;4.2
2010;EAV-200303-U; Street sweepings;509;40.4
2010;EAV-200304-U; fecal sludge;268;49.0
2010;EAV-200306-U; Sewer cleaning waste;163;13.4
2010;EAV-200307-U; Bulky waste;1817;44.8
2010;EAV-200399-U; Municipal waste not otherwise specified;126;20.8
2010;EAV-99;Hazardous waste;;
2010;EAV-990000-G; Total hazardous waste;-;-
2010;;Total;19582;65328.8
2014;EAV-01;Wastes from the extraction of mineral resources;;
2014;EAV-010101-U; Waste from mining v. metalliferous minerals;7;2.0
2014;EAV-010102-U; Waste from mining v. nonmetallic mineral resources;5;4.9
2014;EAV-010304-G; Acid-forming tailings a. sul. Ore;-;-
2014;EAV-010305-G; Other processing residues with hazardous substances;-;-
2014;EAV-010306-U; Processing residues (without 010304 and 010305);3;3.2
2014;EAV-010307-G; waste from processing metal-bearing mineral resources;-;-
2014;EAV-010308-U; Dusty and powdery waste (without 010307);5;1761.3
2014;EAV-010309-U; Red mud from alumina production(oh.010310);-;-
2014;EAV-010399-U; processing from metallh. Mineral resources: waste not otherwise specified;-;-
2014;EAV-010407-G; Waste from further processing nonmetallic mineral resources;-;-
2014;EAV-010408-U; Gravel and rock rubble waste (excluding 010407);11;27.3
2014;EAV-010409-U; sand and clay waste;16;4,7
2014;EAV-010410-U; Dusty and powdery waste (without 010407);19;2.3
2014;EAV-010411-U; waste from processing of potash and rock salt (oh.010407);10;25.1
2014;EAV-010412-U; reprocessing including waste (oh.010407,010411);-;-
2014;EAV-010413-U; Waste from stonemasonry and sawing work (without 010407);20;99.1
2014;EAV-010499-U; processing v. nonmetallic Bodensch.: Waste not otherwise specified;5;0.3
2014;EAV-010504-U; Sludges and wastes from freshwater wells;4;0.1
2014;EAV-010505-G; Oily drilling muds and wastes;5;0.4
2014;EAV-010506-G; Drilling muds and other drilling waste with hazardous Substances;8;0.2
2014;EAV-010507-U; Barite-bearing drillings, waste (oh.010505,010506);-;-
2014;EAV-010508-U; chloride content. Drilling tubing waste (oh.010505,010506);-;-
2014;EAV-010599-U; Drilling muds and other drilling waste: waste not otherwise specified;-;-
2014;EAV-02;Waste from agriculture, forestry, etc.;;
2014;EAV-020101-U; Agricultural, etc.: sludge from washing, cleaning processes; 20; 16.5
2014;EAV-020102-U; Agriculture, etc.: Animal tissue waste;55;73.4
2014;EAV-020103-U; Agriculture, etc.: Waste from plant tissue;109;180.1
2014;EAV-020104-U; Agricultural, etc.: plastic waste (without packaging); 102; 5.1
2014;EAV-020106-U; Animal excreta, manure/manure/stable manure;56;187.9
2014;EAV-020107-U; Forestry waste;6;0.0
2014;EAV-020108-G; Agricultural chemical waste;43;0.7
2014;EAV-020109-U; waste v. chemistry. f.d. Agriculture(oh.020108);5;0.1
2014;EAV-020110-U; Agriculture, etc.: metal waste;65;2.5
2014;EAV-020199-U; Agriculture and others: waste not otherwise specified;16;2.2
2014;EAV-020201-U; Meat, etc.: sludge from washing and cleaning processes;43;11.5
2014;EAV-020202-U; Meat and others: animal tissue waste;209;450.1
2014;EAV-020203-U; Meat, etc.: For consumption/processing unsuitable substances;243;329.1
2014;EAV-020204-U; Meat and others: sludge (in-house waste water treatment); 1925; 557.3
2014;EAV-020299-U; processing of meat, fish, etc.: waste not otherwise specified;34;150.4
2014;EAV-020301-U; Fruit, etc.: sludge from washing, cleaning proc. et al;50;134.3
2014;EAV-020302-U; Fruit and others: waste from preservatives;-;-
2014;EAV-020303-U; Fruit and others: Waste from extraction with solvents;5;1,4
2014;EAV-020304-U; Fruit, etc.: For consumption/processing unsuitable substances;378;307.0
2014;EAV-020305-U; Fruit and others: sludge (in-house waste water treatment);59;119.4
2014;EAV-020399-U; Processing of fruit, vegetables, etc.: waste not otherwise specified;27;60.9
2014;EAV-020401-U; Sugar production: beet soil;16;1315.3
2014;EAV-020402-U; Sugar manufacture: Not spec. calcium carbonate sludge;-;-
2014;EAV-020403-U; Sugar production: sludge (in-house waste water treatment);-;-
2014;EAV-020499-U; Sugar manufacture: wastes not otherwise specified;5;40.6
2014;EAV-020501-U; Dairy Processing: For Consumption/Processing unapproved tax;75;63.9
2014;EAV-020502-U; Milk processing: sludge (in-house waste water treatment);37;127.4
2014;EAV-020599-U; Dairy processing: wastes not otherwise specified;4;10.2
2014;EAV-020601-U; Baked goods, confectionery: for consumption/processing unsuitable St.;274;149.5
2014;EAV-020602-U; Baked goods, confectionery: waste from preservatives;-;-
2014;EAV-020603-U; Baked goods, confectionery: sludge (own waste water treatment); 58; 24.0
2014;EAV-020699-U; Manufacture of bakery and confectionery: waste not otherwise specified;33;6,4
2014;EAV-020701-U; Beverages: Waste from laundry, cleaning, etc.;33;33.0
2014;EAV-020702-U; Beverages: waste from alcohol distillation;7;51.3
2014;EAV-020703-U; Beverages: waste from chemical treatment;-;-
2014;EAV-020704-U; Beverages: For consumption/processing unsuitable substances;63;500.1
2014;EAV-020705-U; Beverages: sludge (in-house waste water treatment);37;48.8
2014;EAV-020799-U; Manufacture of beverages: wastes not otherwise specified;22;286.5
2014;EAV-03;Waste from wood processing, etc.;;
2014;EAV-030101-U; Wood processing, etc.: bark and cork waste;26;496.7
2014;EAV-030104-G; Sawdust, shavings, cuttings, wood, chipboard;39;6.1
2014;EAV-030105-U; Sawdust, shavings, trimmings, wood, chipboard. (oh.030104);709;2778.6
2014;EAV-030199-U; Wood processing, etc.: waste not otherwise specified;29;4.0
2014;EAV-030201-G; Halogen-free organic wood preservatives;-;-
2014;EAV-030202-G; Organochlorine wood preservatives;-;-
2014;EAV-030203-G; Metal-organic wood preservatives;-;-
2014;EAV-030204-G; Inorganic wood preservatives;-;-
2014;EAV-030205-G; Other wood preservatives with dangerous substances;-;-
2014;EAV-030299-U; Wood preservatives n.e.c.;-;-
2014;EAV-030301-U; Paper manufacture e.g.: bark and wood waste;35;339.5
2014;EAV-030302-U; Sulphite sludge (from recovery of cooking liquor);-;-
2014;EAV-030305-U; deinking sludge from paper recycling;14;732.7
2014;EAV-030307-U; Mechanically separated waste (paper waste);94;805.5
2014;EAV-030308-U; Waste from sorting v. Paper for recycling;257;678.2
2014;EAV-030309-U; Lime mud waste;6;2.2
2014;EAV-030310-U; Fiber waste, fiber, filler and coating sludge;132;1568.7
2014;EAV-030311-U; sludge a. Operational waste water treatment (oh.030310);46;121.2
2014;EAV-030399-U; Paper manufacture, etc.: waste not otherwise specified;21;702.5
2014;EAV-04;Waste from the leather, fur and textile industries;;
2014;EAV-040101-U; Meat scrapings and skin waste;-;-
2014;EAV-040102-U; Limed glueskin;6;18,6
2014;EAV-040103-G; Degreasing waste, solvent-free, non-liquid phase;-;-
2014;EAV-040104-U; Tanning liquor containing chrome;-;-
2014;EAV-040105-U; Chrome-free tanning liquor;-;-
2014;EAV-040106-U; Chromium containing sludges;10;16.7
2014;EAV-040107-U; Chrome-free sludges;-;-
2014;EAV-040108-U; Tanned leather waste containing chromium;25;4,9
2014;EAV-040109-U; Dressing and finishing waste;7;0.1
2014;EAV-040199-U; Leather and fur industry: wastes not otherwise specified;8;2.5
2014;EAV-040209-U; Waste from composite materials (elastomer, etc.);78;25.5
2014;EAV-040210-U; Organic substances from natural substances (e.g. fats);11;1,5
2014;EAV-040214-G; waste from the finish with organ. solvent;3;0.0
2014;EAV-040215-U; Waste from the finish (excluding 040214);8;0.3
2014;EAV-040216-G; Dyes and pigments with hazardous substances;4;0.0
2014;EAV-040217-U; dyes and pigments (excluding 040216);9;0.2
2014;EAV-040219-G; Textile industry: sludge (in-house waste water treatment); 3; 0.0
2014;EAV-040220-U; sludge from on-site Sewage treatment (oh.040219);22;1.6
2014;EAV-040221-U; Waste from untreated textile fibers;42;11.2
2014;EAV-040222-U; Waste from processed textile fibers;244;58.6
2014;EAV-040299-U; Textile industry: waste not otherwise specified;13;0.6
2014;EAV-05;Wastes from petroleum refining, natural gas purification;;
2014;EAV-050102-G; Petroleum refining: desalination sludge;-;-
2014;EAV-050103-G; Petroleum refining: bottom sludge from tanks;43;15.6
2014;EAV-050104-G; Petroleum Refining: Acid Alkyl Slurries;-;-
2014;EAV-050105-G; Petroleum Refining: Spilled Oil;-;-
2014;EAV-050106-G; Petroleum refining: oil holding sludges from operations;38;12.6
2014;EAV-050107-G; Petroleum refining: acid tars;-;-
2014;EAV-050108-G; Petroleum refining: other tars;5;0.2
2014;EAV-050109-G; Petroleum refinery: sludge (on-site waste water treatment);9;4,9
2014;EAV-050110-U; sludge a. company owned Sewage treatment (oh.050109);7;3.7
2014;EAV-050111-G; Petroleum refinery: Waste from fuel purification. with bases;-;-
2014;EAV-050112-G; Petroleum Refining: Acidic Oils;-;-
2014;EAV-050113-U; Petroleum refining: sludges from boiler feed water treatment.;-;-
2014;EAV-050114-U; Petroleum refining: waste from cooling towers;3;0.1
2014;EAV-050115-G; Petroleum refining: used filter clays;10;0.4
2014;EAV-050116-U; Petroleum Ref.:Sulphur. waste from oil desulfurization;8;0.2
2014;EAV-050117-U; Petroleum refining: bitumen;6;0.2
2014;EAV-050199-U; Petroleum refining: wastes not otherwise specified;-;-
2014;EAV-050601-G; coal pyrolysis: acid tars;-;-
2014;EAV-050603-G; Coal pyrolysis: Other tars;33;11.4
2014;EAV-050604-U; Coal pyrolysis: waste from cooling columns;-;-
2014;EAV-050699-U; Coal pyrolysis: wastes not otherwise specified;-;-
2014;EAV-050701-G; Natural gas cleaning, transport: mercury h. waste;-;-
2014;EAV-050702-U; Natural gas cleaning, transport:Sulphurous waste;11;0.1
2014;EAV-050799-U; Natural gas cleaning, transport: waste not otherwise specified;3;0.0
2014;EAV-06;Wastes from inorganic chemical processes;;
2014;EAV-060101-G; sulfuric acid and sulphurous acid;171;142.5
2014;EAV-060102-G; hydrochloric acid;40;7.4
2014;EAV-060103-G; hydrofluoric acid;11;0.4
2014;EAV-060104-G; phosphoric acid and phosphorous acid;33;0.4
2014;EAV-060105-G; nitric acid and nitrous acid;28;0.9
2014;EAV-060106-G; Other acids;723;8.0
2014;EAV-060199-U; Acids: waste not otherwise specified;19;0.5
2014;EAV-060201-G; calcium hydroxide; 9; 0.4
2014;EAV-060203-G; ammonium hydroxide;35;7.8
2014;EAV-060204-G; sodium and potassium hydroxide;54;6.5
2014;EAV-060205-G; Other bases; 586; 8.6
2014;EAV-060299-U; Bases: waste not otherwise specified;6;0.0
2014;EAV-060311-G; Solid salts and solutions containing cyanide;18;0.2
2014;EAV-060313-G; Solid salts and solutions containing heavy metals;113;7.3
2014;EAV-060314-U; Solid salts and solutions (excluding 060311 and 060313);219;140.3
2014;EAV-060315-G; metal oxides containing heavy metals;24;3,7
2014;EAV-060316-U; metal oxides (excluding 060315);52;42.5
2014;EAV-060399-U; Salts, saline solutions, metal oxides: wastes not otherwise specified;15;0.3
2014;EAV-060403-G; Waste containing arsenic;8;0.4
2014;EAV-060404-G; Waste containing mercury;568;4.1
2014;EAV-060405-G; wastes containing other heavy metals;67;39.6
2014;EAV-060499-U; Waste containing metal not otherwise specified;6;1.0
2014;EAV-060502-G; Sludges from on-site wastewater treatment;70;56.9
2014;EAV-060503-U; sludge from on-site Sewage treatment (oh.060502);119;102.2
2014;EAV-060602-G; wastes containing hazardous sulphides;7;0.5
2014;EAV-060603-U; Waste containing sulfide (excluding 060602);4;0.0
2014;EAV-060699-U; Sulphur-containing chemicals: wastes not otherwise specified;3;2,6
