year,data_belong_to,eav_code,types_of_waste,etroi_establishments_number,generated_waste_quantity
2010,Germany as a whole,EAV-140605-G, Sludges solid waste (other solvents),88,2.1
2010,Germany as a whole,EAV-15,Packaging all absorbent masses wipes,,
2010,Germany as a whole,EAV-150101-U, Paper and cardboard packaging,12275,1656.2
2010,Germany as a whole,EAV-150102-U, Plastic packaging,8911,424.4
2010,Germany as a whole,EAV-150103-U, Packaging made of wood,6122,348.3
2010,Germany as a whole,EAV-150104-U, Packaging made of metal,1035,48.4
2010,Germany as a whole,EAV-150105-U, composite packs,417,68.7
2010,Germany as a whole,EAV-15010600-U, Mixed packaging not distinguishable,6159,610.6
2010,Germany as a whole,EAV-15010601-U, Light packaging (LVP),1535,34.9
2010,Germany as a whole,EAV-15010602-U, Mixed recyclables together with light packaging,,
2010,Germany as a whole,EAV-150107-U, Glass packaging,947,118.4
2010,Germany as a whole,EAV-150109-U, Packaging from textiles,30,0.9
2010,Germany as a whole,EAV-150110-G, Packaging with residues of hazardous substances,3919,36.1
2010,Germany as a whole,EAV-150111-G, Packaging made of metal,122,0.3
2010,Germany as a whole,EAV-150202-G, Suction and filter materials wipes,8287,118.6
2010,Germany as a whole,EAV-150203-U, Suction and filter materials (without 150202),545,25.0
2010,Germany as a whole,EAV-16,Cases not otherwise listed in the directory,,
2010,Germany as a whole,EAV-160103-U, old tires,685,60.9
2010,Germany as a whole,EAV-160104-G, old vehicles,26,12.8
2010,Germany as a whole,EAV-160106-U, Old vehicles without hazardous components,16,0.7
2010,Germany as a whole,EAV-160107-G, Old vehicles: Oil filters,434,1.4
2010,Germany as a whole,EAV-160108-G, End of Life Vehicles: Quicksilver-containing body parts,5,0.0
2010,Germany as a whole,EAV-160109-G, Old vehicles: Parts that contain PCBs,6,0.1
2010,Germany as a whole,EAV-160110-G, End-of-life vehicles: Explosive vehicles (e.g. from airbags),38,0.4
2010,Germany as a whole,EAV-160111-G, Late vehicles: Asbestos-containing brakes,3,0.0
2010,Germany as a whole,EAV-160112-U, Brake pads (one 160111),30,2.7
2010,Germany as a whole,EAV-160113-G, Old vehicles: Bremsfelden,173,0.7
2010,Germany as a whole,EAV-160114-G, End-of-life vehicles: antifreeze m.dangerous. fabrics,488,3.6
2010,Germany as a whole,EAV-160115-U, Frostproof material (without 160114),24,0.1
2010,Germany as a whole,EAV-160116-U, End-of-life vehicles: liquid gas containers,,
2010,Germany as a whole,EAV-160117-U, End-of-life vehicles: ferrous metals,294,217.0
2010,Germany as a whole,EAV-160118-U, End-of-life vehicles: non-ferrous metals,137,17.6
2010,Germany as a whole,EAV-160119-U, End-of-life vehicles: Plastic,182,9.5
2010,Germany as a whole,EAV-160120-U, Old vehicles: glass,122,7.9
2010,Germany as a whole,EAV-16012100-G, To install Danger Parts(oh.160107-160111160113-160114),25,1.1
2010,Germany as a whole,EAV-16012101-G, To install Danger. metal.components(oh.160107-11160113-14),7,0.6
2010,Germany as a whole,EAV-16012102-G, To install Danger. n.metal.components(oh.160107-11160113-14),,
2010,Germany as a whole,EAV-16012200-U, Batteries not differentiable,16,3.2
2010,Germany as a whole,EAV-16012201-U,metallic parts,32,0.7
2010,Germany as a whole,EAV-16012202-U, Non-metallic bottles,6,0.1
2010,Germany as a whole,EAV-160199-U, End-of-life vehicles: waste angle,31,2.4
2010,Germany as a whole,EAV-160209-G, Transformers and Capacitors the PCB contains.,277,0.5
2010,Germany as a whole,EAV-160210-G, Used devices that contain PCB (oh.160209),37,0.1
2010,Germany as a whole,EAV-160211-G, used equipment,725,1.1
2010,Germany as a whole,EAV-160212-G, Used appliances that contain free asbestos,50,0.3
2010,Germany as a whole,EAV-160213-G, Gebr. Devices with danger. Parts (oh.160209-12),2305,23.8
2010,Germany as a whole,EAV-160214-U, Used equipment (ones 160209 to 160213),1663,21.3
2010,Germany as a whole,EAV-16021500-G, Removes dangerous items from used equipment.,55,0.3
2010,Germany as a whole,EAV-16021501-G, Quicksilver-containing falls,10,0.0
2010,Germany as a whole,EAV-16021502-G, board plates,57,0.4
2010,Germany as a whole,EAV-16021503-G, toner cartridges,251,0.3
2010,Germany as a whole,EAV-16021504-G, Plastics with brominated flame retardants,,
2010,Germany as a whole,EAV-16021505-G, Asbestos containing bottles,4,0.1
2010,Germany as a whole,EAV-16021506-G, cathode ray tubes,6,0.0
2010,Germany as a whole,EAV-16021507-G, gas injection lamps,14,0.0
2010,Germany as a whole,EAV-16021508-G, flowing crystal display,,
2010,Germany as a whole,EAV-16021509-G,External electrical lines,43,0.2
2010,Germany as a whole,EAV-16021510-G, Parts that contain fireproof ceramic fibers,,
2010,Germany as a whole,EAV-16021511-G, Electrolytes - Capacitors,3,0.0
2010,Germany as a whole,EAV-16021512-G, Cadmium- or selenium-containing photoconductor drums,,
2010,Germany as a whole,EAV-16021600-U, Out of used devices removed. Parts (oh.160215),283,6.2
2010,Germany as a whole,EAV-16021601-U, External electrical cables (including cables),181,0.7
2010,Germany as a whole,EAV-160303-G, Bad batches: inorganic waste with hazardous substances,44,1.3
2010,Germany as a whole,EAV-160304-U, Inorganic Falls (without 160303),86,5.4
2010,Germany as a whole,EAV-160305-G, Faulty charging: Organic disorders m.dangerous. substances,94,3.1
2010,Germany as a whole,EAV-160306-U, Organic Falls (without 160305),116,14.5
2010,Germany as a whole,EAV-160401-G, ammunition file,,
2010,Germany as a whole,EAV-160402-G, firework bodies collapse,4,0.1
2010,Germany as a whole,EAV-160403-G, Other explosive cases,14,0.2
2010,Germany as a whole,EAV-160504-G, Gases in pressure vessels containing hazardous substances.,1013,2.0
2010,Germany as a whole,EAV-160505-U, Gas in Pressure Container (without 160504),46,0.0
2010,Germany as a whole,EAV-160506-G, Laboratory chemicals from dangerous substances,898,2.9
2010,Germany as a whole,EAV-160507-G, Used inorganic chemicals,1361,3.8
2010,Germany as a whole,EAV-160508-G, Used organic chemicals,1262,4.7
2010,Germany as a whole,EAV-160509-U, Used chemicals (one 160506-160508),116,0.6
2010,Germany as a whole,EAV-160601-G, leadbatteries,1912,31.1
2010,Germany as a whole,EAV-160602-G, Ni-Cd batteries,240,0.2
2010,Germany as a whole,EAV-160603-G, Batteries containing quicksilver,14,0.1
2010,Germany as a whole,EAV-160604-U, Alkaline batteries (other 160603),491,0.3
2010,Germany as a whole,EAV-160605-U, Other Batteries and Accumulators,176,0.4
2010,Germany as a whole,EAV-160606-G, Separately collected electrolyte a. Batteries accu.,26,1.4
2010,Germany as a whole,EAV-160708-G, Tanks Falls: Oil-containing Falls,877,54.9
2010,Germany as a whole,EAV-160709-G, Tanks Falls: Falls with other hazards. St.,113,10.1
2010,Germany as a whole,EAV-160799-U, tanks,13,2.2
2010,Germany as a whole,EAV-160801-U, Used Catalysts (without 160807),27,1.3
2010,Germany as a whole,EAV-160802-G, Used catalysts. with.hazardous.transition.metals,72,9.4
2010,Germany as a whole,EAV-160803-U, Used catalysts with transition metals,19,1.1
2010,Germany as a whole,EAV-160804-U, Used Catalysts v. crack proc.(without 160807),10,3.8
2010,Germany as a whole,EAV-160805-G, Used catalysts with phosphoric acid,4,0.2
2010,Germany as a whole,EAV-160806-G,Used liquids (catalysts),7,0.8
2010,Germany as a whole,EAV-160807-G, Catalysts used with dangerous substances,64,5.3
2010,Germany as a whole,EAV-160901-G, Permanganates e.g. potassium permanganates,,
2010,Germany as a whole,EAV-160902-G, Chromates (potassium chromate potassium or sodium dichromates),3,0.0
2010,Germany as a whole,EAV-160903-G, Peroxides,11,0.0
2010,Germany as a whole,EAV-160904-G, oxidizing substances,,
2010,Germany as a whole,EAV-161001-G, Liquid wastes with hazardous substances,108,10.1
2010,Germany as a whole,EAV-161002-U, Watery liquid waterfalls (without 161001),144,35.0
2010,Germany as a whole,EAV-161003-G, Water concentrate with dangerous substances,76,7.0
2010,Germany as a whole,EAV-161004-U, Water Concentrate (without 161003),13,13.4
2010,Germany as a whole,EAV-161101-G, Fire-fighting materials made from metallurgy. processes,17,4.8
2010,Germany as a whole,EAV-161102-U, Fireproof Mat. made of metallurgical. Proc. (oh.161101),35,5.4
2010,Germany as a whole,EAV-161103-G, Other clothing and fireproof materials,40,9.9
2010,Germany as a whole,EAV-161104-U, Fireproof Mat. made of metallurgical. percent (oh.161103),230,288.1
2010,Germany as a whole,EAV-161105-G, Fire-fighting materials made from non-metallurgy. Proc.,55,13.3
2010,Germany as a whole,EAV-161106-U,Refractory mat. a. non-metallurgical process (oh.161105),121,27.8
2010,Germany as a whole,EAV-17,construction and demolition waste,,
2010,Germany as a whole,EAV-170101-U, concrete,884,909.7
2010,Germany as a whole,EAV-170102-U, brick,350,47.5
2010,Germany as a whole,EAV-170103-U, Tiles and Ceramics,270,17.6
2010,Germany as a whole,EAV-170106-G, Mixtures from o. separate fractions v. concrete etc,299,125.1
2010,Germany as a whole,EAV-170107-U, Mixes of concrete brick etc. (oh.170106),2269,819.7
2010,Germany as a whole,EAV-170201-U, wooden,3471,192.2
2010,Germany as a whole,EAV-170202-U, glasses,549,20.2
2010,Germany as a whole,EAV-170203-U, plastic,669,21.6
2010,Germany as a whole,EAV-170204-G, Glass plastic and wood with dangerous substances,877,160.4
2010,Germany as a whole,EAV-170301-G, coal-based bituminous,230,100.7
2010,Germany as a whole,EAV-170302-U, Bitumen mixtures (without 170301),376,161.9
2010,Germany as a whole,EAV-170303-G, Kohltan oil and oil containing products,220,9.4
2010,Germany as a whole,EAV-170401-U, Copper bronze brass,774,19.6
2010,Germany as a whole,EAV-170402-U, aluminum,1329,56.0
2010,Germany as a whole,EAV-170403-U, white,66,0.2
2010,Germany as a whole,EAV-170404-U, Zinc,57,8.2
2010,Germany as a whole,EAV-170405-U, Iron and Steel,2991,1268.1
2010,Germany as a whole,EAV-170406-U, tin,40,0.4
2010,Germany as a whole,EAV-170407-U, mixed metals,1558,347.4
2010,Germany as a whole,EAV-170409-G,metallabs containing hazardous substances,96,17.1
2010,Germany as a whole,EAV-170410-G, Cables that contain oil coal tar etc. substances incl.,125,2.0
2010,Germany as a whole,EAV-170411-U, Cable (OH 170410),1396,186.7
2010,Germany as a whole,EAV-170503-G, Soil and rocks that contain hazardous substances,335,535.8
2010,Germany as a whole,EAV-170504-U, Soil and Stones (OH 170503),688,2376.5
2010,Germany as a whole,EAV-170505-G, Dredged material which contains dangerous substances,8,0.7
2010,Germany as a whole,EAV-170506-U, Dredged material (without 170505),29,403.6
2010,Germany as a whole,EAV-170507-G, Track Ballast the dangerous stuff contained,21,416.2
2010,Germany as a whole,EAV-170508-U, Track ballast (OH 170507),45,2147.9
2010,Germany as a whole,EAV-170601-G, Damp material that contains asbestos,47,0.5
2010,Germany as a whole,EAV-170603-G, Different insulation material,1162,17.9
2010,Germany as a whole,EAV-170604-U, Insulation material (oh 170601 and 170603),486,20.1
2010,Germany as a whole,EAV-170605-G, asbestos containing materials,717,17.8
2010,Germany as a whole,EAV-170801-G, De-cleaned building materials on a plaster basis,5,0.1
2010,Germany as a whole,EAV-170802-U, Gypsum-based building materials (oh 170801),449,55.6
2010,Germany as a whole,EAV-170901-G, Build-and-Breakdown Falls which contain quicksilver,9,0.4
2010,Germany as a whole,EAV-170902-G,Construction and demolition waste that contain PCBs,29,0.6
2010,Germany as a whole,EAV-170903-G, Other construction and demolition cases,94,10.2
2010,Germany as a whole,EAV-170904-U, Mixed construction and demolition waste (oh.170901-170903),2971,166.2
2010,Germany as a whole,EAV-18,Fall from the medical care,,
2010,Germany as a whole,EAV-180101-U, Sharp or sharp objects (outside 180103),92,1.2
2010,Germany as a whole,EAV-180102-U, Body parts organs blood preservation (other 180103),518,2.9
2010,Germany as a whole,EAV-180103-G, Waste (esp. requirement from infection prevention sight),724,11.5
2010,Germany as a whole,EAV-180104-U, Wraps plaster wraps wash one-way clothing diapers,613,222.1
2010,Germany as a whole,EAV-180106-G, Chemicals which consist of dangerous substances,52,0.3
2010,Germany as a whole,EAV-180107-U, Chemicals (without 180106),22,0.7
2010,Germany as a whole,EAV-180108-G, Cytotox. and cytostatic drugs for humans,493,2.7
2010,Germany as a whole,EAV-180109-U, Medicines (without 180108),152,7.0
2010,Germany as a whole,EAV-180110-G, Amalgam cases from dentistry,12,0.0
2010,Germany as a whole,EAV-180201-U, Point or sharp objects (one 180202),6,0.0
2010,Germany as a whole,EAV-180202-G, Waste (esp. requirement from infection prevention sight),43,0.5
2010,Germany as a whole,EAV-180203-U, Waste (without special requirements for an infection-prevention view),44,1.9
2010,Germany as a whole,EAV-180205-G, Chemicals which consist of dangerous substances,5,0.0
2010,Germany as a whole,EAV-180206-U, Chemicals (without 180205),5,0.0
2010,Germany as a whole,EAV-180207-G, Cytotoxic and cytostatic drugs for animals,3,0.0
2010,Germany as a whole,EAV-180208-U, Medicines (OH 180207),7,0.0
2010,Germany as a whole,EAV-19,Waste from waste treatment facilities etc,,
2010,Germany as a whole,EAV-190102-U, Combustion pyrolysis: iron parts a.rust and boiler ash,4,1.9
2010,Germany as a whole,EAV-190105-G, Combustion.Pyrolysis: Filter cake from gas treated.,8,11.9
2010,Germany as a whole,EAV-190106-G, Combustion pyrolysis: Aqueous liquid waste from exhaust gas tank,8,15.2
2010,Germany as a whole,EAV-190107-G, Incineration pyrolysis: Solid waste a. To install exhaust gas treatment.,17,26.0
2010,Germany as a whole,EAV-190110-G, Combustion pyrolysis: Gebr. Activated charcoal a. To install exhaust gas treatment,5,0.0
2010,Germany as a whole,EAV-190111-G, Combustion pyrolysis: bottom ash boiler ash slag,22,56.9
2010,Germany as a whole,EAV-190112-U, Roast and boiler ash as well as slag (oh.190111),48,363.7
2010,Germany as a whole,EAV-190113-G, Combustion. Pyrolysis: Filter dust with danger. St.,18,29.8
2010,Germany as a whole,EAV-190114-U, Filter dust (without 190113),5,26.2
2010,Germany as a whole,EAV-190115-G,Combustion pyrolysis: Boiler dust with hazardous fabrics,3,1.5
2010,Germany as a whole,EAV-190116-U, Boiler Dust (OH 190115),,
2010,Germany as a whole,EAV-190117-G, Pyrolysis cases that contain hazardous substances,4,0.2
2010,Germany as a whole,EAV-190118-U, Pyrolysis seeds (without 190117),3,0.1
2010,Germany as a whole,EAV-190119-U, Combustion.Pyrolysis:Sands from fluidized bed combustion,,
2010,Germany as a whole,EAV-190199-U, Burning Pyrolysis of Fallen: Attack Fallen,,
2010,Germany as a whole,EAV-190203-U, The previously mixed falls are not dangerous. Falling,4,0.2
2010,Germany as a whole,EAV-190204-G, Premixed waste with at least one in danger,7,0.0
2010,Germany as a whole,EAV-190205-G, Sludge from the physical-chemical treatment,243,32.4
2010,Germany as a whole,EAV-190206-U, mud a. physical-chemical treatment (oh.190205),32,1.4
2010,Germany as a whole,EAV-190207-G, Oil and Concentrate from Extraction Processes,42,8.5
2010,Germany as a whole,EAV-190208-G, Floating incident falls with danger. substances,,
2010,Germany as a whole,EAV-190209-G, Festivities with dangerous substances,,
2010,Germany as a whole,EAV-190210-U, Combustible waste (oh 190208 and 190209),3,0.1
2010,Germany as a whole,EAV-190211-G,Other items that contain hazardous substances,22,0.3
2010,Germany as a whole,EAV-19029900-U, Physics-Chem. Treatment of waste: waste,,
2010,Germany as a whole,EAV-19029950-U, Products resulting from waste treatment,,
2010,Germany as a whole,EAV-190304-G, As dangerous. inserted parts. stabilized dep.,,
2010,Germany as a whole,EAV-190305-U, Stabilized Cases (oh 190304),4,1.9
2010,Germany as a whole,EAV-190306-G, Solidified ones classified as fermenting,,
2010,Germany as a whole,EAV-190307-U, Solidified waste (oh 190306),,
2010,Germany as a whole,EAV-190401-U, Glazed Affall,,
2010,Germany as a whole,EAV-190402-G, Filter dust and waste from the exhaust gas treatment,,
2010,Germany as a whole,EAV-190403-G, Non-vitrified solid phase,,
2010,Germany as a whole,EAV-190404-U, Wet liquid waste from the temper,,
2010,Germany as a whole,EAV-190501-U, Non-composted fractions from municipal waste,3,0.0
2010,Germany as a whole,EAV-190502-U, Non-composted fraction v. tier.u.plantzl.Abf.,,
2010,Germany as a whole,EAV-190503-U, Out of specification compost,,
2010,Germany as a whole,EAV-19059900-U, Absences and nothing differentiable,,
2010,Germany as a whole,EAV-19059901-U, Compost (specified),8,1.0
2010,Germany as a whole,EAV-190603-U, Fluids from the treatment of collapsed lungs,,
2010,Germany as a whole,EAV-190604-U, Digestate/sludge from tank v.municipal waste,,
2010,Germany as a whole,EAV-190605-U, Liquids from well. v. animal and plant fall,,
2010,Germany as a whole,EAV-190606-U, Fermentation residue/sludge a. Container for animal and plant waste,,
2010,Germany as a whole,EAV-190699-U, Anaerobic Treatment of Fall: Fall and,,
2010,Germany as a whole,EAV-190702-G, Landfill leachate the danger. Contents,,
2010,Germany as a whole,EAV-190703-U, Landfill leachate (OH 190702),4,174.3
2010,Germany as a whole,EAV-190801-U, Sieve and rake residues,129,15.9
2010,Germany as a whole,EAV-190802-U, Sand trap residues,134,19.5
2010,Germany as a whole,EAV-190805-U, Sludge from the treatment v. municipal waste water,41,302.4
2010,Germany as a whole,EAV-190806-G, Ion exchange resins added or used,56,0.2
2010,Germany as a whole,EAV-190807-G, Solutions and sludges from regeneration v. ion exchange,,
2010,Germany as a whole,EAV-190808-G, Heavy metal effluents from membrane systems,,
2010,Germany as a whole,EAV-190809-U, Fat and oil mixtures from oil separators (edible oils),207,15.1
2010,Germany as a whole,EAV-190810-G,Grease and oil mixtures from oil separators (oh.190809),27,0.6
2010,Germany as a whole,EAV-190811-G, Sludge from biol.Trendment of industr.Awnwater,19,310.5
2010,Germany as a whole,EAV-190812-U, mud a. biol.beh.v.industr.wastewater (oh.190811),70,524.0
2010,Germany as a whole,EAV-190813-G, Shells with danger. Stuff from industrial wastewater,122,117.9
2010,Germany as a whole,EAV-190814-U, Sludge from industrial water purifier (one 190813),312,92.2
2010,Germany as a whole,EAV-190899-U, sewage treatment plants,16,12.1
2010,Germany as a whole,EAV-190901-U, Solid waste from primary filtration and screen residues,33,12.3
2010,Germany as a whole,EAV-190902-U, slime from the water clarification,151,165.1
2010,Germany as a whole,EAV-190903-U, Sludge from the decarbonization,41,168.7
2010,Germany as a whole,EAV-190904-U, Used activated carbon,61,1.5
2010,Germany as a whole,EAV-190905-U, Gelled or used ion exchange resins,114,1.8
2010,Germany as a whole,EAV-190906-U, Solutions and sludges from regeneration v. ion exchange,6,11.5
2010,Germany as a whole,EAV-190999-U, Industrial water: waste nec,7,2.0
2010,Germany as a whole,EAV-191001-U, Iron and steel waste,44,7.1
2010,Germany as a whole,EAV-191002-U, non-ferrous metal waste,15,2.5
2010,Germany as a whole,EAV-191003-G, Shredderlight fractions and dust,,
2010,Germany as a whole,EAV-191004-U,Shredderlight fractions and dust (one 191003),3,0.1
2010,Germany as a whole,EAV-191005-G, Other facts the danger. Ingredients,,
2010,Germany as a whole,EAV-191006-U, Other Fractions (oh 191005),5,4.5
2010,Germany as a whole,EAV-191101-G, Tool preparation: Used Filtertone,10,3.1
2010,Germany as a whole,EAV-191102-G, Alcohol Preparation: Acidity,,
2010,Germany as a whole,EAV-191103-G, Oil Treatment: Wet Liquid Wastes,,
2010,Germany as a whole,EAV-191104-G, Waste oil processing: Abf.ad fuel cleaning with bases,,
2010,Germany as a whole,EAV-191105-G, Waste oil processing: sludge (in-house waste water treatment),13,0.7
2010,Germany as a whole,EAV-191106-U, sludge from operational Waste water treatment (oh.191105),4,0.1
2010,Germany as a whole,EAV-191107-G, High purity cleaning: Waste from exhaust gas cleaning,,
2010,Germany as a whole,EAV-19119900-U, fall out,3,0.0
2010,Germany as a whole,EAV-19119950-U, Base oil (extract material for lubricant) (SK),6,0.0
2010,Germany as a whole,EAV-19119951-U, Lubricant (SS),6,0.0
2010,Germany as a whole,EAV-19119952-U, Middle distillate component,,
2010,Germany as a whole,EAV-19119953-U, Heat oil light (including diesel) (HL),,
2010,Germany as a whole,EAV-19119954-U, Heavy Oil Component,,
2010,Germany as a whole,EAV-19119955-U,Heavy oil (HS),,
2010,Germany as a whole,EAV-19120100-U, Mech. Abscess treatment: Paper Paper not diff.,230,62.0
2010,Germany as a whole,EAV-19120101-U, Mech.Avoid treatment: Lower Sort (Group I),66,55.8
2010,Germany as a whole,EAV-19120102-U, Mech.Affall treatment: medium varieties (group II),28,10.2
2010,Germany as a whole,EAV-19120103-U, Mech.Affect Treatment: Better Varieties (Group III),30,7.7
2010,Germany as a whole,EAV-19120104-U, Mech.Accident treatment: Strong varieties (Gr.IV),3,0.6
2010,Germany as a whole,EAV-19120105-U, Mech.Avulsion Treatment: Special Sort (Group V),10,0.9
2010,Germany as a whole,EAV-191202-U, Mech.waste treatment:Isonmetal,135,40.8
2010,Germany as a whole,EAV-191203-U, Mech. Fall treatment: Non-iron metals,52,5.5
2010,Germany as a whole,EAV-191204-U, Mech.Absorption treatment: Plastic and Gum,219,53.2
2010,Germany as a whole,EAV-19120500-U, Mech. Fall treatment: Glass not differentiable,28,7.0
2010,Germany as a whole,EAV-19120501-U, Mechanical case treatment: white glass,37,7.6
2010,Germany as a whole,EAV-19120502-U, Mech. Fall Treatment: Brown Glass,16,1.9
2010,Germany as a whole,EAV-19120503-U, Mechanical waste handling: green glass,19,2.1
2010,Germany as a whole,EAV-19120504-U, Mech. Fall Treatment: Broken Glass,11,1.1
2010,Germany as a whole,EAV-19120505-U,Mech.Fall treatment: Mixed glass,29,3.1
2010,Germany as a whole,EAV-191206-G, Mech.falltreatment: Wood with dangerous. fabrics,10,1.9
2010,Germany as a whole,EAV-191207-U, wood (without 191206),70,7.2
2010,Germany as a whole,EAV-191208-U, Mech.Fall treatment:Textile,8,2.8
2010,Germany as a whole,EAV-19120900-U, Mech.Downfall treatment: Mineral (Sand Stone),41,35.1
2010,Germany as a whole,EAV-19120901-U, Devices for use in the streets. Road construction,,
2010,Germany as a whole,EAV-19120902-U, Products for use in other earthworks,,
2010,Germany as a whole,EAV-19120903-U, Products for use in concrete mixing plants,,
2010,Germany as a whole,EAV-19120904-U, Products for use in asphalt mixing plants,,
2010,Germany as a whole,EAV-19120905-U, products for other uses,,
2010,Germany as a whole,EAV-19120906-U, Hot mix for road and sidewalk construction,,
2010,Germany as a whole,EAV-191210-U, Burnable debris,25,8.0
2010,Germany as a whole,EAV-191211-G, Other waste (including material mixtures),19,2.5
2010,Germany as a whole,EAV-191212-U, Other waste (oh 191211),93,79.6
2010,Germany as a whole,EAV-191301-G, Feast wastes from soil remediation,4,0.0
2010,Germany as a whole,EAV-191302-U, Celebrations from soil remediation (oh.191301),,
2010,Germany as a whole,EAV-191303-G, Sludge from the remediation of soil,3,0.3
2010,Germany as a whole,EAV-191304-U, Sludge from the cleaning of soil (oh.191303),,
2010,Germany as a whole,EAV-191305-G, Sludge from the remediation of groundwater,6,0.1
2010,Germany as a whole,EAV-191306-U, Sludge from groundwater remediation (oh.191305),7,0.3
2010,Germany as a whole,EAV-191307-G, Aqueous waste and concentrates from groundwater remediation.,,
2010,Germany as a whole,EAV-191308-U, Aqueous waste and conc. a.Ground water san. (oh.191307),,
2010,Germany as a whole,EAV-20,Municipal waste (household waste and similar waste),,
2010,Germany as a whole,EAV-200101-U, paper and paper,8762,1363.7
2010,Germany as a whole,EAV-200102-U, glasses,1368,101.4
2010,Germany as a whole,EAV-200108-U, Biologically Aerated Kitchens and Canteens,3008,156.4
2010,Germany as a whole,EAV-200110-U, clothing,,
2010,Germany as a whole,EAV-200111-U, textiles,95,1.9
2010,Germany as a whole,EAV-200113-G, Solvent,313,1.6
2010,Germany as a whole,EAV-200114-G, acid,233,0.9
2010,Germany as a whole,EAV-200115-G, Lye,193,0.4
2010,Germany as a whole,EAV-200117-G, photochemicals,100,0.1
2010,Germany as a whole,EAV-200119-G, pesticides,,
2010,Germany as a whole,EAV-200121-G, Fluorescent tubes and quicksilver-containing droplets,5252,8.1
2010,Germany as a whole,EAV-200123-G,Used equipment with fluorochloric water materials,665,1.0
2010,Germany as a whole,EAV-200125-U, edible oils and fats,539,38.8
2010,Germany as a whole,EAV-200126-G, Oil and fats (without 200125),162,4.2
2010,Germany as a whole,EAV-200127-G, Colour print adhesives and fine-grained,416,1.1
2010,Germany as a whole,EAV-200128-U, Colors printing inks adhesives synthetic resins (oh.200127),122,0.3
2010,Germany as a whole,EAV-200129-G, Cleaning agents that contain hazardous substances,79,0.1
2010,Germany as a whole,EAV-200130-U, Detergents (without 200129),48,0.1
2010,Germany as a whole,EAV-200131-G, Cytotoxic and cytostatic drugs,6,0.1
2010,Germany as a whole,EAV-200132-U, Medicines (OH 200131),103,4.1
2010,Germany as a whole,EAV-200133-G, Batteries and Accumulators (160601-160603),1044,1.5
2010,Germany as a whole,EAV-200134-U, Batteries and Accumulators (without 200133),246,0.1
2010,Germany as a whole,EAV-200135-G, Used electrical appliances (oh.200121200123),3208,23.9
2010,Germany as a whole,EAV-200136-U, Used electrical equipment (oh.200121200123200135),1509,14.3
2010,Germany as a whole,EAV-200137-G, Wood which contains dangerous substances,94,1.9
2010,Germany as a whole,EAV-200138-U, Wood (Without 200137),1303,63.0
2010,Germany as a whole,EAV-200139-U, plastic,2641,115.6
2010,Germany as a whole,EAV-200140-U, metals,3771,445.0
2010,Germany as a whole,EAV-200141-U, Waste from the cleaning of hornstones,7,0.2
2010,Germany as a whole,EAV-200199-U, Other fractions,91,5.1
2010,Germany as a whole,EAV-20019900-U, Other fractions and not differentiable,,
2010,Germany as a whole,EAV-20019901-U, Mixed commodities without light packaging,,
2010,Germany as a whole,EAV-200201-U, biologically degradable wastes,3727,295.2
2010,Germany as a whole,EAV-200202-U, Boden and Stone,69,13.7
2010,Germany as a whole,EAV-200203-U, Other non-biologically abductable wastes,30,1.5
2010,Germany as a whole,EAV-20030100-U, Mixed municipal waste cannot be differentiated,3841,275.6
2010,Germany as a whole,EAV-20030101-U, household waste,4803,341.9
2010,Germany as a whole,EAV-20030102-U, household business activities,10600,912.2
2010,Germany as a whole,EAV-20030104-U, Fall from the Biobin,622,13.9
2010,Germany as a whole,EAV-200302-U, market waste,37,4.2
2010,Germany as a whole,EAV-200303-U, street court,509,40.4
2010,Germany as a whole,EAV-200304-U, fecal sludge,268,49.0
2010,Germany as a whole,EAV-200306-U, Waste from sewer cleaning,163,13.4
2010,Germany as a whole,EAV-200307-U, bulky waste,1817,44.8
2010,Germany as a whole,EAV-200399-U, municipal waste,126,20.8
2010,Germany as a whole,EAV-99,dangerous accidents,,
2010,Germany as a whole,EAV-990000-G, Totally dangerous accidents,,
2014,Germany as a whole,EAV-01,Falls from the extraction of land values,,
2014,Germany as a whole,EAV-010101-U, Cases from dismantling v. metal-rich soil resources,7,2.0
2014,Germany as a whole,EAV-010102-U, Cases from dismantling v. non-metal Floor shows,5,4.9
2014,Germany as a whole,EAV-010304-G, Acid forming treatment residues a. sul. ore,,
2014,Germany as a whole,EAV-010305-G, Other treatment residues with hazardous substances,,
2014,Germany as a whole,EAV-010306-U, Treatment residues (other than 010304 and 010305),3,3.2
2014,Germany as a whole,EAV-010307-G, Cases from processing metallized earthenware,,
2014,Germany as a whole,EAV-010308-U, Dusty and powdery waste (oh 010307),5,1761.3
2014,Germany as a whole,EAV-010309-U, Red Mud from Aluminum Oxide Manufacturing(oh.010310),,
2014,Germany as a whole,EAV-010399-U, Verrab. of metals. Appreciation,,
2014,Germany as a whole,EAV-010407-G,Waste for further processing non-metal Ground visors,,
2014,Germany as a whole,EAV-010408-U, Falls of gravel and rock quarry (OH 010407),11,27.3
2014,Germany as a whole,EAV-010409-U, Fall of Sand and Clay,16,4.7
2014,Germany as a whole,EAV-010410-U, Dusty and powdery waste (oh 010407),19,2.3
2014,Germany as a whole,EAV-010411-U, Cases from processing v.potash and rock salt (oh.010407),10,25.1
2014,Germany as a whole,EAV-010412-U, Processing return including waste (oh.010407010411),,
2014,Germany as a whole,EAV-010413-U, Waste from stonemasonry and sawmill work (OH 010407),20,99.1
