Year,EAV Code,Waste Description,Number Of Waste Producers,Quantities Of Waste (1000t),Quantities Of Waste Generated By Primary Producers (1000t)
2009,EAV-170507-G,Track ballast containing dangerous substances,123.0,568.6,558.5
2009,EAV-170601-G,Insulating material that contains asbestos,145.0,4.4,4.2
2009,EAV-170603-G,other insulation material,2004.0,116.1,100.0
2009,EAV-170605-G,Building materials containing asbestos,3788.0,511.7,458.1
2009,EAV-170801-G,Contaminated gypsum-based building materials,14.0,0.6,0.6
2009,EAV-170901-G,Construction and demolition waste containing mercury,7.0,0.2,0.2
2009,EAV-170902-G,Construction and demolition waste containing PCBs,136.0,2.2,2.1
2009,EAV-170903-G,Other construction and demolition waste,274.0,29.9,29.2
2009,EAV-18,Waste from medical supplies,215.0,16.8,13.7
2009,EAV-180103-G,Waste (especially requirements from the point of view of preventing infection),131.0,13.6,11.1
2009,EAV-180106-G,Chemicals consisting of dangerous substances,22.0,0.2,0.2
2009,EAV-180108-G,cytotoxic. and cytostatic drugs for humans,72.0,1.8,1.6
2009,EAV-180110-G,Amalgam waste from dentistry,34.0,0.1,0.1
2009,EAV-180202-G,Waste (especially requirements from the point of view of preventing infection),47.0,1.0,0.8
2009,EAV-180205-G,Chemicals composed of hazardous substances,8.0,0.0,0.0
2009,EAV-180207-G,Cytotoxic and. cytostatic drugs for animals,,,
2009,EAV-19,Waste from waste treatment plants e.g.,1798.0,5226.1,2475.1
2009,EAV-190105-G,"Combustion, pyrolysis: filter cake from exhaust gas treatment.",33.0,39.8,20.4
2009,EAV-190106-G,"Combustion, pyrolysis: Aqueous liquid waste from flue gas tank",35.0,54.1,14.3
2009,EAV-190107-G,"Incineration, pyrolysis: solid waste a. Exhaust gas treatment",121.0,636.3,350.4
2009,EAV-190110-G,"Combustion, pyrolysis: Used activated carbon a. Exhaust gas tank",16.0,7.3,3.0
2009,EAV-190111-G,"Combustion, pyrolysis: grate, boiler ashes, slag",79.0,387.3,197.4
2009,EAV-190113-G,"Combustion, pyrolysis: filter dust with dangerous St.",126.0,553.4,297.9
2009,EAV-190115-G,"Combustion, pyrolysis: boiler dust is dangerous. fabrics",35.0,52.6,27.3
2009,EAV-190117-G,Pyrolysis Wastes containing dangerous substances,12.0,0.4,0.4
2009,EAV-190204-G,Premixed waste with at least one hazardous waste,114.0,527.6,113.5
2009,EAV-190205-G,Sludge from physical and chemical treatment,492.0,263.1,131.3
2009,EAV-190207-G,Oil and concentrates from separation processes,119.0,107.3,40.1
2009,EAV-190208-G,Liquid combustible waste with hazardous substances,25.0,28.5,19.3
2009,EAV-190209-G,Solid combustible waste containing hazardous substances,12.0,3.4,0.9
2009,EAV-190211-G,Other wastes containing dangerous substances,25.0,9.2,8.5
2009,EAV-190304-G,as dangerous classified partially stabilized waste,15.0,95.0,81.4
2009,EAV-190306-G,Solidified waste classified as hazardous,19.0,289.7,99.0
2009,EAV-190402-G,Filter dust and other waste from exhaust gas treatment,3.0,0.0,0.0
2009,EAV-190403-G,Non-vitrified solid phase,,,
2009,EAV-190702-G,"Landfill leachate, which is dangerous. contains substances",98.0,375.1,272.8
2009,EAV-190806-G,Saturated or spent ion exchange resins,53.0,0.4,0.4
2009,EAV-190807-G,Solutions and sludges from regeneration of ion exhaust.,,,
2009,EAV-190808-G,Waste containing heavy metals from membrane systems,9.0,10.2,9.9
2009,EAV-190810-G,Grease and oil mixtures from oil separators (oh.190809),33.0,2.7,1.5
2009,EAV-190811-G,Sludges from biological treatment of industrial waste water,33.0,91.8,91.1
2009,EAV-190813-G,Sludge with dangerous Substances from industrial wastewater,213.0,65.1,53.4
2009,EAV-191003-G,Shredder light fractions and dust,7.0,7.3,7.2
2009,EAV-191005-G,Other factions that are dangerous contain substances,6.0,9.6,6.1
2009,EAV-191101-G,Waste oil treatment: used filter clay,9.0,4.0,3.0
2009,EAV-191102-G,Waste oil processing: acid tars,,,
2009,EAV-191103-G,Waste oil processing: Aqueous liquid waste,15.0,1.7,0.8
2009,EAV-191104-G,Waste oil processing: Abf.a.d. Fuel cleaning with bases,,,
2009,EAV-191105-G,Waste oil treatment: sludge (company wastewater tank),32.0,2.9,2.7
2009,EAV-191107-G,Waste oil treatment: Waste from exhaust gas cleaning,,,
2009,EAV-191206-G,Mechanical waste treatment: wood with hazardous substances,300.0,1125.4,485.7
2009,EAV-191211-G,Other waste (including mixed materials),157.0,254.1,89.7
2009,EAV-191301-G,Solid waste from soil remediation,33.0,159.1,20.7
2009,EAV-191303-G,Sludge from soil remediation,16.0,37.8,1.2
2009,EAV-191305-G,Sludge from groundwater remediation,33.0,3.6,3.6
2009,EAV-191307-G,Aqueous wastewater and concentrates from groundwater remediation.,16.0,2.7,2.6
2009,EAV-20,Municipal waste (household waste and similar waste),784.0,112.9,96.4
2009,EAV-200113-G,solvent,259.0,6.8,6.1
2009,EAV-200114-G,acids,242.0,1.3,0.9
2009,EAV-200115-G,Lye,231.0,1.3,1.2
2009,EAV-200117-G,Photochemical,170.0,0.5,0.5
2009,EAV-200119-G,pesticides,256.0,1.7,1.4
2009,EAV-200121-G,Fluorescent tubes and other waste containing mercury,257.0,6.1,6.0
2009,EAV-200123-G,Used devices with chlorofluorocarbons,103.0,12.3,9.2
2009,EAV-200126-G,Oils and fats (excluding 200125),65.0,0.6,0.6
2009,EAV-200127-G,"Paints, printing inks, adhesives and synthetic resins",340.0,21.7,19.8
2009,EAV-200129-G,Detergents containing dangerous substances,89.0,0.5,0.4
2009,EAV-200131-G,Cytotoxic and cytostatic drugs,5.0,0.0,0.0
2009,EAV-200133-G,Batteries and accumulators (160601-160603),72.0,1.8,0.8
2009,EAV-200135-G,"Used electrical equipment (oh.200121,200123)",171.0,32.6,25.7
2009,EAV-200137-G,Wood containing dangerous substances,80.0,25.6,23.8
2010,EAV-01,Waste from the extraction of mineral resources,30.0,31.8,29.2
2010,EAV-010304-G,Acid-forming tailings a. sul. ore,,,
2010,EAV-010305-G,Other processing residues containing hazardous substances,,,
2010,EAV-010307-G,Waste from processing metal-bearing mineral resources,,,
2010,EAV-010407-G,Waste from further processing non-metal Mineral resources,3.0,0.5,0.5
2010,EAV-010505-G,Oily drilling muds and wastes,23.0,70.2,68.5
2010,EAV-010506-G,Drilling muds and other drilling waste with hazardous substances,5.0,0.8,0.8
2010,EAV-02,"Waste from agriculture, forestry, etc.",64.0,1.5,1.0
2010,EAV-020108-G,Agricultural chemical waste,64.0,1.5,1.0
2010,EAV-03,"Waste from wood processing, etc.",21.0,0.4,0.4
2010,EAV-030104-G,"Sawdust, shavings, cuttings, wood, chipboard",3.0,0.3,0.3
2010,EAV-030201-G,Halogen-free organic wood preservatives,6.0,0.0,0.0
2010,EAV-030202-G,Organochlorine wood preservatives,7.0,0.1,0.1
2010,EAV-030203-G,Organometallic wood preservatives,,,
2010,EAV-030204-G,Inorganic wood preservatives,,,
2010,EAV-030205-G,Other wood preservatives containing dangerous substances,,,
2010,EAV-04,"Waste from the leather, fur and textile industries",9.0,0.2,0.2
2010,EAV-040103-G,"Degreasing waste, solvent-free, non-liquid phase",,,
2010,EAV-040214-G,Waste from the finish with organ. solvent,6.0,0.1,0.1
2010,EAV-040216-G,Dyes and pigments containing dangerous substances,3.0,0.0,0.0
2010,EAV-040219-G,Textile industry: sludge (own waste water treatment),6.0,0.1,0.1
2010,EAV-05,"Waste from petroleum refining, natural gas purification",157.0,78.5,76.1
2010,EAV-050102-G,Petroleum refining: desalination sludges,,,
2010,EAV-050103-G,Petroleum refining: bottom sludge from tanks,57.0,19.2,18.3
2010,EAV-050104-G,Petroleum refining: Acid alkyl sludges,,,
2010,EAV-050105-G,Petroleum Refining: Oil Spills,,,
2010,EAV-050106-G,Petroleum refining: oil holding sludge a.,55.0,15.4,15.2
2010,EAV-050107-G,Petroleum refining: acid tars,,,
2010,EAV-050108-G,Petroleum refining: Other teas,6.0,0.2,0.2
2010,EAV-050109-G,Petroleum refinery: sludge (in-house waste water treatment),14.0,15.5,15.3
2010,EAV-050111-G,Petroleum refinery: Waste from fuel purification. with bases,,,
2010,EAV-050112-G,Petroleum Refining: Acidic Oils,,,
2010,EAV-050115-G,Petroleum Refining: Used filter clays,15.0,1.9,0.9
2010,EAV-050601-G,Coal pyrolysis: acid tars,,,
2010,EAV-050603-G,Kohlepyrolyse: Andere Teere,47.0,25.0,25.0
2010,EAV-050701-G,"Natural gas cleaning, transport: mercury h. waste",5.0,0.7,0.7
2010,EAV-06,Waste from inorganic chemical processes,1013.0,422.7,370.9
2010,EAV-060101-G,sulfuric acid and sulphurous acid,181.0,113.1,111.1
2010,EAV-060102-G,hydrochloric acid,55.0,11.9,10.7
2010,EAV-060103-G,hydrofluoric acid,13.0,0.4,0.4
2010,EAV-060104-G,Phosphoric acid and phosphorous acid,32.0,0.9,0.8
2010,EAV-060105-G,Nitric acid and nitrous acid,54.0,2.4,2.4
2010,EAV-060106-G,other acids,221.0,24.4,21.7
2010,EAV-060201-G,Calciumhydroxid,10.0,1.3,1.3
2010,EAV-060203-G,Ammoniumhydroxid,65.0,6.4,6.4
2010,EAV-060204-G,Sodium and potassium hydroxide,57.0,7.5,6.9
2010,EAV-060205-G,Other Bases,219.0,21.2,20.2
2010,EAV-060311-G,Solid salts and solutions containing cyanide,28.0,0.5,0.4
2010,EAV-060313-G,Solid salts and solutions containing heavy metals,130.0,14.8,12.5
2010,EAV-060315-G,Metal oxides containing heavy metals,26.0,2.2,2.2
2010,EAV-060403-G,Waste containing arsenic,18.0,0.8,0.8
2010,EAV-060404-G,Waste containing mercury,121.0,6.2,6.1
2010,EAV-060405-G,Waste containing other heavy metals,105.0,98.2,58.1
2010,EAV-060502-G,Sludge from on-site wastewater treatment,89.0,58.9,57.9
2010,EAV-060602-G,Waste containing hazardous sulphides,8.0,1.4,1.4
2010,EAV-060701-G,Asbestos-containing waste from electrolysis,,,
2010,EAV-060702-G,Activated carbon from chlorine production,3.0,0.0,0.0
2010,EAV-060703-G,Mercurial barium sulfate sludges,,,
2010,EAV-060704-G,"Solutions and acids, e.g. contact acid",,,
2010,EAV-060802-G,Hazardous waste containing chlorosilanes,4.0,0.1,0.1
2010,EAV-060903-G,Calcium-based reaction wastes,,,
2010,EAV-061002-G,Nitrogen.Chemistry.: Waste with hazardous substances,4.0,0.1,0.1
2010,EAV-061301-G,"Inorganic pesticides, wood preservatives",42.0,0.3,0.2
2010,EAV-061302-G,Used activated carbon (without 060702),56.0,36.4,36.3
2010,EAV-061304-G,Waste from asbestos processing,10.0,0.7,0.3
2010,EAV-061305-G,Oven and chimney soot,,,
2010,EAV-07,Waste from organic chemical processes,1794.0,1136.3,1062.2
2010,EAV-070101-G,"Organic basic chemicals: Aqueous wash bottles, mother liquors",154.0,51.9,39.6
2010,EAV-070103-G,"Organic basic chemicals: halogen organic solvents, washing bottle",89.0,25.0,20.8
2010,EAV-070104-G,"Organic basic chemicals: solvents, washing liquids",341.0,111.2,97.2
2010,EAV-070107-G,"Org.basic chemistry: halog.reaction, distillation residue.",34.0,40.0,39.7
2010,EAV-070108-G,Org.Basic chemistry: reaction and distillation residues.,135.0,78.0,72.0
2010,EAV-070109-G,"Org.Basic chemistry: Halog.filter cake, absorbent mat.",14.0,0.5,0.5
2010,EAV-070110-G,"Org.Grundchemik.: And. filter cake, absorbent mat.",45.0,5.1,5.1
2010,EAV-070111-G,Org. basic chemistry: sludge (company waste water tank),36.0,5.8,5.2
2010,EAV-070201-G,"Plastics: Aqueous washes, mother liquors",80.0,33.3,33.0
2010,EAV-070203-G,"Plastics: halogen organic solvents, washing liquid.",42.0,3.5,3.4
2010,EAV-070204-G,"Plastics: organic. Solvents, washing liquids",169.0,37.4,36.7
2010,EAV-070207-G,Plastics: Halog. Reaction and distillation residues,49.0,5.5,5.4
2010,EAV-070208-G,Plastics: reaction and distillation residues,412.0,85.2,79.6
2010,EAV-070209-G,"Plastics: Halog. filter cake, absorbent mat.",7.0,0.3,0.3
2010,EAV-070210-G,"Plastics: And. filter cakes, absorbent materials",43.0,4.2,4.1
2010,EAV-070211-G,Plastics: sludge (company wastewater tank),19.0,1.7,1.5
2010,EAV-070214-G,Plastics: Waste from additives with dangerous St.,44.0,3.3,3.2
2010,EAV-070216-G,Plastics: Danger. Waste containing silicone,6.0,0.9,0.9
2010,EAV-070301-G,"Organic dyes: Aqueous wash bottles, mother liquors",33.0,5.2,4.3
2010,EAV-070303-G,"Organic dyes: halogen org. Solvents, detergents",25.0,1.9,1.2
2010,EAV-070304-G,"Organic dyes: solvents, washing liquids",238.0,43.7,38.6
2010,EAV-070307-G,Organic dyes: halogen. Reaction and distillation reset.,8.0,0.6,0.6
2010,EAV-070308-G,Organic dyes: reaction and distillation residues,28.0,4.2,4.1
2010,EAV-070309-G,"Organic dyes: Halog. Filter cake, absorbent mat.",4.0,0.1,0.1
2010,EAV-070310-G,"Organic dyes: Other filter cakes, absorption mat.",13.0,0.9,0.9
2010,EAV-070311-G,Org. dyes: sludge (in-house waste water tank),4.0,0.1,0.1
2010,EAV-070401-G,"Pesticides: Aqueous wash, mother liquor.",15.0,14.2,14.2
2010,EAV-070403-G,"Plant protection agent.: halogen organic solvents, washing fl.",13.0,62.4,62.3
2010,EAV-070404-G,"Pesticides: Organ. solvent, washbottle",11.0,28.6,28.6
2010,EAV-070407-G,"Crop Protection With.: Halogen.Reaction, Distill.reset",9.0,23.0,23.0
2010,EAV-070408-G,"Plant protection products: reaction, distillation residue.",6.0,4.2,4.2
2010,EAV-070409-G,"Pesticides: halogen filter cake, absorbent mat",4.0,0.2,0.2
2010,EAV-070410-G,"Pesticides: filter cake, absorbent mat.",9.0,0.6,0.6
2010,EAV-070411-G,Plant protection: sludge (company wastewater tank),3.0,0.2,0.2
2010,EAV-070413-G,Pesticides: solid waste with dangerous goods,8.0,0.1,0.1
2010,EAV-070501-G,"Pharmaceuticals: Aqueous washes, mother liquors",46.0,68.7,68.7
2010,EAV-070503-G,"Pharmaceuticals: halogen organic solvents, wash fl.",56.0,20.6,20.1
2010,EAV-070504-G,"Pharmaceuticals: organ. Solvents, washing liquids.",88.0,60.8,60.5
2010,EAV-070507-G,"Pharmaceuticals: halogen.reaction, distill.residue",12.0,2.6,2.6
2010,EAV-070508-G,Pharmaceuticals: reaction and distillation residues,50.0,5.3,5.1
2010,EAV-070509-G,"Pharmaceuticals: Halogen filter cake, absorbent mat.",8.0,0.0,0.0
2010,EAV-070510-G,"Pharmaceuticals: filter cake, absorbent materials",27.0,2.6,2.5
2010,EAV-070511-G,Pharmaceuticals: sludge (in-house waste water treatment),8.0,0.7,0.7
2010,EAV-070513-G,Pharmaceuticals: Solid waste with hazardous fabrics,39.0,1.3,1.3
2010,EAV-070601-G,"Fats, soaps: Aqueous washing bottles, mother liquors",113.0,44.7,43.1
2010,EAV-070603-G,"Fats, soaps: halogen organic solvents, washing fl.",22.0,0.7,0.4
2010,EAV-070604-G,"Fats, soaps: organ. Solvents, washing liquids.",78.0,7.3,6.3
2010,EAV-070607-G,"Fats, soaps: Halogen.reaction, distill.residue.",3.0,0.1,
2010,EAV-070608-G,"Fats, soaps: reaction, distillation residues",144.0,34.1,33.0
2010,EAV-070609-G,"Fats, soaps: halogen filter cake, absorbent mat.",,,
2010,EAV-070610-G,"Fats, soaps: filter cakes, absorbent materials",19.0,2.8,2.8
2010,EAV-070611-G,"Fats, soaps: sludge (in-house waste water treatment)",6.0,1.9,1.9
2010,EAV-070701-G,"Fine chemicals: Aqueous detergents, mother liquors",137.0,67.1,59.4
2010,EAV-070703-G,"Fine chemicals: halogen organic solvents, washing fl.",103.0,22.0,20.8
2010,EAV-070704-G,"Fine chemicals: organ. Solvents, washing liquids.",174.0,52.8,50.4
2010,EAV-070707-G,"Fine chemicals: halogen reaction, distillation residue.",33.0,4.9,4.7
2010,EAV-070708-G,Fine chemicals: reaction and distillation residues.,80.0,47.7,41.9
2010,EAV-070709-G,"Fine chemicals: halogen filter cake, absorbent mat.",22.0,0.5,0.4
2010,EAV-070710-G,"Fine chemicals: filter cake, absorbent materials",52.0,2.3,2.2
2010,EAV-070711-G,Fine chemicals: sludge (own waste water treatment),21.0,1.6,1.5
2010,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",1420.0,186.2,160.0
2010,EAV-080111-G,Paint and varnish waste with hazardous substances,677.0,63.4,49.4
2010,EAV-080113-G,Paint and varnish sludges containing dangerous substances,402.0,33.6,28.1
2010,EAV-080115-G,"Paints, varnishes: Aqueous sludges with dangerous St.",157.0,18.9,17.8
2010,EAV-080117-G,Waste from paint or varnish removal,176.0,24.0,22.4
2010,EAV-080119-G,Aqueous suspensions containing paints or varnishes,40.0,10.5,10.1
2010,EAV-080121-G,Paint or varnish remover waste,16.0,0.4,0.3
2010,EAV-080312-G,Waste printing ink containing hazardous substances,126.0,6.2,5.5
2010,EAV-080314-G,Printing ink sludge containing dangerous substances,54.0,5.3,5.0
2010,EAV-080316-G,Waste from etching solutions,,,
2010,EAV-080317-G,Waste toner containing hazardous substances,10.0,0.0,0.0
2010,EAV-080319-G,Dispersion beer,,,
2010,EAV-080409-G,Adhesive and sealant waste with hazardous St.,289.0,22.0,19.8
2010,EAV-080411-G,Adhesive and sealant containing slurries,9.0,0.4,0.4
2010,EAV-080413-G,"Adhesives, sealants: Aqueous sludges with dangerous substances.",10.0,0.4,0.4
2010,EAV-080415-G,"Adhesive, sealant: Aqueous liquid waste with dangerous items",14.0,0.5,0.5
2010,EAV-080417-G,"Adhesives, sealants: resin oils",,,
2010,EAV-080501-G,isocyanate waste,33.0,0.6,0.3
2010,EAV-09,Waste from the photographic industry,205.0,33.1,28.3
2010,EAV-090101-G,Water-based developer and activator solutions,125.0,11.0,9.7
2010,EAV-090102-G,Offset printing plate developer solutions,99.0,12.8,10.8
2010,EAV-090103-G,Solvent-based developer solutions,13.0,0.0,0.0
2010,EAV-090104-G,fixer baths,101.0,6.1,5.2
2010,EAV-090105-G,bleach solutions and bleach-fix baths,37.0,2.5,2.3
2010,EAV-090106-G,Waste containing silver from tank photographer. waste,,,
2010,EAV-090111-G,Disposable cameras with batteries (160601-160603),,,
2010,EAV-090113-G,Waste from silver recovery (excluding 090106),3.0,0.8,
2010,EAV-10,Waste from thermal processes,663.0,886.3,758.5
2010,EAV-100104-G,Filter dust and boiler dust from oil firing,25.0,2.8,2.8
2010,EAV-100109-G,sulfuric acid,,,
2010,EAV-100113-G,Filter dust from emulsified hydrocarbons,,,
2010,EAV-100114-G,"Rust and boiler ash, slag, boiler dust",34.0,73.7,66.5
2010,EAV-100116-G,Filter dust from co-incineration of waste,27.0,32.9,32.7
2010,EAV-100118-G,Waste from exhaust gas treatment with hazardous St.,73.0,25.4,25.3
2010,EAV-100120-G,"Power plants, among others: sludge (company wastewater tank)",3.0,1.6,1.6
2010,EAV-100122-G,Power plants etc.:Aqueous sludge a. Boiler cleaning.,3.0,1.0,1.0
2010,EAV-100207-G,"Iron, steel ind.: Solid waste from flue gas treatment.",68.0,258.3,256.3
2010,EAV-100211-G,"Iron, steel cylinder: oil content. Drain from cooling water tank.",3.0,3.9,3.9
2010,EAV-100213-G,"Iron and steel industry: sludges, filters. from exhaust gas tank.",12.0,66.7,63.1
2010,EAV-100304-G,Aluminum metallurgy: slags from initial melting,,,
2010,EAV-100308-G,Aluminum metallurgy: salt slag a.Zzweischmel.,13.0,278.9,187.2
2010,EAV-100309-G,Aluminum metallurgy: Black scabs a.Zweitsch.,,,
2010,EAV-100315-G,Aluminum Metallurgy: Scum (Flammable),59.0,32.4,26.7
2010,EAV-100317-G,Aluminum Metallurgy:Tarh. Abf. from anode manufacturer.,4.0,1.0,0.8
2010,EAV-100319-G,Aluminum metallurgy: filter dust with hazardous St.,10.0,2.0,2.0
2010,EAV-100321-G,Aluminum Metallurgy: Other Particles and Dust,4.0,1.0,1.0
2010,EAV-100323-G,Aluminum metallurgy: Solid waste a. flue gas treatment,28.0,17.0,10.7
2010,EAV-100325-G,"Aluminum metallurgy: sludges, filters, etc. exhaust gas tanks.",5.0,0.3,0.3
2010,EAV-100327-G,Aluminum Metallurgy: Oil H.Abf. from cooling water tank,3.0,0.1,0.1
2010,EAV-100329-G,Aluminum Metallurgy: Abf.a. tank v.salt slag,,,
2010,EAV-100401-G,Lead metallurgy: slags (primary and secondary smelting),6.0,27.7,27.7
2010,EAV-100402-G,"Lead Metal.: Scabies,Scum (First,Second.)",61.0,7.5,7.2
2010,EAV-100403-G,Bleimetallurgie: Calciumarsenat,,,
2010,EAV-100404-G,Lead metallurgy: filter dust,3.0,0.1,0.1
2010,EAV-100405-G,Lead Metallurgy: Other Particles and Dust,12.0,5.1,1.0
2010,EAV-100406-G,Lead metallurgy: Solid waste from flue gas treatment,3.0,0.3,0.3
2010,EAV-100407-G,"Lead metallurgy: sludges, filters. from exhaust gas tank.",3.0,0.2,
2010,EAV-100409-G,Lead Metallurgy: Oilh. Waste from cooling water tank.,,,
2010,EAV-100503-G,Zinc metallurgy: filter dust,12.0,0.5,0.5
2010,EAV-100505-G,Zinc Metallurgy: Solid waste from waste gas treatment,7.0,0.3,0.3
2010,EAV-100506-G,"Zinc Metallurgy: Slurries, Filterk. from exhaust gas tank",,,
2010,EAV-100508-G,Zinc metallurgy: Ölh. Waste from cooling water tank.,,,
2010,EAV-100510-G,"Zinc metallurgy: dross, scum (flammable)",,,
2010,EAV-100603-G,Copper metallurgy: filter dust,5.0,1.5,1.5
2010,EAV-100606-G,Copper Metallurgy: Solid Waste a.Flue Gas Treatment,3.0,2.6,2.6
2010,EAV-100607-G,"Copper metallurgy: slurries, filter c. a.Exhaust tank",,,
2010,EAV-100609-G,Copper Metallurgy: Oil H.Abf. from cooling water tank.,,,
2010,EAV-100707-G,"Silver metal, among other things: oil-containing waste from cooling water tanks.",,,
2010,EAV-100808-G,"Non-ferrous metal: salt slags (first, second melting)",3.0,0.4,0.4
2010,EAV-100810-G,"Non-ferrous metallurgy: dross, scum (flammable)",8.0,1.0,1.0
2010,EAV-100812-G,Non-ferrous metal: tar. Waste from anode manufacturing,,,
2010,EAV-100815-G,Non-ferrous metallurgy: filter dust with hazardous level,36.0,6.2,6.1
2010,EAV-100817-G,"Non-ferrous metallurgy: sludges, filters, etc., exhaust gas tanks.",,,
2010,EAV-100819-G,Nonferrous Metallurgy: Oil H.Abf. from cooling water tank,,,
2010,EAV-100905-G,"Iron, steel: casting molds and sand before casting",3.0,1.5,1.5
2010,EAV-100907-G,"Iron, steel: casting molds and sand after casting",6.0,2.1,2.1
2010,EAV-100909-G,"Iron, steel: filter dust containing dangerous substances",35.0,6.7,6.4
2010,EAV-100911-G,"Iron, steel: Other particles with dangerous substances",4.0,0.5,0.3
2010,EAV-100913-G,"Iron,steel: abf. binders with hazardous St.",,,
2010,EAV-100915-G,"Iron, steel: Removal of crack-indicating substances",,,
2010,EAV-101005-G,"Non-ferrous metal: casting molds, sand before casting",,,
2010,EAV-101007-G,"Non-ferrous metal: casting molds, sand after casting",4.0,1.8,1.8
2010,EAV-101009-G,Non-ferrous metals: filter dust with hazardous substances,11.0,2.9,1.1
2010,EAV-101011-G,Non-ferrous metals: And. particles with dangerous fabrics,,,
2010,EAV-101013-G,Non-ferrous metal: Abf.v. Binders with dangerous substances,,,
2010,EAV-101015-G,Non-ferrous metals: Abf. from crack-indicating substances.,,,
2010,EAV-101109-G,Batch waste with hazardous fabrics v. d. Melt,9.0,0.5,0.5
2010,EAV-101111-G,Glass waste in small particles and glass dust,22.0,5.7,3.3
2010,EAV-101113-G,Glass polishing and glass grinding slurries,26.0,1.0,0.9
2010,EAV-101115-G,Glass manufacture: Solid waste from flue gas treatment,37.0,3.1,2.9
2010,EAV-101117-G,"Glass production: sludge, filter k. from exhaust gas tank.",,,
2010,EAV-101119-G,Glass manuf.: Solid waste a. own waste water tank,8.0,0.4,0.3
2010,EAV-101209-G,Ceramic products: Solid waste a. Exhaust gas treatment,15.0,4.1,2.7
2010,EAV-101211-G,Ceramic products: Glaze waste with heavy metals,4.0,0.3,0.3
2010,EAV-101309-G,Asbestos-containing waste a. Manufacture. v. asbestos cement,,,
2010,EAV-101312-G,Cement among others: Solid waste from exhaust gas treatment,3.0,0.3,0.3
2010,EAV-101401-G,Crematoriums:Mercury h. Waste from gas cleaning,79.0,0.5,0.3
2010,EAV-11,Waste from chemical surface treatment,2122.0,618.6,589.6
2010,EAV-110105-G,Surface treatment: Acid pickling solutions,496.0,103.9,99.0
2010,EAV-110106-G,Surface treatment: Acids n.e.c.,138.0,9.8,8.6
2010,EAV-110107-G,Surface treatment: Alkaline pickling solutions,401.0,81.8,79.0
2010,EAV-110108-G,Surface treatment: phosphating sludge,224.0,12.4,11.6
2010,EAV-110109-G,"Surface treatment: sludges, filter cakes w.f.st.",987.0,120.2,111.3
2010,EAV-110111-G,Surface treatment: Aqueous flushing liquid. m.f.st.,682.0,82.8,76.1
2010,EAV-110113-G,Surface treatment: Waste from degreasing with,151.0,11.3,11.0
2010,EAV-110115-G,"Surface treatment: eluates, sludges a. Membrane system",5.0,0.5,0.5
2010,EAV-110116-G,Surface treatment: ion exchange resins,18.0,0.1,0.1
2010,EAV-110198-G,Surface treatment: Other waste with hazardous St.,204.0,17.9,15.1
2010,EAV-110202-G,Sludge from zinc hydrometallurgy,9.0,172.5,172.5
2010,EAV-110205-G,Waste from copper hydrometallurgy processes,,,
2010,EAV-110207-G,Non-ferrous hydrometallurgy:And.Abf. with dangerous tax,4.0,1.7,1.7
2010,EAV-110301-G,"Slurries, solids from hardening processes: Cyanidh. waste",37.0,1.1,0.8
2010,EAV-110302-G,"Sludges, solids from hardening processes: Other wastes",58.0,2.3,2.0
2010,EAV-110503-G,Galvanizing: Solid waste from exhaust gas treatment,11.0,0.2,0.2
2010,EAV-110504-G,Galvanizing: Used flux,,,
2010,EAV-12,Waste from mechanical shaping processes,3629.0,1077.5,806.7
2010,EAV-120106-G,Mineral oil-based processing oils containing halogens,16.0,0.3,0.3
2010,EAV-120107-G,Halogen-free processing oils based on mineral oil,118.0,87.9,30.3
2010,EAV-120108-G,Halogenated machining emulsions and. -solutions,15.0,1.0,0.9
2010,EAV-120109-G,Halogen-free machining emulsions and solutions,2832.0,790.2,618.9
2010,EAV-120110-G,Synthetic machining oils,35.0,1.3,1.2
2010,EAV-120112-G,Used waxes and fats,229.0,8.5,7.0
2010,EAV-120114-G,Processing sludge with dangerous substances,255.0,20.5,19.8
2010,EAV-120116-G,Abrasive waste (with hazardous substances),333.0,28.1,23.2
2010,EAV-120118-G,"Oily metal sludge (grinding sludge, etc.)",448.0,89.9,60.0
2010,EAV-120119-G,Easily biodegradable machining oils,,,
2010,EAV-120120-G,Used honing and abrasives containing hazardous substances,90.0,5.9,4.6
2010,EAV-120301-G,Aqueous washing liquids,304.0,42.1,38.5
2010,EAV-120302-G,Vapor degreasing waste,17.0,2.1,2.0
2010,EAV-13,waste oil and liquid fuel waste,3692.0,1450.2,1171.5
2010,EAV-130101-G,Hydraulic oils containing PCBs,7.0,0.1,0.0
2010,EAV-130104-G,Hydraulic oils: Chlorinated emulsions,,,
2010,EAV-130105-G,Hydraulic oils: Non-chlorinated emulsions,90.0,15.3,9.8
2010,EAV-130109-G,Chlorinated hydraulic oils based on mineral oil,3.0,0.0,0.0
2010,EAV-130110-G,Non-chlorinated mineral oil based hydraulic oils,88.0,22.2,22.0
2010,EAV-130111-G,Synthetic hydraulic oils,8.0,0.1,0.1
2010,EAV-130112-G,Easily biodegradable hydraulic oils,4.0,0.0,0.0
2010,EAV-130113-G,Other hydraulic oils,6.0,0.1,0.1
2010,EAV-130204-G,"Chlorinated engine, gear and lubricating oils",62.0,2.2,1.5
2010,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",1473.0,515.5,374.0
