Year,Industry Code,Industry,Waste Quantities Produced by Primary Producers,Unknown Value 1,Metric Tons (1000)
2021,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3886,5058,3
2021,WZ08-38,"Collection, waste disposal, recovery",3321,4367,0
2021,WZ08-F,construction industry,3988,1275,2
2021,WZ08-G,"Trade, maintenance and repair of car",1975,589,6
2021,WZ08-H,Transportation and storage,1384,855,2
2021,WZ08-I,Hospitality,22,2,7
2021,WZ08-J,information and communication,76,19,2
2021,WZ08-K,Provision of financial and insurance benefits,48,12,5
2021,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1965,1407,7
2021,WZ08-O,"Public Administration, defense, social insurance",1922,2016,3
2021,WZ08-P,Education and lessons,108,27,3
2021,WZ08-Q,Health and social affairs,234,61,0
2021,WZ08-R-03,"Art, entertainment and relaxation, other DL",187,50,3
2021,WZ-X006,Remaining branches,33,555,4
