GENESIS-Tabelle: 32161-0002
Betriebe, erzeugte Abfallmenge: Deutschland, Jahre,;;;;;;
Wirtschaftszweige, Abfallarten;;;;;;
Erhebung über die Abfallerzeugung;;;;;;
Deutschland;;;;;;
;;;;;Betriebe;Erzeugte Abfallmenge
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-17;Bau- und Abbruchabfälle;614;439,0
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;110;64,6
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);928;95,4
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;;Insgesamt;956;2026,3
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;4;2,2
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;104;1,8
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-03;Abfälle aus der Holzbearbeitung u.a.;54;3,1
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;3;0,6
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;22;4,2
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;368;118,0
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-07;Abfälle aus organisch-chemischen Prozessen;363;20,9
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;652;14,1
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-09;Abfälle aus der fotografischen Industrie;54;0,2
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-10;Abfälle aus thermischen Prozessen;427;6854,7
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;597;449,8
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;1538;1775,9
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;1270;66,1
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;485;7,4
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;1744;243,5
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;878;355,4
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-17;Bau- und Abbruchabfälle;1065;1180,6
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-18;Abfälle aus der medizinischen Versorgung;12;0,0
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;332;128,4
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);1829;230,8
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;;Insgesamt;1877;11457,7
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;13;0,7
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;587;19,4
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-03;Abfälle aus der Holzbearbeitung u.a.;133;15,1
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;38;18,8
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;21;0,4
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;653;44,4
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-07;Abfälle aus organisch-chemischen Prozessen;1248;83,4
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;2409;80,6
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-09;Abfälle aus der fotografischen Industrie;142;0,3
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-10;Abfälle aus thermischen Prozessen;377;297,5
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;962;74,2
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;3627;3679,9
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;2816;81,9
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;1422;11,0
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;4820;627,8
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;2687;309,6
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-17;Bau- und Abbruchabfälle;2678;1145,8
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-18;Abfälle aus der medizinischen Versorgung;44;0,5
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;586;92,6
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);5297;707,5
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;;Insgesamt;5399;7291,3
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;3;0,0
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;32;0,4
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-03;Abfälle aus der Holzbearbeitung u.a.;297;263,0
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;42;3,6
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;71;2,4
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-07;Abfälle aus organisch-chemischen Prozessen;213;21,1
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;361;7,4
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-09;Abfälle aus der fotografischen Industrie;17;0,0
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-10;Abfälle aus thermischen Prozessen;186;5,8
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;124;3,8
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;387;51,9
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;279;42,8
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;167;0,8
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;906;64,5
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;250;2,1
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-17;Bau- und Abbruchabfälle;357;23,3
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-18;Abfälle aus der medizinischen Versorgung;16;0,1
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;75;2,8
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);1059;77,8
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;;Insgesamt;1082;573,6
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;3;0,4
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;91;2,6
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-03;Abfälle aus der Holzbearbeitung u.a.;6;0,1
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;21;0,2
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;54;8,3
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-07;Abfälle aus organisch-chemischen Prozessen;68;2,9
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;137;0,1
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-09;Abfälle aus der fotografischen Industrie;19;0,0
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-10;Abfälle aus thermischen Prozessen;51;6397,2
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;24;0,2
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;86;7,0
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;216;16,9
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;68;0,1
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;269;15,0
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;234;25,4
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-17;Bau- und Abbruchabfälle;242;1232,5
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-18;Abfälle aus der medizinischen Versorgung;14;0,0
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;124;791,8
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);303;65,8
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-35-01;Energieversorgung, Wasserversorgung;;Insgesamt;306;8566,5
2010;WZ08-45-04;Dienstleistungen;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;8;0,8
2010;WZ08-45-04;Dienstleistungen;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;933;86,9
2010;WZ08-45-04;Dienstleistungen;EAV-03;Abfälle aus der Holzbearbeitung u.a.;67;1,8
2010;WZ08-45-04;Dienstleistungen;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2010;WZ08-45-04;Dienstleistungen;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2010;WZ08-45-04;Dienstleistungen;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;219;0,5
2010;WZ08-45-04;Dienstleistungen;EAV-07;Abfälle aus organisch-chemischen Prozessen;442;6,4
2010;WZ08-45-04;Dienstleistungen;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;501;2,6
2010;WZ08-45-04;Dienstleistungen;EAV-09;Abfälle aus der fotografischen Industrie;472;2,3
2010;WZ08-45-04;Dienstleistungen;EAV-10;Abfälle aus thermischen Prozessen;39;2,8
2010;WZ08-45-04;Dienstleistungen;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;104;0,7
2010;WZ08-45-04;Dienstleistungen;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;204;10,8
2010;WZ08-45-04;Dienstleistungen;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;657;30,1
2010;WZ08-45-04;Dienstleistungen;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;257;6,4
2010;WZ08-45-04;Dienstleistungen;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;2389;665,2
2010;WZ08-45-04;Dienstleistungen;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;1222;48,0
2010;WZ08-45-04;Dienstleistungen;EAV-17;Bau- und Abbruchabfälle;1230;4527,3
2010;WZ08-45-04;Dienstleistungen;EAV-18;Abfälle aus der medizinischen Versorgung;832;202,4
2010;WZ08-45-04;Dienstleistungen;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;291;80,3
2010;WZ08-45-04;Dienstleistungen;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);3063;1440,8
2010;WZ08-45-04;Dienstleistungen;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-45-04;Dienstleistungen;;Insgesamt;3080;7117,4
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;132;140,3
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;7;0,0
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-07;Abfälle aus organisch-chemischen Prozessen;10;0,1
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;8;0,7
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-09;Abfälle aus der fotografischen Industrie;-;-
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-10;Abfälle aus thermischen Prozessen;7;0,2
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;-;-
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;3;0,1
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;96;7,0
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;16;0,0
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;250;11,7
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;85;0,8
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-17;Bau- und Abbruchabfälle;93;5,1
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-18;Abfälle aus der medizinischen Versorgung;4;0,5
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;17;40,7
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);281;29,8
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;;Insgesamt;300;237,2
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;9;34,9
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;15;0,2
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;3;0,4
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;17;6,4
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-07;Abfälle aus organisch-chemischen Prozessen;14;0,1
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;21;0,1
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-09;Abfälle aus der fotografischen Industrie;4;0,0
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-10;Abfälle aus thermischen Prozessen;6;122,4
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;5;0,2
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;19;5,7
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;45;6,4
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;14;0,0
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;56;3,5
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;41;1,4
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-17;Bau- und Abbruchabfälle;48;905,3
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;15;11,5
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);61;16,4
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;;Insgesamt;64;1115,2
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;1021;4813,7
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-03;Abfälle aus der Holzbearbeitung u.a.;7;0,7
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;3;0,2
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;14;0,1
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;92;4,5
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-07;Abfälle aus organisch-chemischen Prozessen;120;16,5
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;132;0,1
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-09;Abfälle aus der fotografischen Industrie;4;0,0
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-10;Abfälle aus thermischen Prozessen;48;54,4
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;27;0,1
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;84;2,3
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;470;7,2
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;123;0,2
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;1366;555,2
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;394;5,3
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-17;Bau- und Abbruchabfälle;582;165,2
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-18;Abfälle aus der medizinischen Versorgung;9;0,0
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;195;64,2
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);1395;433,8
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;;Insgesamt;1481;6123,7
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;8;0,2
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-03;Abfälle aus der Holzbearbeitung u.a.;8;0,1
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;264;111,9
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;25;0,1
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-07;Abfälle aus organisch-chemischen Prozessen;92;7,7
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;124;5,0
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-09;Abfälle aus der fotografischen Industrie;-;-
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-10;Abfälle aus thermischen Prozessen;14;3,7
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;8;0,0
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;52;0,6
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;134;0,5
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;41;0,1
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;512;80,1
