GENESIS-Tabelle: 32161-0001
Betriebe, erzeugte Abfallmenge: Deutschland, Jahre,;;;;
Abfallarten;;;;
Erhebung über die Abfallerzeugung;;;;
Deutschland;;;;
;;;Betriebe;Erzeugte Abfallmenge
2010;EAV-160901-G;  Permanganate, z.B. Kaliumpermanganat;-;-
2010;EAV-160902-G;  Chromate (Kaliumchromat,Kalium-o.Natriumdichromat);3;0,0
2010;EAV-160903-G;  Peroxide, z.B. Wasserstoffperoxid;11;0,0
2010;EAV-160904-G;  Oxidierende Stoffe a.n.g.;-;-
2010;EAV-161001-G;  Wässrige flüssige Abfälle mit gefährlichen Stoffen;108;10,1
2010;EAV-161002-U;  Wässrige flüssige Abfälle (ohne 161001);144;35,0
2010;EAV-161003-G;  Wässrige Konzentrate mit gefährlichen Stoffen;76;7,0
2010;EAV-161004-U;  Wässrige Konzentrate (ohne 161003);13;13,4
2010;EAV-161101-G;  Feuerfeste Materialien aus metallurg. Prozessen;17;4,8
2010;EAV-161102-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161101);35;5,4
2010;EAV-161103-G;  Andere Auskleidungen und feuerfeste Materialien;40;9,9
2010;EAV-161104-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161103);230;288,1
2010;EAV-161105-G;  Feuerfeste Materialien aus nichtmetallurg. Proz.;55;13,3
2010;EAV-161106-U;  Feuerfeste Mat. a. nichtmetallurg.Proz.(oh.161105);121;27,8
2010;EAV-17;Bau- und Abbruchabfälle;;
2010;EAV-170101-U;  Beton;884;909,7
2010;EAV-170102-U;  Ziegel;350;47,5
2010;EAV-170103-U;  Fliesen und Keramik;270;17,6
2010;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;299;125,1
2010;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);2269;819,7
2010;EAV-170201-U;  Holz;3471;192,2
2010;EAV-170202-U;  Glas;549;20,2
2010;EAV-170203-U;  Kunststoff;669;21,6
2010;EAV-170204-G;  Glas, Kunststoff und Holz mit gefährlichen Stoffen;877;160,4
2010;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;230;100,7
2010;EAV-170302-U;  Bitumengemische (ohne 170301);376;161,9
2010;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;220;9,4
2010;EAV-170401-U;  Kupfer, Bronze, Messing;774;19,6
2010;EAV-170402-U;  Aluminium;1329;56,0
2010;EAV-170403-U;  Blei;66;0,2
2010;EAV-170404-U;  Zink;57;8,2
2010;EAV-170405-U;  Eisen und Stahl;2991;1268,1
2010;EAV-170406-U;  Zinn;40;0,4
2010;EAV-170407-U;  Gemischte Metalle;1558;347,4
2010;EAV-170409-G;  Metallabfälle mit gefährlichen Stoffen;96;17,1
2010;EAV-170410-G;  Kabel,die Öl,Kohlenteer u.a. gefährl. Stoffe enth.;125;2,0
2010;EAV-170411-U;  Kabel (ohne 170410);1396;186,7
2010;EAV-170503-G;  Boden und Steine, die gefährliche Stoffe enthalten;335;535,8
2010;EAV-170504-U;  Boden und Steine (ohne 170503);688;2376,5
2010;EAV-170505-G;  Baggergut, das gefährliche Stoffe enthält;8;0,7
2010;EAV-170506-U;  Baggergut (ohne 170505);29;403,6
2010;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;21;416,2
2010;EAV-170508-U;  Gleisschotter (ohne 170507);45;2147,9
2010;EAV-170601-G;  Dämmmaterial, das Asbest enthält;47;0,5
2010;EAV-170603-G;  Anderes Dämmmaterial;1162;17,9
2010;EAV-170604-U;  Dämmmaterial (ohne 170601 und 170603);486;20,1
2010;EAV-170605-G;  Asbesthaltige Baustoffe;717;17,8
2010;EAV-170801-G;  Verunreinigte Baustoffe auf Gipsbasis;5;0,1
2010;EAV-170802-U;  Baustoffe auf Gipsbasis (ohne 170801);449;55,6
2010;EAV-170901-G;  Bau- und Abbruchabfälle, die Quecksilber enthalten;9;0,4
2010;EAV-170902-G;  Bau- und Abbruchabfälle, die PCB enthalten;29;0,6
2010;EAV-170903-G;  Sonstige Bau- und Abbruchabfälle;94;10,2
2010;EAV-170904-U;  Gemischte Bau- und Abbruchabf. (oh.170901-170903);2971;166,2
2010;EAV-18;Abfälle aus der medizinischen Versorgung;;
2010;EAV-180101-U;  Spitze oder scharfe Gegenstände (außer 180103);92;1,2
2010;EAV-180102-U;  Körperteile, Organe, Blutkonserven (außer 180103);518;2,9
2010;EAV-180103-G;  Abfälle (bes. Anford. aus infektionspräv. Sicht);724;11,5
2010;EAV-180104-U;  Wund-,Gipsverbände,Wäsche,Einwegkleidung,Windeln;613;222,1
2010;EAV-180106-G;  Chemikalien, die aus gefährlichen Stoffen bestehen;52;0,3
2010;EAV-180107-U;  Chemikalien (ohne 180106);22;0,7
2010;EAV-180108-G;  Zytotox. u. zytostatische Arzneimittel f.Menschen;493;2,7
2010;EAV-180109-U;  Arzneimittel (ohne 180108);152;7,0
2010;EAV-180110-G;  Amalgamabfälle aus der Zahnmedizin;12;0,0
2010;EAV-180201-U;  Spitze oder scharfe Gegenstände (ohne 180202);6;0,0
2010;EAV-180202-G;  Abfälle (bes. Anford. aus infektionspräv. Sicht);43;0,5
2010;EAV-180203-U;  Abfälle (oh. bes. Anford. a. infektionspräv.Sicht);44;1,9
2010;EAV-180205-G;  Chemikalien, die aus gefährlichen Stoffen bestehen;5;0,0
2010;EAV-180206-U;  Chemikalien (ohne 180205);5;0,0
2010;EAV-180207-G;  Zytotoxische u. zytostatische Arzneimittel f.Tiere;3;0,0
2010;EAV-180208-U;  Arzneimittel (ohne 180207);7;0,0
2010;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;;
2010;EAV-190102-U;  Verbrenn.,Pyrolyse:Eisenteile a.Rost-u.Kesselasche;4;1,9
2010;EAV-190105-G;  Verbrenn.,Pyrolyse: Filterkuchen aus Abgasbehandl.;8;11,9
2010;EAV-190106-G;  Verbrenn.,Pyrolyse: Wässrige flüss.Abf.a.Abgasbeh.;8;15,2
2010;EAV-190107-G;  Verbrenn.,Pyrolyse: Feste Abfälle a. Abgasbehandl.;17;26,0
2010;EAV-190110-G;  Verbrenn.,Pyrolyse: Gebr. Aktivkohle a. Abgasbeh.;5;0,0
2010;EAV-190111-G;  Verbrenn.,Pyrolyse: Rost-,Kesselaschen,Schlacken;22;56,9
2010;EAV-190112-U;  Rost- und Kesselaschen sowie Schlacken (oh.190111);48;363,7
2010;EAV-190113-G;  Verbrenn.,Pyrolyse: Filterstaub mit gefährl. St.;18;29,8
2010;EAV-190114-U;  Filterstaub (ohne 190113);5;26,2
2010;EAV-190115-G;  Verbrenn.,Pyrolyse: Kesselstaub m.gefährl. Stoffen;3;1,5
2010;EAV-190116-U;  Kesselstaub (ohne 190115);-;-
2010;EAV-190117-G;  Pyrolyseabfälle, die gefährliche Stoffe enthalten;4;0,2
2010;EAV-190118-U;  Pyrolyseabfälle (ohne 190117);3;0,1
2010;EAV-190119-U;  Verbrenn.,Pyrolyse:Sande aus Wirbelschichtfeuerung;-;-
2010;EAV-190199-U;  Verbrennung, Pyrolyse von Abfällen: Abfälle a.n.g.;-;-
2010;EAV-190203-U;  Vorgemischte Abfälle aus nicht gefährl. Abfällen;4;0,2
2010;EAV-190204-G;  Vorgemischte Abfälle m. mind. einem gefährl.Abfall;7;0,0
2010;EAV-190205-G;  Schlämme aus der physikal.-chemischen Behandlung;243;32,4
2010;EAV-190206-U;  Schlämme a. physikal.-chem.Behandlung (oh.190205);32;1,4
2010;EAV-190207-G;  Öl und Konzentrate aus Abtrennprozessen;42;8,5
2010;EAV-190208-G;  Flüssige brennbare Abfälle mit gefährl. Stoffen;-;-
2010;EAV-190209-G;  Feste brennbare Abfälle mit gefährlichen Stoffen;-;-
2010;EAV-190210-U;  Brennbare Abfälle (ohne 190208 und 190209);3;0,1
2010;EAV-190211-G;  Sonstige Abfälle, die gefährliche Stoffe enthalten;22;0,3
2010;EAV-19029900-U;  Physik.-chem. Behandlung v.Abfällen: Abfälle a.n.g;-;-
2010;EAV-19029950-U;  Durch Abfallbehandlung entstandene Produkte;-;-
2010;EAV-190304-G;  Als gefährl. eingestufte teilw. stabilisierte Abf.;-;-
2010;EAV-190305-U;  Stabilisierte Abfälle (ohne 190304);4;1,9
2010;EAV-190306-G;  Als gefährlich eingestufte verfestigte Abfälle;-;-
2010;EAV-190307-U;  Verfestigte Abfälle (ohne 190306);-;-
2010;EAV-190401-U;  Verglaste Abfälle;-;-
2010;EAV-190402-G;  Filterstaub u.a. Abfälle aus der Abgasbehandlung;-;-
2010;EAV-190403-G;  Nicht verglaste Festphase;-;-
2010;EAV-190404-U;  Wässrige flüssige Abfälle aus dem Tempern;-;-
2010;EAV-190501-U;  Nicht kompostierte Fraktion von Siedlungsabfällen;3;0,0
2010;EAV-190502-U;  Nicht kompostierte Fraktion v. tier.u.pflanzl.Abf.;-;-
2010;EAV-190503-U;  Nicht spezifikationsgerechter Kompost;-;-
2010;EAV-19059900-U;  Abfälle a.n.g. nicht differenzierbar;-;-
2010;EAV-19059901-U;  Kompost (spezifikationsgerecht);8;1,0
2010;EAV-190603-U;  Flüssigkeiten aus Behandlung von Siedlungsabfällen;-;-
2010;EAV-190604-U;  Gärrückstand/-schlamm aus Beh. v.Siedlungsabfällen;-;-
2010;EAV-190605-U;  Flüssigkeiten aus Beh. v. tier.u.pflanzl. Abfällen;-;-
2010;EAV-190606-U;  Gärrückstand/-schlamm a. Beh.v.tier.u.pflanzl.Abf.;-;-
2010;EAV-190699-U;  Anaerobe Behandlung von Abfällen: Abfälle a.n.g.;-;-
2010;EAV-190702-G;  Deponiesickerwasser, das gefährl. Stoffe enthält;-;-
2010;EAV-190703-U;  Deponiesickerwasser (ohne 190702);4;174,3
2010;EAV-190801-U;  Sieb- und Rechenrückstände;129;15,9
2010;EAV-190802-U;  Sandfangrückstände;134;19,5
2010;EAV-190805-U;  Schlämme aus der Behandlung v. kommunalem Abwasser;41;302,4
2010;EAV-190806-G;  Gesättigte oder verbrauchte Ionenaustauscherharze;56;0,2
2010;EAV-190807-G;  Lösungen u. Schlämme aus Regeneration v.Ionenaust.;-;-
2010;EAV-190808-G;  Schwermetallhaltige Abfälle aus Membransystemen;-;-
2010;EAV-190809-U;  Fett- u.Ölmischungen aus Ölabscheidern (Speiseöle);207;15,1
2010;EAV-190810-G;  Fett- u.Ölmischungen aus Ölabscheidern (oh.190809);27;0,6
2010;EAV-190811-G;  Schlämme aus biol.Behandlung von industr.Abwasser;19;310,5
2010;EAV-190812-U;  Schlämme a. biol.Beh.v.industr.Abwasser(oh.190811);70;524,0
2010;EAV-190813-G;  Schlämme mit gefährl. Stoffen aus industr.Abwasser;122;117,9
2010;EAV-190814-U;  Schlämme aus industriellem Abwasser (ohne 190813);312;92,2
2010;EAV-190899-U;  Abwasserbehandlungsanlagen: Abfälle a.n.g.;16;12,1
2010;EAV-190901-U;  Feste Abfälle aus Erstfiltration u. Siebrückstände;33;12,3
2010;EAV-190902-U;  Schlämme aus der Wasserklärung;151;165,1
2010;EAV-190903-U;  Schlämme aus der Dekarbonatisierung;41;168,7
2010;EAV-190904-U;  Gebrauchte Aktivkohle;61;1,5
2010;EAV-190905-U;  Gesättigte oder gebrauchte Ionenaustauscherharze;114;1,8
2010;EAV-190906-U;  Lösungen u. Schlämme aus Regeneration v.Ionenaust.;6;11,5
2010;EAV-190999-U;  Brauchwasser: Abfälle a.n.g.;7;2,0
2010;EAV-191001-U;  Eisen- und Stahlabfälle;44;7,1
2010;EAV-191002-U;  NE-Metall-Abfälle;15;2,5
2010;EAV-191003-G;  Schredderleichtfraktionen und Staub;-;-
2010;EAV-191004-U;  Schredderleichtfraktionen und Staub (ohne 191003);3;0,1
2010;EAV-191005-G;  Andere Fraktionen, die gefährl. Stoffe enthalten;-;-
2010;EAV-191006-U;  Andere Fraktionen (ohne 191005);5;4,5
2010;EAV-191101-G;  Altölaufbereitung: Gebrauchte Filtertone;10;3,1
2010;EAV-191102-G;  Altölaufbereitung: Säureteere;-;-
2010;EAV-191103-G;  Altölaufbereitung: Wässrige flüssige Abfälle;-;-
2010;EAV-191104-G;  Altölaufber.: Abf.a.d. Brennstoffreinigung m.Basen;-;-
2010;EAV-191105-G;  Altölaufber.: Schlämme (betriebseig.Abwasserbeh.);13;0,7
2010;EAV-191106-U;  Schlämme aus betriebs. Abwasserbehandl.(oh.191105);4;0,1
2010;EAV-191107-G;  Altölaufbereitung: Abfälle aus der Abgasreinigung;-;-
2010;EAV-19119900-U;  Abfälle a.n.g;3;0,0
2010;EAV-19119950-U;  Basisöl (Ausgangsstoff für Schmierstoff), (SK);6;0,0
2010;EAV-19119951-U;  Schmierstoff, (SS);6;0,0
2010;EAV-19119952-U;  Mitteldestillat Komponente;-;-
2010;EAV-19119953-U;  Heizöl leicht (inklusive Diesel), (HL);-;-
2010;EAV-19119954-U;  Heizöl schwer Komponente;-;-
2010;EAV-19119955-U;  Heizöl schwer, (HS);-;-
2010;EAV-19120100-U;  Mech.Abfallbehandlung: Papier, Pappe nicht diff.;230;62,0
2010;EAV-19120101-U;  Mech.Abfallbehandlung: Untere Sorten (Gruppe I);66;55,8
2010;EAV-19120102-U;  Mech.Abfallbehandlung: Mittlere Sorten (Gruppe II);28;10,2
2010;EAV-19120103-U;  Mech.Abfallbehandlung: Bessere Sorten (Gruppe III);30;7,7
2010;EAV-19120104-U;  Mech.Abfallbehandlung: Krafthaltige Sorten (Gr.IV);3;0,6
2010;EAV-19120105-U;  Mech.Abfallbehandlung: Sondersorten (Gruppe V);10;0,9
2010;EAV-191202-U;  Mech.Abfallbehandlung: Eisenmetalle;135;40,8
2010;EAV-191203-U;  Mech.Abfallbehandlung: Nichteisenmetalle;52;5,5
2010;EAV-191204-U;  Mech.Abfallbehandlung: Kunststoff und Gummi;219;53,2
2010;EAV-19120500-U;  Mech.Abfallbehandlung: Glas nicht differenzierbar;28;7,0
2010;EAV-19120501-U;  Mech.Abfallbehandlung: Weißglas;37;7,6
2010;EAV-19120502-U;  Mech.Abfallbehandlung: Braunglas;16;1,9
2010;EAV-19120503-U;  Mech.Abfallbehandlung: Grünglas;19;2,1
2010;EAV-19120504-U;  Mech.Abfallbehandlung: Buntglas;11;1,1
2010;EAV-19120505-U;  Mech.Abfallbehandlung: Mischglas;29;3,1
2010;EAV-191206-G;  Mech.Abfallbehandlung: Holz mit gefährl. Stoffen;10;1,9
2010;EAV-191207-U;  Holz (ohne 191206);70;7,2
2010;EAV-191208-U;  Mech.Abfallbehandlung: Textilien;8;2,8
2010;EAV-19120900-U;  Mech.Abfallbehandlung: Mineralien (Sand, Steine);41;35,1
2010;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-
2010;EAV-19120902-U;  Erzeugnisse für Verwendung im sonstigen Erdbau;-;-
2010;EAV-19120903-U;  Erzeugnisse f.d. Verwendung in Betonmischanlagen;-;-
2010;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;-;-
2010;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-
2010;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-
2010;EAV-191210-U;  Brennbare Abfälle (Brennstoffe aus Abfällen);25;8,0
2010;EAV-191211-G;  Sonstige Abfälle (einschl. Materialmischungen);19;2,5
2010;EAV-191212-U;  Sonstige Abfälle (ohne 191211);93;79,6
2010;EAV-191301-G;  Feste Abfälle aus der Sanierung von Böden;4;0,0
2010;EAV-191302-U;  Feste Abfälle aus Sanierung von Böden (oh.191301);-;-
2010;EAV-191303-G;  Schlämme aus der Sanierung von Böden;3;0,3
2010;EAV-191304-U;  Schlämme aus der Sanierung von Böden (oh.191303);-;-
2010;EAV-191305-G;  Schlämme aus der Sanierung von Grundwasser;6;0,1
2010;EAV-191306-U;  Schlämme aus Sanierung von Grundwasser (oh.191305);7;0,3
2010;EAV-191307-G;  Wässrige Abf.u.Konzentrate aus Grundwassersanier.;-;-
2010;EAV-191308-U;  Wässrige Abf.u.Konz. a.Grundwassersan. (oh.191307);-;-
2010;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);;
2010;EAV-200101-U;  Papier und Pappe;8762;1363,7
2010;EAV-200102-U;  Glas;1368;101,4
2010;EAV-200108-U;  Biologisch abbaubare Küchen- und Kantinenabfälle;3008;156,4
2010;EAV-200110-U;  Bekleidung;-;-
2010;EAV-200111-U;  Textilien;95;1,9
2010;EAV-200113-G;  Lösemittel;313;1,6
2010;EAV-200114-G;  Säuren;233;0,9
2010;EAV-200115-G;  Laugen;193;0,4
2010;EAV-200117-G;  Fotochemikalien;100;0,1
2010;EAV-200119-G;  Pestizide;-;-
2010;EAV-200121-G;  Leuchtstoffröhren u.a. quecksilberhaltige Abfälle;5252;8,1
2010;EAV-200123-G;  Gebrauchte Geräte mit Fluorchlorkohlenwasserstoffe;665;1,0
2010;EAV-200125-U;  Speiseöle und -fette;539;38,8
2010;EAV-200126-G;  Öle und Fette (ohne 200125);162;4,2
2010;EAV-200127-G;  Farben, Druckfarben, Klebstoffe und Kunstharze;416;1,1
2010;EAV-200128-U;  Farben,Druckfarben,Klebst.,Kunstharze (oh.200127);122;0,3
2010;EAV-200129-G;  Reinigungsmittel, die gefährliche Stoffe enthalten;79;0,1
2010;EAV-200130-U;  Reinigungsmittel (ohne 200129);48;0,1
2010;EAV-200131-G;  Zytotoxische und zytostatische Arzneimittel;6;0,1
2010;EAV-200132-U;  Arzneimittel (ohne 200131);103;4,1
2010;EAV-200133-G;  Batterien und Akkumulatoren (160601-160603);1044;1,5
2010;EAV-200134-U;  Batterien und Akkumulatoren (ohne 200133);246;0,1
2010;EAV-200135-G;  Gebrauchte elektrische Geräte (oh.200121,200123);3208;23,9
2010;EAV-200136-U;  Gebrauchte elektr.Geräte (oh.200121,200123,200135);1509;14,3
2010;EAV-200137-G;  Holz, das gefährliche Stoffe enthält;94;1,9
2010;EAV-200138-U;  Holz (ohne 200137);1303;63,0
2010;EAV-200139-U;  Kunststoffe;2641;115,6
2010;EAV-200140-U;  Metalle;3771;445,0
2010;EAV-200141-U;  Abfälle aus der Reinigung von Schornsteinen;7;0,2
2010;EAV-200199-U;  Sonstige Fraktionen a.n.g.;91;5,1
2010;EAV-20019900-U;  Sonstige Fraktionen a.n.g. nicht differenzierbar;-;-
2010;EAV-20019901-U;  Gemischte Wertstoffe ohne Leichtverpackungen;-;-
2010;EAV-200201-U;  Biologisch abbaubare Abfälle;3727;295,2
2010;EAV-200202-U;  Boden und Steine;69;13,7
2010;EAV-200203-U;  Andere nicht biologisch abbaubare Abfälle;30;1,5
2010;EAV-20030100-U;  Gemischte Siedlungsabfälle nicht differenzierbar;3841;275,6
2010;EAV-20030101-U;  Hausmüll, hausmüllähnliche Gewerbeabfälle;4803;341,9
2010;EAV-20030102-U;  Hausmüllähnliche Gewerbeabfälle;10600;912,2
2010;EAV-20030104-U;  Abfälle aus der Biotonne;622;13,9
2010;EAV-200302-U;  Marktabfälle;37;4,2
2010;EAV-200303-U;  Straßenkehricht;509;40,4
2010;EAV-200304-U;  Fäkalschlamm;268;49,0
2010;EAV-200306-U;  Abfälle aus der Kanalreinigung;163;13,4
2010;EAV-200307-U;  Sperrmüll;1817;44,8
2010;EAV-200399-U;  Siedlungsabfälle a.n.g.;126;20,8
2010;EAV-99;Gefährliche Abfälle;;
2010;EAV-990000-G;  Gefährliche Abfälle insgesamt;-;-
2010;;Insgesamt;19582;65328,8
2014;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;;
2014;EAV-010101-U;  Abfälle aus Abbau v. metallhaltigen Bodenschätzen;7;2,0
2014;EAV-010102-U;  Abfälle aus Abbau v. nichtmetallh. Bodenschätzen;5;4,9
2014;EAV-010304-G;  Säure bildende Aufbereitungsrückstände a. sul. Erz;-;-
2014;EAV-010305-G;  Andere Aufbereitungsrückstände mit gefährl.Stoffen;-;-
2014;EAV-010306-U;  Aufbereitungsrückstände (ohne 010304 und 010305);3;3,2
2014;EAV-010307-G;  Abfälle aus Verarb. metallhaltiger Bodenschätze;-;-
2014;EAV-010308-U;  Staubende und pulvrige Abfälle (ohne 010307);5;1761,3
2014;EAV-010309-U;  Rotschlamm aus Aluminiumoxidherstellung(oh.010310);-;-
2014;EAV-010399-U;  Verarb. von metallh. Bodenschätzen: Abfälle a.n.g.;-;-
2014;EAV-010407-G;  Abfälle a.Weiterverarb. nichtmetallh. Bodenschätze;-;-
2014;EAV-010408-U;  Abfälle von Kies- und Gesteinsbruch (ohne 010407);11;27,3
2014;EAV-010409-U;  Abfälle von Sand und Ton;16;4,7
2014;EAV-010410-U;  Staubende und pulvrige Abfälle (ohne 010407);19;2,3
2014;EAV-010411-U;  Abfälle aus Verarb. v.Kali-u.Steinsalz (oh.010407);10;25,1
2014;EAV-010412-U;  Aufbereitungsrück. u.a. Abfälle (oh.010407,010411);-;-
2014;EAV-010413-U;  Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);20;99,1
2014;EAV-010499-U;  Verarb. v. nichtmetallh. Bodensch.: Abfälle a.n.g.;5;0,3
2014;EAV-010504-U;  Schlämme und Abfälle aus Süßwasserbohrungen;4;0,1
2014;EAV-010505-G;  Ölhaltige Bohrschlämme und -abfälle;5;0,4
2014;EAV-010506-G;  Bohrschlämme u.a. Bohrabfälle mit gefährl. Stoffen;8;0,2
2014;EAV-010507-U;  Barythaltige Bohrschlä.,-abfälle(oh.010505,010506);-;-
2014;EAV-010508-U;  Chloridhalt. Bohrschlä.,-abfälle(oh.010505,010506);-;-
2014;EAV-010599-U;  Bohrschlämme u. andere Bohrabfälle: Abfälle a.n.g.;-;-
2014;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;;
2014;EAV-020101-U;  Landwirtsch.u.a.:Schlämme v.Wasch-,Reinigungsvorg.;20;16,5
2014;EAV-020102-U;  Landwirtsch.u.a.: Abfälle aus tierischem Gewebe;55;73,4
2014;EAV-020103-U;  Landwirtsch.u.a.: Abfälle aus pflanzlichem Gewebe;109;180,1
2014;EAV-020104-U;  Landwirtsch.u.a.:Kunststoffabfälle (ohne Verpack.);102;5,1
2014;EAV-020106-U;  Tierische Ausscheidungen, Gülle/Jauche/Stallmist;56;187,9
2014;EAV-020107-U;  Abfälle aus der Forstwirtschaft;6;0,0
2014;EAV-020108-G;  Abfälle von Chemikalien für die Landwirtschaft;43;0,7
2014;EAV-020109-U;  Abfälle v. Chemik. f. d. Landwirtschaft(oh.020108);5;0,1
2014;EAV-020110-U;  Landwirtschaft u.a.: Metallabfälle;65;2,5
2014;EAV-020199-U;  Landwirtschaft u.a.: Abfälle a.n.g.;16;2,2
2014;EAV-020201-U;  Fleisch u.a.:Schlämme v.Wasch-,Reinigungsvorgängen;43;11,5
2014;EAV-020202-U;  Fleisch u.a.: Abfälle aus tierischem Gewebe;209;450,1
2014;EAV-020203-U;  Fleisch u.a.: Für Verzehr/Verarb. ungeeig.Stoffe;243;329,1
2014;EAV-020204-U;  Fleisch u.a.: Schlämme(betriebseig.Abwasserbeh.);1925;557,3
2014;EAV-020299-U;  Verarb. von Fleisch, Fisch u.a.: Abfälle a.n.g.;34;150,4
2014;EAV-020301-U;  Obst u.a.:Schlämme aus Wasch-,Reinigungsproz. u.a.;50;134,3
2014;EAV-020302-U;  Obst u.a.: Abfälle von Konservierungsstoffen;-;-
2014;EAV-020303-U;  Obst u.a.: Abfälle aus Extraktion mit Lösemitteln;5;1,4
2014;EAV-020304-U;  Obst u.a.: Für Verzehr/Verarb. ungeeignete Stoffe;378;307,0
2014;EAV-020305-U;  Obst u.a.: Schlämme (betriebseig. Abwasserbeh.);59;119,4
2014;EAV-020399-U;  Verarbeitung von Obst, Gemüse u.a.: Abfälle a.n.g.;27;60,9
2014;EAV-020401-U;  Zuckerherstellung: Rübenerde;16;1315,3
2014;EAV-020402-U;  Zuckerherst.: Nicht spezif. Calciumcarbonatschlamm;-;-
2014;EAV-020403-U;  Zuckerherst.: Schlämme (betriebseig.Abwasserbeh.);-;-
2014;EAV-020499-U;  Zuckerherstellung: Abfälle a.n.g.;5;40,6
2014;EAV-020501-U;  Milchverarbeitung: Für Verzehr/Verarb. ungeeig.St.;75;63,9
2014;EAV-020502-U;  Milchverarb.: Schlämme (betriebseig. Abwasserbeh.);37;127,4
2014;EAV-020599-U;  Milchverarbeitung: Abfälle a.n.g.;4;10,2
2014;EAV-020601-U;  Back-,Süßwaren: Für Verzehr/Verarb. ungeeig. St.;274;149,5
2014;EAV-020602-U;  Back-,Süßwaren: Abfälle von Konservierungsstoffen;-;-
2014;EAV-020603-U;  Back-,Süßwaren: Schlämme(betriebseig.Abwasserbeh.);58;24,0
2014;EAV-020699-U;  Herstellung von Back- und Süßwaren: Abfälle a.n.g.;33;6,4
2014;EAV-020701-U;  Getränke: Abfälle aus der Wäsche, Reinigung u.a.;33;33,0
2014;EAV-020702-U;  Getränke: Abfälle aus der Alkoholdestillation;7;51,3
2014;EAV-020703-U;  Getränke: Abfälle aus der chemischen Behandlung;-;-
2014;EAV-020704-U;  Getränke: Für Verzehr/Verarb. ungeeignete Stoffe;63;500,1
2014;EAV-020705-U;  Getränke: Schlämme (betriebseigene Abwasserbeh.);37;48,8
2014;EAV-020799-U;  Herstellung von Getränken: Abfälle a.n.g.;22;286,5
2014;EAV-03;Abfälle aus der Holzbearbeitung u.a.;;
2014;EAV-030101-U;  Holzbearbeitung u.a.: Rinden- und Korkabfälle;26;496,7
2014;EAV-030104-G;  Sägemehl, Späne, Abschnitte, Holz, Spanplatten;39;6,1
2014;EAV-030105-U;  Sägemehl,Späne,Abschnitte,Holz,Spanpl. (oh.030104);709;2778,6
2014;EAV-030199-U;  Holzbearbeitung u.a.: Abfälle a.n.g.;29;4,0
2014;EAV-030201-G;  Halogenfreie organische Holzschutzmittel;-;-
2014;EAV-030202-G;  Chlororganische Holzschutzmittel;-;-
2014;EAV-030203-G;  Metallorganische Holzschutzmittel;-;-
2014;EAV-030204-G;  Anorganische Holzschutzmittel;-;-
2014;EAV-030205-G;  Andere Holzschutzmittel mit gefährlichen Stoffen;-;-
2014;EAV-030299-U;  Holzschutzmittel a.n.g.;-;-
2014;EAV-030301-U;  Papierherstellung u.a.: Rinden- und Holzabfälle;35;339,5
2014;EAV-030302-U;  Sulfitschlämme (aus Rückgewinnung von Kochlaugen);-;-
2014;EAV-030305-U;  Deinking-Schlämme aus dem Papierrecycling;14;732,7
2014;EAV-030307-U;  Mechanisch abgetrennte Abfälle (Papierabfälle);94;805,5
2014;EAV-030308-U;  Abfälle aus Sortierung v. Papier für Recycling;257;678,2
2014;EAV-030309-U;  Kalkschlammabfälle;6;2,2
2014;EAV-030310-U;  Faserabfälle, Faser-, Füller- und Überzugsschlämme;132;1568,7
2014;EAV-030311-U;  Schlämme a. betriebs.Abwasserbehandlung(oh.030310);46;121,2
2014;EAV-030399-U;  Papierherstellung u.a.: Abfälle a.n.g.;21;702,5
2014;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;;
2014;EAV-040101-U;  Fleischabschabungen und Häuteabfälle;-;-
2014;EAV-040102-U;  Geäschertes Leimleder;6;18,6
2014;EAV-040103-G;  Entfettungsabfälle, lösemittelh.,oh.flüssige Phase;-;-
2014;EAV-040104-U;  Chromhaltige Gerbereibrühe;-;-
2014;EAV-040105-U;  Chromfreie Gerbereibrühe;-;-
2014;EAV-040106-U;  Chromhaltige Schlämme;10;16,7
2014;EAV-040107-U;  Chromfreie Schlämme;-;-
2014;EAV-040108-U;  Chromhaltige Abfälle aus gegerbtem Leder;25;4,9
2014;EAV-040109-U;  Abfälle aus der Zurichtung und dem Finish;7;0,1
